event_id,game,market,description,name,point,ballybet_price,ballybet_decimal_odds,ballybet_implied_prob,ballybet_implied_prob_diff,ballybet_dejuice,ballybet_name,betmgm_price,betmgm_decimal_odds,betmgm_implied_prob,betmgm_implied_prob_diff,betmgm_dejuice,betmgm_name,betonlineag_price,betonlineag_decimal_odds,betonlineag_implied_prob,betonlineag_implied_prob_diff,betonlineag_dejuice,betonlineag_name,draftkings_price,draftkings_decimal_odds,draftkings_implied_prob,draftkings_implied_prob_diff,draftkings_dejuice,draftkings_name,espnbet_price,espnbet_decimal_odds,espnbet_implied_prob,espnbet_implied_prob_diff,espnbet_dejuice,espnbet_name,event_id.1,fanduel_price,fanduel_decimal_odds,fanduel_implied_prob,fanduel_implied_prob_diff,fanduel_dejuice,fanduel_name,fliff_price,fliff_decimal_odds,fliff_implied_prob,fliff_implied_prob_diff,fliff_dejuice,fliff_name,hardrockbet_price,hardrockbet_decimal_odds,hardrockbet_implied_prob,hardrockbet_implied_prob_diff,hardrockbet_dejuice,hardrockbet_name,point.1,williamhill_us_price,williamhill_us_decimal_odds,williamhill_us_implied_prob,williamhill_us_implied_prob_diff,williamhill_us_dejuice,williamhill_us_name,windcreek_price,windcreek_decimal_odds,windcreek_implied_prob,windcreek_implied_prob_diff,windcreek_dejuice,windcreek_name,values_populated,avg_dejuiced_prob
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Alexander Mattison,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b72078945287a94944a0ffefcd09c42c,,,,,,,-18080.0,1.0055309734513274,0.9944994499449946,,0.9122231020297804,No,,,,,,,,,,,,,,,,,,,,1,0.9122231020297804
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Alexander Mattison,Yes,,1900.0,20.0,0.05,-0.0190897096324727,0.0434782608695652,Yes,1000.0,11.0,0.0909090909090909,0.0269330176402544,0.0790513833992094,Yes,,,,,,,1500.0,16.0,0.0625,-0.0050272096324728,0.0543478260869565,Yes,1800.0,19.0,0.0526315789473684,-0.0161291833166833,0.045766590389016,Yes,b72078945287a94944a0ffefcd09c42c,1900.0,20.0,0.05,-0.0190897096324727,0.0434782608695652,Yes,945.0,10.45,0.0956937799043062,0.0323157927598717,0.0877768979702195,Yes,1200.0,13.0,0.0769230769230769,0.0111987519059887,0.0668896321070234,Yes,,1300.0,14.0,0.0714285714285714,0.00501743322467,0.062111801242236,Yes,1800.0,19.0,0.0526315789473684,-0.0161291833166833,0.045766590389016,Yes,9,0.0587408048136452
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Ameer Abdullah,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b72078945287a94944a0ffefcd09c42c,,,,,,,-999900.0,1.000100010001,0.9999,,0.938265812594762,No,,,,,,,,,,,,,,,,,,,,1,0.938265812594762
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Ameer Abdullah,Yes,,2800.0,29.0,0.0344827586206896,-0.008630212976993,0.0299850074962518,Yes,1500.0,16.0,0.0625,0.022889183574731,0.0543478260869565,Yes,,,,,,,2800.0,29.0,0.0344827586206896,-0.008630212976993,0.0299850074962518,Yes,2200.0,23.0,0.0434782608695652,0.0014897270529919,0.0378071833648393,Yes,b72078945287a94944a0ffefcd09c42c,4500.0,46.0,0.0217391304347826,-0.0229667946861384,0.0189035916824196,Yes,1420.0,15.2,0.0657894736842105,0.0265898414694679,0.061734187405238,Yes,3000.0,31.0,0.032258064516129,-0.0111329938446237,0.0280504908835904,Yes,,2600.0,27.0,0.037037037037037,-0.0057566497586022,0.0322061191626409,Yes,2000.0,21.0,0.0476190476190476,0.0061481121461596,0.041407867494824,Yes,9,0.0371585867858902
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Atlanta Falcons D/ST,Yes,,,,,,,,3300.0,34.0,0.0294117647058823,-0.0090497737556561,0.0255754475703324,Yes,,,,,,,2500.0,26.0,0.0384615384615384,0.0090497737556561,0.0334448160535117,Yes,,,,,,,b72078945287a94944a0ffefcd09c42c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.029510131811922
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Atlanta Falcons Defense,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b72078945287a94944a0ffefcd09c42c,3600.0,37.0,0.027027027027027,-0.0114345114345114,0.0235017626321974,Yes,,,,,,,,,,,,,,,,,,,,2500.0,26.0,0.0384615384615384,0.0114345114345114,0.0334448160535117,Yes,2,0.0284732893428545
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Avery Williams,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b72078945287a94944a0ffefcd09c42c,,,,,,,-999900.0,1.000100010001,0.9999,,0.954229041993252,No,,,,,,,,,,,,,,,,,,,,1,0.954229041993252
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Avery Williams,Yes,,7500.0,76.0,0.0131578947368421,-0.0055060360946799,0.011441647597254,Yes,8000.0,81.0,0.0123456790123456,-0.0064197787847384,0.0107353730542136,Yes,,,,,,,6000.0,61.0,0.0163934426229508,-0.0018660447228076,0.0142551674982181,Yes,7500.0,76.0,0.0131578947368421,-0.0055060360946799,0.011441647597254,Yes,b72078945287a94944a0ffefcd09c42c,10000.0,101.0,0.0099009900990099,-0.0091700538122411,0.0086095566078346,Yes,1985.0,20.85,0.0479616306954436,0.0336481668587467,0.045770958006748,Yes,15000.0,151.0,0.0066225165562913,-0.0128583365477995,0.005758710048949,Yes,,6500.0,66.0,0.0151515151515151,-0.0032632131281727,0.0131752305665349,Yes,3500.0,36.0,0.0277777777777777,0.0109413323263726,0.0241545893719806,Yes,9,0.0161492089276652
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Bijan Robinson,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b72078945287a94944a0ffefcd09c42c,,,,,,,-580.0,1.1724137931034484,0.8529411764705881,,0.7817715019255456,No,,,,,,,,,,,,,,,,,,,,1,0.7817715019255456
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Bijan Robinson,Yes,,325.0,4.25,0.2352941176470588,0.0054462397924509,0.2046035805626598,Yes,400.0,5.0,0.2,-0.0342596425604901,0.1739130434782609,Yes,,,,,,,380.0,4.8,0.2083333333333333,-0.0248846425604901,0.1811594202898551,Yes,300.0,4.0,0.25,0.0219903574395098,0.2173913043478261,Yes,b72078945287a94944a0ffefcd09c42c,280.0,3.8,0.2631578947368421,0.0367929890184571,0.2288329519450801,Yes,320.0,4.2,0.238095238095238,0.0085975002966526,0.2182284980744544,Yes,325.0,4.25,0.2352941176470588,0.0054462397924509,0.2046035805626598,Yes,,310.0,4.1,0.2439024390243902,0.0151306013419488,0.2120890774125133,Yes,400.0,5.0,0.2,-0.0342596425604901,0.1739130434782609,Yes,9,0.2016371666835078
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Brock Bowers,Yes,,950.0,10.5,0.0952380952380952,-0.0044821844821844,0.082815734989648,Yes,550.0,6.5,0.1538461538461538,0.0658474858474858,0.1337792642140468,Yes,,,,,,,1200.0,13.0,0.0769230769230769,-0.0264602064602064,0.0668896321070234,Yes,900.0,10.0,0.1,0.0012321012321012,0.0869565217391304,Yes,b72078945287a94944a0ffefcd09c42c,1200.0,13.0,0.0769230769230769,-0.0264602064602064,0.0668896321070234,Yes,,,,,,,,,,,,,,,,,,,,1000.0,11.0,0.0909090909090909,-0.0096769896769896,0.0790513833992094,Yes,6,0.0860636947593469
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Carlos Washington Jr.,Yes,,,,,,,,10000.0,101.0,0.0099009900990099,,0.0086095566078346,Yes,,,,,,,,,,,,,,,,,,,b72078945287a94944a0ffefcd09c42c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0086095566078346
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Casey Washington,Yes,,4500.0,46.0,0.0217391304347826,0.0118381403357727,0.0189035916824196,Yes,10000.0,101.0,0.0099009900990099,-0.0118381403357727,0.0086095566078346,Yes,,,,,,,,,,,,,,,,,,,b72078945287a94944a0ffefcd09c42c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0137565741451271
b72078945287a94944a0ffefcd09c42c,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Charlie Woerner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b72078945287a94944a0ffefcd09c42c,,,,,,,-999900.0,1.000100010001,0.9999,,0.9468034739459374,No,,,,,,,,,,,,,,,,,,,,1,0.9468034739459374
