event_id,game,market,description,name,point,ballybet_price,ballybet_decimal_odds,ballybet_implied_prob,ballybet_implied_prob_diff,ballybet_dejuice,ballybet_name,betmgm_price,betmgm_decimal_odds,betmgm_implied_prob,betmgm_implied_prob_diff,betmgm_dejuice,betmgm_name,betonlineag_price,betonlineag_decimal_odds,betonlineag_implied_prob,betonlineag_implied_prob_diff,betonlineag_dejuice,betonlineag_name,bovada_price,bovada_decimal_odds,bovada_implied_prob,bovada_implied_prob_diff,bovada_dejuice,bovada_name,draftkings_price,draftkings_decimal_odds,draftkings_implied_prob,draftkings_implied_prob_diff,draftkings_dejuice,draftkings_name,espnbet_price,espnbet_decimal_odds,espnbet_implied_prob,espnbet_implied_prob_diff,espnbet_dejuice,espnbet_name,event_id,fanduel_price,fanduel_decimal_odds,fanduel_implied_prob,fanduel_implied_prob_diff,fanduel_dejuice,fanduel_name,fliff_price,fliff_decimal_odds,fliff_implied_prob,fliff_implied_prob_diff,fliff_dejuice,fliff_name,hardrockbet_price,hardrockbet_decimal_odds,hardrockbet_implied_prob,hardrockbet_implied_prob_diff,hardrockbet_dejuice,hardrockbet_name,point,windcreek_price,windcreek_decimal_odds,windcreek_implied_prob,windcreek_implied_prob_diff,windcreek_dejuice,windcreek_name,values_populated,avg_dejuiced_prob
818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_1st_td,Cole Kmet,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818a0f592da4fc2dea2a8caa3170bd6f,,,,,,,-999900.0,1.000100010001,0.9999000000000001,,0.928819011303185,No,,,,,,,,,,,,,,1,0.928819011303185
818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_1st_td,Cole Kmet,Yes,,2000.0,21.0,0.047619047619047616,0.0010197294680053329,0.041407867494824016,Yes,2500.0,26.0,0.038461538461538464,-0.009445995283433713,0.03344481605351171,Yes,,,,,,,,,,,,,2500.0,26.0,0.038461538461538464,-0.009445995283433713,0.03344481605351171,Yes,2500.0,26.0,0.038461538461538464,-0.009445995283433713,0.03344481605351171,Yes,818a0f592da4fc2dea2a8caa3170bd6f,2300.0,24.0,0.041666666666666664,-0.005782991620430056,0.036231884057971016,Yes,1205.0,13.05,0.07662835249042145,0.03417322074957542,0.07118098869681488,Yes,1750.0,18.5,0.05405405405405406,0.008374022536584112,0.04700352526439484,Yes,,2500.0,26.0,0.038461538461538464,-0.009445995283433699,0.03344481605351171,Yes,8,0.04120044121600645
818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_1st_td,Craig Reynolds,Yes,,2400.0,25.0,0.04,0.01807873523032555,0.034782608695652174,Yes,5000.0,51.0,0.0196078431372549,-0.00639185300496857,0.017050298380221655,Yes,,,,,,,,,,,,,4500.0,46.0,0.021739130434782608,-0.003834308247935323,0.01890359168241966,Yes,5000.0,51.0,0.0196078431372549,-0.00639185300496857,0.017050298380221655,Yes,818a0f592da4fc2dea2a8caa3170bd6f,6000.0,61.0,0.01639344262295082,-0.010249133622133474,0.014255167498218107,Yes,,,,,,,,,,,,,,3000.0,31.0,0.03225806451612903,0.008788412649680381,0.028050490883590466,Yes,6,0.021682075920053955
818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_1st_td,D'Andre Swift,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818a0f592da4fc2dea2a8caa3170bd6f,,,,,,,-3125.0,1.032,0.9689922480620154,,0.8888170652876536,No,,,,,,,,,,,,,,1,0.8888170652876536
818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_1st_td,D'Andre Swift,Yes,,850.0,9.5,0.10526315789473684,0.019648772280351223,0.09153318077803203,Yes,1200.0,13.0,0.07692307692307693,-0.0127398916872601,0.06688963210702342,Yes,,,,,,,,,,,,,1200.0,13.0,0.07692307692307693,-0.0127398916872601,0.06688963210702342,Yes,1400.0,15.0,0.06666666666666667,-0.02446150340887185,0.057971014492753624,Yes,818a0f592da4fc2dea2a8caa3170bd6f,1000.0,11.0,0.09090909090909091,0.0032441242967558848,0.07905138339920949,Yes,725.0,8.25,0.12121212121212122,0.03787615892879051,0.1111829347123465,Yes,800.0,9.0,0.1111111111111111,0.026332147384778945,0.0966183574879227,Yes,,1700.0,18.0,0.05555555555555555,-0.037159916107284544,0.04830917874396135,Yes,8,0.07730566422853406
818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_1st_td,DJ Moore,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818a0f592da4fc2dea2a8caa3170bd6f,,,,,,,-90810.0,1.0011012003083362,0.9989000109998899,,0.916233560110552,No,,,,,,,,,,,,,,1,0.916233560110552
818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_1st_td,DJ Moore,Yes,,1300.0,14.0,0.07142857142857142,0.009113426673240797,0.062111801242236024,Yes,1600.0,17.0,0.058823529411764705,-0.005292335631681175,0.05115089514066497,Yes,,,,,,,,,,,,,1700.0,18.0,0.05555555555555555,-0.009027162895920204,0.04830917874396135,Yes,1800.0,19.0,0.05263157894736842,-0.012368850448134072,0.04576659038901602,Yes,818a0f592da4fc2dea2a8caa3170bd6f,1600.0,17.0,0.058823529411764705,-0.005292335631681175,0.05115089514066497,Yes,995.0,10.95,0.09132420091324202,0.03185128894143576,0.08376643988944785,Yes,1300.0,14.0,0.07142857142857142,0.009113426673240797,0.062111801242236024,Yes,,2000.0,21.0,0.047619047619047616,-0.018097457680500695,0.041407867494824016,Yes,8,0.055721933660381404
818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_1st_td,David Montgomery,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818a0f592da4fc2dea2a8caa3170bd6f,,,,,,,-770.0,1.12987012987013,0.8850574712643677,,0.8110544033011186,No,,,,,,,,,,,,,,1,0.8110544033011186
818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_1st_td,David Montgomery,Yes,,400.0,5.0,0.2,-0.0061257187455100726,0.1739130434782609,Yes,360.0,4.6,0.2173913043478261,0.01375005765200546,0.18903591682419663,Yes,,,,,,,,,,,,,425.0,5.25,0.19047619047619047,-0.017010072487006728,0.16563146997929606,Yes,350.0,4.5,0.2222222222222222,0.01927110665131529,0.1932367149758454,Yes,818a0f592da4fc2dea2a8caa3170bd6f,410.0,5.1,0.19607843137254904,-0.010607511462596919,0.17050298380221657,Yes,385.0,4.85,0.2061855670103093,0.0009435006948433633,0.18894559669888156,Yes,400.0,5.0,0.2,-0.0061257187455101,0.1739130434782609,Yes,,375.0,4.75,0.21052631578947367,0.005904356442459818,0.18306636155606407,Yes,8,0.1797806413491278
818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_1st_td,DeAndre Carter,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818a0f592da4fc2dea2a8caa3170bd6f,,,,,,,-999900.0,1.000100010001,0.9999000000000001,,0.9529366916141422,No,,,,,,,,,,,,,,1,0.9529366916141422
