event_id,game,market,description,name,point,ballybet_price,ballybet_decimal_odds,ballybet_implied_prob,ballybet_implied_prob_diff,ballybet_dejuice,ballybet_name,betmgm_price,betmgm_decimal_odds,betmgm_implied_prob,betmgm_implied_prob_diff,betmgm_dejuice,betmgm_name,betonlineag_price,betonlineag_decimal_odds,betonlineag_implied_prob,betonlineag_implied_prob_diff,betonlineag_dejuice,betonlineag_name,bovada_price,bovada_decimal_odds,bovada_implied_prob,bovada_implied_prob_diff,bovada_dejuice,bovada_name,draftkings_price,draftkings_decimal_odds,draftkings_implied_prob,draftkings_implied_prob_diff,draftkings_dejuice,draftkings_name,espnbet_price,espnbet_decimal_odds,espnbet_implied_prob,espnbet_implied_prob_diff,espnbet_dejuice,espnbet_name,event_id.1,fanduel_price,fanduel_decimal_odds,fanduel_implied_prob,fanduel_implied_prob_diff,fanduel_dejuice,fanduel_name,fliff_price,fliff_decimal_odds,fliff_implied_prob,fliff_implied_prob_diff,fliff_dejuice,fliff_name,hardrockbet_price,hardrockbet_decimal_odds,hardrockbet_implied_prob,hardrockbet_implied_prob_diff,hardrockbet_dejuice,hardrockbet_name,point.1,windcreek_price,windcreek_decimal_odds,windcreek_implied_prob,windcreek_implied_prob_diff,windcreek_dejuice,windcreek_name,values_populated,avg_dejuiced_prob
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,AJ Barner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8c7efb50e0c8c9be94e7b969c58da045,,,,,,,-999900.0,1.000100010001,0.9999,,0.9367029316670168,No,,,,,,,,,,,,,,1,0.9367029316670168
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,AJ Barner,Yes,,3500.0,36.0,0.0277777777777777,-0.0112311054851377,0.0241545893719806,Yes,3000.0,31.0,0.032258064516129,-0.0060041042903946,0.0280504908835904,Yes,,,,,,,,,,,,,3000.0,31.0,0.032258064516129,-0.0060041042903946,0.0280504908835904,Yes,3000.0,31.0,0.032258064516129,-0.0060041042903946,0.0280504908835904,Yes,8c7efb50e0c8c9be94e7b969c58da045,3100.0,32.0,0.03125,-0.0071801795592118,0.0271739130434782,Yes,1380.0,14.8,0.0675675675675675,0.0351903159362836,0.063297068332983,Yes,2500.0,26.0,0.0384615384615384,0.0012332819792497,0.0334448160535117,Yes,,,,,,,,7,0.0331745513503893
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,Arizona Cardinals D/ST,Yes,,,,,,,,3000.0,31.0,0.032258064516129,-0.0207310659186535,0.0280504908835904,Yes,,,,,,,1500.0,16.0,0.0625,0.0246318373071528,0.0543478260869565,Yes,2200.0,23.0,0.0434782608695652,-0.0039007713884992,0.0378071833648393,Yes,,,,,,,8c7efb50e0c8c9be94e7b969c58da045,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0400685001117954
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,Arizona Cardinals Defense,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8c7efb50e0c8c9be94e7b969c58da045,4000.0,41.0,0.024390243902439,-0.0140712945590994,0.0212089077412513,Yes,,,,,,,,,,,,,,2500.0,26.0,0.0384615384615384,0.0140712945590994,0.0334448160535117,Yes,2,0.0273268618973815
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,Brady Russell,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8c7efb50e0c8c9be94e7b969c58da045,,,,,,,-999900.0,1.000100010001,0.9999,,0.9553528774624004,No,,,,,,,,,,,,,,1,0.9553528774624004
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,Brady Russell,Yes,,7500.0,76.0,0.0131578947368421,-0.0036057756656417,0.011441647597254,Yes,10000.0,101.0,0.0099009900990099,-0.0073279523945928,0.0086095566078346,Yes,,,,,,,,,,,,,10000.0,101.0,0.0099009900990099,-0.0073279523945928,0.0086095566078346,Yes,10000.0,101.0,0.0099009900990099,-0.0073279523945928,0.0086095566078346,Yes,8c7efb50e0c8c9be94e7b969c58da045,10000.0,101.0,0.0099009900990099,-0.0073279523945928,0.0086095566078346,Yes,2040.0,21.4,0.0467289719626168,0.0347611697352436,0.0446471225375995,Yes,15000.0,151.0,0.0066225165562913,-0.0110747793005568,0.005758710048949,Yes,,4000.0,41.0,0.024390243902439,0.0092311948093261,0.0212089077412513,Yes,8,0.014686826794549
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,Cody White,Yes,,8000.0,81.0,0.0123456790123456,-0.001059375632463,0.0107353730542136,Yes,,,,,,,,,,,,,,,,,,,6000.0,61.0,0.0163934426229508,0.0050122697834446,0.0142551674982181,Yes,,,,,,,8c7efb50e0c8c9be94e7b969c58da045,9500.0,96.0,0.0104166666666666,-0.0039528941509815,0.0090579710144927,Yes,,,,,,,,,,,,,,,,,,,,3,0.0113495038556414
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,DK Metcalf,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8c7efb50e0c8c9be94e7b969c58da045,,,,,,,-4000.0,1.025,0.9756097560975612,,0.8951406649616369,No,,,,,,,,,,,,,,1,0.8951406649616369
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,DK Metcalf,Yes,,800.0,9.0,0.1111111111111111,0.0188105545248402,0.0966183574879227,Yes,1100.0,12.0,0.0833333333333333,-0.0129354772211915,0.072463768115942,Yes,,,,,,,,,,,,,1100.0,12.0,0.0833333333333333,-0.0129354772211915,0.072463768115942,Yes,1000.0,11.0,0.0909090909090909,-0.0042774685631828,0.0790513833992094,Yes,8c7efb50e0c8c9be94e7b969c58da045,1100.0,12.0,0.0833333333333333,-0.0129354772211915,0.072463768115942,Yes,775.0,8.75,0.1142857142857142,0.0224386724386724,0.1048593350383631,Yes,900.0,10.0,0.1,0.0061121418264275,0.0869565217391304,Yes,,1000.0,11.0,0.0909090909090909,-0.0042774685631828,0.0790513833992094,Yes,8,0.0829910356764576
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,Dareke Young,Yes,,5500.0,56.0,0.0178571428571428,0.0050730519480519,0.015527950310559,Yes,,,,,,,,,,,,,,,,,,,6500.0,66.0,0.0151515151515151,0.0010146103896103,0.0131752305665349,Yes,,,,,,,8c7efb50e0c8c9be94e7b969c58da045,9500.0,96.0,0.0104166666666666,-0.0060876623376623,0.0090579710144927,Yes,,,,,,,,,,,,,,,,,,,,3,0.0125870506305288
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,DeeJay Dallas,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8c7efb50e0c8c9be94e7b969c58da045,,,,,,,-999900.0,1.000100010001,0.9999,,0.9550518869779698,No,,,,,,,,,,,,,,1,0.9550518869779698
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,DeeJay Dallas,Yes,,5000.0,51.0,0.0196078431372549,-0.0009444285480936,0.0170502983802216,Yes,8000.0,81.0,0.0123456790123456,-0.0094169533604877,0.0107353730542136,Yes,,,,,,,3500.0,36.0,0.0277777777777777,0.0085871618658496,0.0241545893719806,Yes,5000.0,51.0,0.0196078431372549,-0.0009444285480936,0.0170502983802216,Yes,10000.0,101.0,0.0099009900990099,-0.0122690904260461,0.0086095566078346,Yes,8c7efb50e0c8c9be94e7b969c58da045,,,,,,,2025.0,21.25,0.0470588235294117,0.031081715242756,0.0449481130220301,Yes,15000.0,151.0,0.0066225165562913,-0.0160939762258844,0.005758710048949,Yes,,,,,,,,7,0.0183295626950645
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,Elijah Higgins,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8c7efb50e0c8c9be94e7b969c58da045,,,,,,,-999900.0,1.000100010001,0.9999,,0.9392040164258588,No,,,,,,,,,,,,,,1,0.9392040164258588
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,Elijah Higgins,Yes,,3500.0,36.0,0.0277777777777777,-0.0079790284306618,0.0241545893719806,Yes,4000.0,41.0,0.024390243902439,-0.0117900040404179,0.0212089077412513,Yes,,,,,,,2000.0,21.0,0.0476190476190476,0.0143424001407667,0.041407867494824,Yes,3000.0,31.0,0.032258064516129,-0.0029387058500166,0.0280504908835904,Yes,3000.0,31.0,0.032258064516129,-0.0029387058500166,0.0280504908835904,Yes,8c7efb50e0c8c9be94e7b969c58da045,7000.0,71.0,0.0140845070422535,-0.0233839580081266,0.0122473974280465,Yes,1445.0,15.45,0.0647249190938511,0.0335865055499207,0.0607959835741411,Yes,3000.0,31.0,0.032258064516129,-0.0029387058500166,0.0280504908835904,Yes,,2500.0,26.0,0.0384615384615384,0.0040402023385689,0.0334448160535117,Yes,9,0.0308234482571696
8c7efb50e0c8c9be94e7b969c58da045,Seattle Seahawks @ Arizona Cardinals,player_1st_td,Emari Demercado,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8c7efb50e0c8c9be94e7b969c58da045,,,,,,,-999900.0,1.000100010001,0.9999,,0.9404705918770933,No,,,,,,,,,,,,,,1,0.9404705918770933
