event_id,game,market,description,name,point,betmgm_price,betmgm_decimal_odds,betmgm_implied_prob,betmgm_implied_prob_diff,betmgm_dejuice,betmgm_name,betonlineag_price,betonlineag_decimal_odds,betonlineag_implied_prob,betonlineag_implied_prob_diff,betonlineag_dejuice,betonlineag_name,bovada_price,bovada_decimal_odds,bovada_implied_prob,bovada_implied_prob_diff,bovada_dejuice,bovada_name,draftkings_price,draftkings_decimal_odds,draftkings_implied_prob,draftkings_implied_prob_diff,draftkings_dejuice,draftkings_name,espnbet_price,espnbet_decimal_odds,espnbet_implied_prob,espnbet_implied_prob_diff,espnbet_dejuice,espnbet_name,event_id.1,fanduel_price,fanduel_decimal_odds,fanduel_implied_prob,fanduel_implied_prob_diff,fanduel_dejuice,fanduel_name,fliff_price,fliff_decimal_odds,fliff_implied_prob,fliff_implied_prob_diff,fliff_dejuice,fliff_name,hardrockbet_price,hardrockbet_decimal_odds,hardrockbet_implied_prob,hardrockbet_implied_prob_diff,hardrockbet_dejuice,hardrockbet_name,point.1,williamhill_us_price,williamhill_us_decimal_odds,williamhill_us_implied_prob,williamhill_us_implied_prob_diff,williamhill_us_dejuice,williamhill_us_name,values_populated,avg_dejuiced_prob
552b0679668ac1011ceb86524711c27b,Milwaukee Bucks @ Oklahoma City Thunder,player_assists,A.J. Green,Over,0.5,-120.0,1.8333333333333333,0.5454545454545454,-0.0067340067340068,0.5101214574898786,Over,,,,,,,,,,,,,,,,,,,-120.0,1.8333333333333333,0.5454545454545454,-0.0067340067340068,0.5101214574898786,Over,552b0679668ac1011ceb86524711c27b,,,,,,,-125.0,1.8,0.5555555555555556,0.0067340067340068,0.509478672985782,Over,,,,,,,0.5,-125.0,1.8,0.5555555555555556,0.0067340067340068,0.5157946692991116,Over,4,0.5113790643161626
552b0679668ac1011ceb86524711c27b,Milwaukee Bucks @ Oklahoma City Thunder,player_assists,A.J. Green,Under,0.5,-110.0,1.9090909090909087,0.5238095238095238,-0.0029319245965512,0.4898785425101215,Under,,,,,,,,,,,,,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.0029319245965512,0.4898785425101215,Under,552b0679668ac1011ceb86524711c27b,,,,,,,-115.0,1.869565217391304,0.5348837209302326,0.0118336715643937,0.490521327014218,Under,,,,,,,0.5,-109.0,1.9174311926605505,0.5215311004784688,-0.0059698223712912,0.4842053307008884,Under,4,0.4886209356838374
552b0679668ac1011ceb86524711c27b,Milwaukee Bucks @ Oklahoma City Thunder,player_assists,Alex Caruso,Over,1.5,-175.0,1.5714285714285714,0.6363636363636364,-0.0038866243245805,0.5940959409594095,Over,,,,,,,,,,,,,,,,,,,-180.0,1.5555555555555556,0.6428571428571428,0.0047713843334281,0.5912408759124087,Over,552b0679668ac1011ceb86524711c27b,,,,,,,-180.0,1.5555555555555556,0.6428571428571428,0.0047713843334281,0.5857988165680473,Over,,,,,,,1.5,-174.0,1.5747126436781609,0.635036496350365,-0.0056561443422756,0.5893531562855944,Over,4,0.590122197431365
552b0679668ac1011ceb86524711c27b,Milwaukee Bucks @ Oklahoma City Thunder,player_assists,Alex Caruso,Under,1.5,130.0,2.3,0.4347826086956522,-0.012373316336379,0.4059040590405904,Under,,,,,,,,,,,,,,,,,,,125.0,2.25,0.4444444444444444,0.0005091313286773,0.4087591240875912,Under,552b0679668ac1011ceb86524711c27b,,,,,,,120.0,2.2,0.4545454545454545,0.0139771447966907,0.4142011834319526,Under,,,,,,,1.5,126.0,2.26,0.4424778761061947,-0.002112959788989,0.4106468437144056,Under,4,0.409877802568635
552b0679668ac1011ceb86524711c27b,Milwaukee Bucks @ Oklahoma City Thunder,player_assists,Andre Jackson Jr,Over,0.5,-210.0,1.4761904761904765,0.6774193548387096,-0.0158202143843739,0.6333530455351862,Over,,,,,,,,,,,,,,,,,,,-240.0,1.4166666666666667,0.7058823529411764,0.0221304497522483,0.6382978723404255,Over,552b0679668ac1011ceb86524711c27b,,,,,,,-225.0,1.4444444444444444,0.6923076923076923,0.0040309022409361,0.6338028169014084,Over,,,,,,,0.5,-214.0,1.4672897196261685,0.6815286624203821,-0.0103411376088106,0.6320082505156572,Over,4,0.6343654963231693
552b0679668ac1011ceb86524711c27b,Milwaukee Bucks @ Oklahoma City Thunder,player_assists,Andre Jackson Jr,Under,0.5,155.0,2.55,0.3921568627450981,-0.0067849361967008,0.3666469544648137,Under,,,,,,,,,,,,,,,,,,,150.0,2.5,0.4,0.0036725801431684,0.3617021276595745,Under,552b0679668ac1011ceb86524711c27b,,,,,,,150.0,2.5,0.4,0.0036725801431684,0.3661971830985915,Under,,,,,,,0.5,152.0,2.52,0.3968253968253968,-0.0005602240896359,0.3679917494843427,Under,4,0.3656345036768306
552b0679668ac1011ceb86524711c27b,Milwaukee Bucks @ Oklahoma City Thunder,player_assists,Bobby Portis,Over,1.5,155.0,2.55,0.3921568627450981,-0.0135507861681257,0.3666469544648137,Over,,,,,,,,,,,,,,,,,,,145.0,2.45,0.4081632653061224,0.0064572170331547,0.3693340794627867,Over,552b0679668ac1011ceb86524711c27b,,,,,,,145.0,2.45,0.4081632653061224,0.0064572170331547,0.3708987161198288,Over,150.0,2.5,0.4,-0.0037468645994983,0.367816091954023,Over,1.5,146.0,2.46,0.4065040650406504,0.0043832167013146,0.3772461034448526,Over,5,0.3703883890892609
552b0679668ac1011ceb86524711c27b,Milwaukee Bucks @ Oklahoma City Thunder,player_assists,Bobby Portis,Under,1.5,-210.0,1.4761904761904765,0.6774193548387096,-0.0095381503753745,0.6333530455351862,Under,,,,,,,,,,,,,,,,,,,-230.0,1.434782608695652,0.696969696969697,0.0148997772883596,0.6306659205372133,Under,552b0679668ac1011ceb86524711c27b,,,,,,,-225.0,1.4444444444444444,0.6923076923076923,0.0090722714608537,0.6291012838801712,Under,-220.0,1.4545454545454546,0.6875,0.0030626560762384,0.632183908045977,Under,1.5,-204.0,1.4901960784313726,0.6710526315789473,-0.0174965544500773,0.6227538965551475,Under,5,0.629611610910739
552b0679668ac1011ceb86524711c27b,Milwaukee Bucks @ Oklahoma City Thunder,player_assists,Brook Lopez,Over,0.5,-210.0,1.4761904761904765,0.6774193548387096,-0.0109552350088102,0.6333530455351862,Over,,,,,,,,,,,,,,,,,,,-230.0,1.434782608695652,0.696969696969697,0.013482692654924,0.6306659205372133,Over,552b0679668ac1011ceb86524711c27b,,,,,,,-220.0,1.4545454545454546,0.6875,0.0016455714428027,0.6274738067520372,Over,-220.0,1.4545454545454546,0.6875,0.0016455714428027,0.632183908045977,Over,0.5,-214.0,1.4672897196261685,0.6815286624203821,-0.0058186005317195,0.6320082505156572,Over,5,0.6311369862772143
552b0679668ac1011ceb86524711c27b,Milwaukee Bucks @ Oklahoma City Thunder,player_assists,Brook Lopez,Under,0.5,155.0,2.55,0.3921568627450981,-0.0111311191143123,0.3666469544648137,Under,,,,,,,,,,,,,,,,,,,145.0,2.45,0.4081632653061224,0.0088768840869681,0.3693340794627867,Under,552b0679668ac1011ceb86524711c27b,,,,,,,145.0,2.45,0.4081632653061224,0.0088768840869681,0.3725261932479627,Under,150.0,2.5,0.4,-0.0013271975456848,0.367816091954023,Under,0.5,152.0,2.52,0.3968253968253968,-0.0052954515139388,0.3679917494843427,Under,5,0.3688630137227858
