event_id,game,market,description,name,point,ballybet_price,ballybet_decimal_odds,ballybet_implied_prob,ballybet_implied_prob_diff,ballybet_dejuice,ballybet_name,betmgm_price,betmgm_decimal_odds,betmgm_implied_prob,betmgm_implied_prob_diff,betmgm_dejuice,betmgm_name,betonlineag_price,betonlineag_decimal_odds,betonlineag_implied_prob,betonlineag_implied_prob_diff,betonlineag_dejuice,betonlineag_name,bovada_price,bovada_decimal_odds,bovada_implied_prob,bovada_implied_prob_diff,bovada_dejuice,bovada_name,draftkings_price,draftkings_decimal_odds,draftkings_implied_prob,draftkings_implied_prob_diff,draftkings_dejuice,draftkings_name,espnbet_price,espnbet_decimal_odds,espnbet_implied_prob,espnbet_implied_prob_diff,espnbet_dejuice,espnbet_name,event_id.1,fanduel_price,fanduel_decimal_odds,fanduel_implied_prob,fanduel_implied_prob_diff,fanduel_dejuice,fanduel_name,fliff_price,fliff_decimal_odds,fliff_implied_prob,fliff_implied_prob_diff,fliff_dejuice,fliff_name,hardrockbet_price,hardrockbet_decimal_odds,hardrockbet_implied_prob,hardrockbet_implied_prob_diff,hardrockbet_dejuice,hardrockbet_name,point.1,values_populated,avg_dejuiced_prob
0bfd6223d18e57da53a9f5f7dccc250a,Dallas Mavericks @ Boston Celtics,player_assists,Derrick White,Over,3.5,-139.0,1.7194244604316546,0.5815899581589958,-0.019284340314868,0.5438496039698445,Over,-160.0,1.625,0.6153846153846154,0.018734649063954,0.5751633986928104,Over,-149.0,1.6711409395973154,0.5983935742971888,-0.0003802721594008,0.5626591727408448,Over,-145.0,1.6896551724137931,0.5918367346938775,-0.0077567167131259,0.554140127388535,Over,-154.0,1.6493506493506491,0.6062992125984252,0.0085135709294902,0.5715249662618084,Over,-160.0,1.625,0.6153846153846154,0.018734649063954,0.5751633986928104,Over,0bfd6223d18e57da53a9f5f7dccc250a,-130.0,1.7692307692307692,0.5652173913043479,-0.0377034780263468,0.5330897279740154,Over,-145.0,1.6896551724137931,0.5918367346938775,-0.007756716713126,0.5481788842784694,Over,-165.0,1.606060606060606,0.6226415094339623,0.0268986548694694,0.5724082291246471,Over,3.5,9,0.5595752787915317
0bfd6223d18e57da53a9f5f7dccc250a,Dallas Mavericks @ Boston Celtics,player_assists,Derrick White,Under,3.5,105.0,2.05,0.4878048780487805,0.0186906554280742,0.4561503960301556,Under,120.0,2.2,0.4545454545454545,-0.0187261960131674,0.4248366013071895,Under,115.0,2.15,0.4651162790697674,-0.0068340184233154,0.4373408272591551,Under,110.0,2.1,0.4761904761904761,0.0056244533374818,0.4458598726114649,Under,120.0,2.2,0.4545454545454545,-0.0187261960131674,0.4284750337381915,Under,120.0,2.2,0.4545454545454545,-0.0187261960131674,0.4248366013071895,Under,0bfd6223d18e57da53a9f5f7dccc250a,102.0,2.02,0.495049504950495,0.026840860692503,0.4669102720259845,Under,105.0,2.05,0.4878048780487805,0.0186906554280742,0.4518211157215307,Under,115.0,2.15,0.4651162790697674,-0.0068340184233154,0.4275917708753529,Under,3.5,9,0.4404247212084683
0bfd6223d18e57da53a9f5f7dccc250a,Dallas Mavericks @ Boston Celtics,player_assists,Jaylen Brown,Over,4.5,-132.0,1.7575757575757576,0.5689655172413793,-0.0230661638521106,0.528604118993135,Over,-150.0,1.6666666666666663,0.6000000000000001,0.0118476292513376,0.5633187772925765,Over,-145.0,1.6896551724137931,0.5918367346938775,0.0026639557819496,0.5553135493238951,Over,-150.0,1.6666666666666663,0.6000000000000001,0.0118476292513376,0.5633187772925765,Over,-140.0,1.7142857142857144,0.5833333333333333,-0.0069023707486626,0.550561797752809,Over,-150.0,1.6666666666666663,0.6000000000000001,0.0118476292513376,0.5633187772925765,Over,0bfd6223d18e57da53a9f5f7dccc250a,-128.0,1.78125,0.5614035087719298,-0.0315734233802413,0.5289256198347108,Over,-145.0,1.6896551724137931,0.5918367346938775,0.0026639557819498,0.5420560747663551,Over,-155.0,1.6451612903225803,0.607843137254902,0.0206711586631023,0.5607235142118863,Over,4.5,9,0.5506823340845024
0bfd6223d18e57da53a9f5f7dccc250a,Dallas Mavericks @ Boston Celtics,player_assists,Jaylen Brown,Under,4.5,-103.0,1.970873786407767,0.5073891625615764,0.0296812327016571,0.471395881006865,Under,115.0,2.15,0.4651162790697674,-0.0178757612266279,0.4366812227074235,Under,111.0,2.1100000000000003,0.4739336492890995,-0.0079562197298794,0.4446864506761048,Under,115.0,2.15,0.4651162790697674,-0.0178757612266279,0.4366812227074235,Under,110.0,2.1,0.4761904761904761,-0.0054172894658306,0.449438202247191,Under,115.0,2.15,0.4651162790697674,-0.0178757612266279,0.4366812227074235,Under,0bfd6223d18e57da53a9f5f7dccc250a,100.0,2.0,0.5,0.0213684248198836,0.4710743801652893,Under,100.0,2.0,0.5,0.0213684248198836,0.4579439252336448,Under,110.0,2.1,0.4761904761904761,-0.0054172894658306,0.4392764857881136,Under,4.5,9,0.4493176659154977
0bfd6223d18e57da53a9f5f7dccc250a,Dallas Mavericks @ Boston Celtics,player_assists,Jayson Tatum,Over,5.5,-136.0,1.7352941176470589,0.576271186440678,-0.0068736524652497,0.5379072681704261,Over,-155.0,1.6451612903225803,0.607843137254902,0.0286447922007524,0.5665108372290694,Over,-143.0,1.6993006993006992,0.5884773662551441,0.0068582998260247,0.552733296521259,Over,-135.0,1.7407407407407407,0.574468085106383,-0.0089021414663315,0.5407914020517831,Over,-130.0,1.7692307692307692,0.5652173913043479,-0.0193091719936209,0.5306122448979592,Over,-130.0,1.7692307692307692,0.5652173913043479,-0.0193091719936209,0.5306122448979592,Over,0bfd6223d18e57da53a9f5f7dccc250a,-130.0,1.7692307692307692,0.5652173913043479,-0.0193091719936209,0.5330897279740154,Over,-140.0,1.7142857142857144,0.5833333333333333,0.0010712627889875,0.5384615384615384,Over,-160.0,1.625,0.6153846153846154,0.03712895509668,0.5695364238410596,Over,5.5,9,0.5444727760050078
0bfd6223d18e57da53a9f5f7dccc250a,Dallas Mavericks @ Boston Celtics,player_assists,Jayson Tatum,Under,5.5,102.0,2.02,0.495049504950495,0.0088898277843342,0.4620927318295739,Under,115.0,2.15,0.4651162790697674,-0.0247850513314843,0.4334891627709307,Under,110.0,2.1,0.4761904761904761,-0.012326579570687,0.4472667034787409,Under,105.0,2.05,0.4878048780487805,0.0007396225199053,0.4592085979482169,Under,100.0,2.0,0.5,0.0144591347150273,0.4693877551020408,Under,100.0,2.0,0.5,0.0144591347150273,0.4693877551020408,Under,0bfd6223d18e57da53a9f5f7dccc250a,102.0,2.02,0.495049504950495,0.0088898277843342,0.4669102720259845,Under,100.0,2.0,0.5,0.0144591347150273,0.4615384615384615,Under,115.0,2.15,0.4651162790697674,-0.0247850513314843,0.4304635761589404,Under,5.5,9,0.4555272239949923
0bfd6223d18e57da53a9f5f7dccc250a,Dallas Mavericks @ Boston Celtics,player_assists,Jrue Holiday,Over,3.5,-124.0,1.8064516129032255,0.5535714285714286,0.0167822818993047,0.5160051216389245,Over,-118.0,1.847457627118644,0.5412844036697247,0.0029593788848879,0.5082034454470877,Over,-112.0,1.8928571428571428,0.5283018867924528,-0.011645952602043,0.4969046636401156,Over,-115.0,1.869565217391304,0.5348837209302326,-0.0042413891970407,0.5,Over,-105.0,1.9523809523809523,0.5121951219512195,-0.0297660630484304,0.4796954314720812,Over,-120.0,1.8333333333333333,0.5454545454545454,0.0076507883928111,0.5101214574898786,Over,0bfd6223d18e57da53a9f5f7dccc250a,-118.0,1.847457627118644,0.5412844036697247,0.0029593788848879,0.510397604391948,Over,-120.0,1.8333333333333333,0.5454545454545454,0.0076507883928111,0.5,Over,-120.0,1.8333333333333333,0.5454545454545454,0.0076507883928111,0.5048923679060665,Over,3.5,9,0.5029133435540113
0bfd6223d18e57da53a9f5f7dccc250a,Dallas Mavericks @ Boston Celtics,player_assists,Jrue Holiday,Under,3.5,-108.0,1.925925925925926,0.5192307692307692,-0.0148331158505576,0.4839948783610755,Under,-110.0,1.9090909090909087,0.5238095238095238,-0.0096820169494588,0.4917965545529122,Under,-115.0,1.869565217391304,0.5348837209302326,0.0027764548113387,0.5030953363598846,Under,-115.0,1.869565217391304,0.5348837209302326,0.0027764548113387,0.5,Under,-125.0,1.8,0.5555555555555556,0.0260322687648268,0.5203045685279188,Under,-110.0,1.9090909090909087,0.5238095238095238,-0.0096820169494588,0.4898785425101215,Under,0bfd6223d18e57da53a9f5f7dccc250a,-108.0,1.925925925925926,0.5192307692307692,-0.0148331158505576,0.4896023956080518,Under,-120.0,1.8333333333333333,0.5454545454545454,0.0146686324011905,0.5,Under,-115.0,1.869565217391304,0.5348837209302326,0.0027764548113387,0.4951076320939335,Under,3.5,9,0.4970866564459887
0bfd6223d18e57da53a9f5f7dccc250a,Dallas Mavericks @ Boston Celtics,player_assists,Kristaps Porzingis,Over,2.5,,,,,,,110.0,2.1,0.4761904761904761,-0.0136959732981518,0.4458598726114649,Over,106.0,2.06,0.4854368932038835,-0.0026002728820631,0.4564539116366858,Over,,,,,,,100.0,2.0,0.5,0.0148754552732767,0.4693877551020408,Over,110.0,2.1,0.4761904761904761,-0.0136959732981518,0.4458598726114649,Over,0bfd6223d18e57da53a9f5f7dccc250a,,,,,,,100.0,2.0,0.5,0.0148754552732767,0.4615384615384615,Over,105.0,2.05,0.4878048780487805,0.0002413089318133,0.4484304932735426,Over,2.5,6,0.4545883944622768
0bfd6223d18e57da53a9f5f7dccc250a,Dallas Mavericks @ Boston Celtics,player_assists,Kristaps Porzingis,Under,2.5,,,,,,,-145.0,1.6896551724137931,0.5918367346938775,0.0081474284815742,0.554140127388535,Under,-137.0,1.72992700729927,0.5780590717299579,-0.0083857670751293,0.5435460883633142,Under,,,,,,,-130.0,1.7692307692307692,0.5652173913043479,-0.0237957835858613,0.5306122448979592,Under,-145.0,1.6896551724137931,0.5918367346938775,0.0081474284815742,0.554140127388535,Under,0bfd6223d18e57da53a9f5f7dccc250a,,,,,,,-140.0,1.7142857142857144,0.5833333333333333,-0.0020566531510789,0.5384615384615384,Under,-150.0,1.6666666666666663,0.6000000000000001,0.0179433468489211,0.5515695067264574,Under,2.5,6,0.5454116055377233
