event_id,game,market,description,name,point,betonlineag_price,betonlineag_decimal_odds,betonlineag_implied_prob,betonlineag_implied_prob_diff,betonlineag_dejuice,betonlineag_name,bovada_price,bovada_decimal_odds,bovada_implied_prob,bovada_implied_prob_diff,bovada_dejuice,bovada_name,draftkings_price,draftkings_decimal_odds,draftkings_implied_prob,draftkings_implied_prob_diff,draftkings_dejuice,draftkings_name,espnbet_price,espnbet_decimal_odds,espnbet_implied_prob,espnbet_implied_prob_diff,espnbet_dejuice,espnbet_name,event_id.1,fanduel_price,fanduel_decimal_odds,fanduel_implied_prob,fanduel_implied_prob_diff,fanduel_dejuice,fanduel_name,fliff_price,fliff_decimal_odds,fliff_implied_prob,fliff_implied_prob_diff,fliff_dejuice,fliff_name,hardrockbet_price,hardrockbet_decimal_odds,hardrockbet_implied_prob,hardrockbet_implied_prob_diff,hardrockbet_dejuice,hardrockbet_name,point.1,williamhill_us_price,williamhill_us_decimal_odds,williamhill_us_implied_prob,williamhill_us_implied_prob_diff,williamhill_us_dejuice,williamhill_us_name,values_populated,avg_dejuiced_prob
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,De'Aaron Fox,Over,5.5,-132.0,1.7575757575757576,0.5689655172413793,-0.0094674696225296,0.5347344777795604,Over,,,,,,,-135.0,1.7407407407407407,0.574468085106383,-0.0030478071133586,0.5407914020517831,Over,-130.0,1.7692307692307692,0.5652173913043479,-0.0138402832157329,0.5306122448979592,Over,001a6f6b65837f6bd710af95226ce1b3,-132.0,1.7575757575757576,0.5689655172413793,-0.0094674696225294,0.5371848068943506,Over,-145.0,1.6896551724137931,0.5918367346938775,0.0172156174053851,0.5360685302073941,Over,-140.0,1.7142857142857144,0.5833333333333333,0.00729498248475,0.5324675324675324,Over,5.5,-142.0,1.704225352112676,0.5867768595041323,0.0113124296840155,0.5448390009027987,Over,7,0.5366711421716255
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,De'Aaron Fox,Under,5.5,102.0,2.02,0.495049504950495,-0.003715041518499,0.4652655222204395,Under,,,,,,,105.0,2.05,0.4878048780487805,-0.0121671062371659,0.4592085979482169,Under,100.0,2.0,0.5,0.0020605360392567,0.4693877551020408,Under,001a6f6b65837f6bd710af95226ce1b3,104.0,2.04,0.4901960784313725,-0.0093773724574753,0.4628151931056495,Under,-105.0,1.9523809523809523,0.5121951219512195,0.0162881783156794,0.4639314697926059,Under,-105.0,1.9523809523809523,0.5121951219512195,0.0162881783156794,0.4675324675324676,Under,5.5,104.0,2.04,0.4901960784313725,-0.0093773724574753,0.4551609990972012,Under,7,0.4633288578283746
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,DeMar DeRozan,Over,3.5,-164.0,1.6097560975609757,0.6212121212121212,-0.0018126772512736,0.5829383886255923,Over,,,,,,,-166.0,1.6024096385542168,0.6240601503759399,0.0015100234398479,0.5893794380981784,Over,-160.0,1.625,0.6153846153846154,-0.0086114340500305,0.5751633986928104,Over,001a6f6b65837f6bd710af95226ce1b3,-160.0,1.625,0.6153846153846154,-0.0086114340500305,0.5795601552393274,Over,-170.0,1.5882352941176472,0.6296296296296295,0.0080077492358192,0.5693779904306221,Over,-170.0,1.5882352941176472,0.6296296296296295,0.0080077492358192,0.5807453416149068,Over,3.5,-166.0,1.6024096385542168,0.6240601503759399,0.0015100234398479,0.5785804816223068,Over,7,0.5793921706176777
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,DeMar DeRozan,Under,3.5,125.0,2.25,0.4444444444444444,-0.0090618922140661,0.4170616113744075,Under,,,,,,,130.0,2.3,0.4347826086956522,-0.0203340339209904,0.4106205619018215,Under,120.0,2.2,0.4545454545454545,0.0027226195704456,0.4248366013071895,Under,001a6f6b65837f6bd710af95226ce1b3,124.0,2.24,0.4464285714285714,-0.0067470773992513,0.4204398447606727,Under,110.0,2.1,0.4761904761904761,0.0279751448229709,0.4306220095693781,Under,120.0,2.2,0.4545454545454545,0.0027226195704456,0.4192546583850932,Under,3.5,120.0,2.2,0.4545454545454545,0.0027226195704456,0.4214195183776933,Under,7,0.4206078293823223
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Domantas Sabonis,Over,6.5,-110.0,1.9090909090909087,0.5238095238095238,-0.0090106906159408,0.4917965545529122,Over,,,,,,,-105.0,1.9523809523809523,0.5121951219512195,-0.0225608261172958,0.4796954314720812,Over,-115.0,1.869565217391304,0.5348837209302326,0.003909206024886,0.5,Over,001a6f6b65837f6bd710af95226ce1b3,100.0,2.0,0.5,-0.0367884683937186,0.4710743801652893,Over,-130.0,1.7692307692307692,0.5652173913043479,0.0392984881280206,0.5088967971530249,Over,-120.0,1.8333333333333333,0.5454545454545454,0.0162418346365843,0.5,Over,6.5,-117.0,1.8547008547008548,0.5391705069124424,0.0089104563374641,0.5,Over,7,0.4930661661919011
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Domantas Sabonis,Under,6.5,-118.0,1.847457627118644,0.5412844036697247,-0.0057026601768171,0.5082034454470877,Under,,,,,,,-125.0,1.8,0.5555555555555556,0.0109470170233187,0.5203045685279188,Under,-115.0,1.869565217391304,0.5348837209302326,-0.0131701233728912,0.5,Under,001a6f6b65837f6bd710af95226ce1b3,-128.0,1.78125,0.5614035087719298,0.0177696291090887,0.5289256198347108,Under,-120.0,1.8333333333333333,0.5454545454545454,-0.0008374947611929,0.491103202846975,Under,-120.0,1.8333333333333333,0.5454545454545454,-0.0008374947611929,0.5,Under,6.5,-117.0,1.8547008547008548,0.5391705069124424,-0.0081688730603132,0.5,Under,7,0.5069338338080989
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Josh Giddey,Over,6.5,-139.0,1.7194244604316546,0.5815899581589958,-0.0053565225197688,0.5462570956657111,Over,,,,,,,-130.0,1.7692307692307692,0.5652173913043479,-0.0244578505168581,0.5306122448979592,Over,-135.0,1.7407407407407407,0.574468085106383,-0.0136653744144837,0.5407914020517831,Over,001a6f6b65837f6bd710af95226ce1b3,-138.0,1.7246376811594204,0.5798319327731092,-0.0074075521366365,0.5467012037178121,Over,-160.0,1.625,0.6153846153846154,0.0340705775767873,0.5517241379310345,Over,-150.0,1.6666666666666663,0.6000000000000001,0.0161218596280694,0.5515695067264574,Over,6.5,-142.0,1.704225352112676,0.5867768595041323,0.0006948623828902,0.5448390009027987,Over,7,0.5446420845562223
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Josh Giddey,Under,6.5,107.0,2.0700000000000003,0.4830917874396134,-0.0080040567767472,0.4537429043342889,Under,,,,,,,100.0,2.0,0.5,0.0117221912103703,0.4693877551020408,Under,105.0,2.05,0.4878048780487805,-0.0025054510660523,0.4592085979482169,Under,001a6f6b65837f6bd710af95226ce1b3,108.0,2.08,0.4807692307692307,-0.010713706225527,0.453298796282188,Under,100.0,2.0,0.5,0.0117221912103703,0.4482758620689655,Under,105.0,2.05,0.4878048780487805,-0.0025054510660523,0.4484304932735426,Under,6.5,104.0,2.04,0.4901960784313725,0.0002842827136383,0.4551609990972012,Under,7,0.4553579154437777
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Keegan Murray,Over,1.5,,,,,,,,,,,,,,,,,,,165.0,2.65,0.3773584905660377,-0.0053329298612317,0.3483606557377049,Over,001a6f6b65837f6bd710af95226ce1b3,,,,,,,160.0,2.6,0.3846153846153846,0.0043429288712307,0.3499999999999999,Over,165.0,2.65,0.3773584905660377,-0.0053329298612317,0.345679012345679,Over,1.5,159.0,2.59,0.3861003861003861,0.0063229308512327,0.3583436559900902,Over,4,0.3505958310183685
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Keegan Murray,Under,1.5,,,,,,,,,,,,,,,,,,,-240.0,1.4166666666666667,0.7058823529411764,-0.000760798146419,0.651639344262295,Under,001a6f6b65837f6bd710af95226ce1b3,,,,,,,-250.0,1.4,0.7142857142857143,0.0104436836462981,0.6499999999999999,Under,-250.0,1.4,0.7142857142857143,0.0104436836462981,0.654320987654321,Under,1.5,-224.0,1.4464285714285714,0.691358024691358,-0.020126569146177,0.6416563440099097,Under,4,0.6494041689816314
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Kevin Huerter,Over,1.5,,,,,,,,,,,,,,,,,,,130.0,2.3,0.4347826086956522,-0.0098814229249011,0.4034582132564842,Over,001a6f6b65837f6bd710af95226ce1b3,,,,,,,120.0,2.2,0.4545454545454545,0.0197628458498023,0.4074585635359116,Over,130.0,2.3,0.4347826086956522,-0.0098814229249011,0.4011259676284307,Over,1.5,,,,,,,3,0.4040142481402755
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Kevin Huerter,Under,1.5,,,,,,,,,,,,,,,,,,,-180.0,1.5555555555555556,0.6428571428571428,-0.0122127352279003,0.5965417867435158,Under,001a6f6b65837f6bd710af95226ce1b3,,,,,,,-195.0,1.5128205128205128,0.6610169491525424,0.015026974215199,0.5925414364640884,Under,-185.0,1.5405405405405406,0.6491228070175439,-0.0028142389872987,0.5988740323715693,Under,1.5,,,,,,,3,0.5959857518597245
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Malik Monk,Over,5.5,,,,,,,,,,,,,,,,,,,,,,,,,001a6f6b65837f6bd710af95226ce1b3,-156.0,1.641025641025641,0.609375,,0.5749767565413734,Over,,,,,,,,,,,,,5.5,,,,,,,1,0.5749767565413734
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Malik Monk,Over,6.5,103.0,2.03,0.4926108374384236,-0.0088669950738916,0.4632298852859897,Over,,,,,,,105.0,2.05,0.4878048780487805,-0.0146341463414633,0.4592085979482169,Over,100.0,2.0,0.5,0.0,0.4693877551020408,Over,001a6f6b65837f6bd710af95226ce1b3,,,,,,,-105.0,1.9523809523809523,0.5121951219512195,0.0146341463414634,0.4605263157894737,Over,100.0,2.0,0.5,0.0,0.4615384615384615,Over,6.5,-103.0,1.970873786407767,0.5073891625615764,0.0088669950738917,0.470587081846347,Over,6,0.4640796829184215
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Malik Monk,Under,5.5,,,,,,,,,,,,,,,,,,,,,,,,,001a6f6b65837f6bd710af95226ce1b3,122.0,2.22,0.4504504504504505,,0.4250232434586267,Under,,,,,,,,,,,,,5.5,,,,,,,1,0.4250232434586267
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Malik Monk,Under,6.5,-133.0,1.7518796992481205,0.5708154506437768,-0.0079514014337913,0.5367701147140101,Under,,,,,,,-135.0,1.7407407407407407,0.574468085106383,-0.003568240078664,0.5407914020517831,Under,-130.0,1.7692307692307692,0.5652173913043479,-0.0146690726411061,0.5306122448979592,Under,001a6f6b65837f6bd710af95226ce1b3,,,,,,,-150.0,1.6666666666666663,0.6000000000000001,0.0270700577936765,0.5394736842105263,Under,-140.0,1.7142857142857144,0.5833333333333333,0.0070700577936761,0.5384615384615384,Under,6.5,-133.0,1.7518796992481205,0.5708154506437768,-0.0079514014337913,0.5294129181536531,Under,6,0.5359203170815784
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Nikola Vucevic,Over,3.5,124.0,2.24,0.4464285714285714,-0.0065544886774028,0.4198571520494176,Over,,,,,,,124.0,2.24,0.4464285714285714,-0.0065544886774028,0.4204398447606727,Over,120.0,2.2,0.4545454545454545,0.002915208292294,0.4248366013071895,Over,001a6f6b65837f6bd710af95226ce1b3,136.0,2.3600000000000003,0.4237288135593219,-0.0330375395248605,0.400210329516242,Over,115.0,2.15,0.4651162790697674,0.0152478369039924,0.4222648752399232,Over,115.0,2.15,0.4651162790697674,0.0152478369039924,0.4275917708753529,Over,3.5,116.0,2.16,0.4629629629629629,0.0127356347793871,0.4293262879788639,Over,7,0.4206466945325231
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Nikola Vucevic,Under,3.5,-161.0,1.62111801242236,0.6168582375478928,-0.0065076771690755,0.5801428479505824,Under,,,,,,,-160.0,1.625,0.6153846153846154,-0.0082269030262324,0.5795601552393274,Under,-160.0,1.625,0.6153846153846154,-0.0082269030262324,0.5751633986928104,Under,001a6f6b65837f6bd710af95226ce1b3,-174.0,1.5747126436781609,0.635036496350365,0.0147002914338086,0.5997896704837579,Under,-175.0,1.5714285714285714,0.6363636363636364,0.0162486214492919,0.5777351247600767,Under,-165.0,1.606060606060606,0.6226415094339623,0.0002394733646723,0.5724082291246471,Under,3.5,-160.0,1.625,0.6153846153846154,-0.0082269030262324,0.5706737120211361,Under,7,0.5793533054674768
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Patrick Williams,Over,1.5,,,,,,,,,,,,,,,,,,,-160.0,1.625,0.6153846153846154,-0.0063835040807258,0.5751633986928104,Over,001a6f6b65837f6bd710af95226ce1b3,,,,,,,-175.0,1.5714285714285714,0.6363636363636364,0.021588523891302,0.5719844357976653,Over,-165.0,1.606060606060606,0.6226415094339623,0.0032923546517367,0.5724082291246471,Over,1.5,-154.0,1.6493506493506491,0.6062992125984252,-0.0184973744623128,0.5624310915104742,Over,4,0.5704967887813992
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Patrick Williams,Under,1.5,,,,,,,,,,,,,,,,,,,120.0,2.2,0.4545454545454545,-0.0164561682771423,0.4248366013071895,Under,001a6f6b65837f6bd710af95226ce1b3,,,,,,,110.0,2.1,0.4761904761904761,0.0124038605828865,0.4280155642023346,Under,115.0,2.15,0.4651162790697674,-0.0023617355780584,0.4275917708753529,Under,1.5,112.0,2.12,0.4716981132075471,0.0064140432723144,0.4375689084895259,Under,4,0.4295032112186007
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Trey Lyles,Over,1.5,,,,,,,,,,,,,,,,,,,120.0,2.2,0.4545454545454545,-0.0105708245243129,0.4248366013071895,Over,001a6f6b65837f6bd710af95226ce1b3,,,,,,,115.0,2.15,0.4651162790697674,0.0105708245243129,0.4197901049475263,Over,,,,,,,1.5,,,,,,,2,0.4223133531273578
001a6f6b65837f6bd710af95226ce1b3,Sacramento Kings @ Chicago Bulls,player_assists,Trey Lyles,Under,1.5,,,,,,,,,,,,,,,,,,,-160.0,1.625,0.6153846153846154,-0.0274725274725273,0.5751633986928104,Under,001a6f6b65837f6bd710af95226ce1b3,,,,,,,-180.0,1.5555555555555556,0.6428571428571428,0.0274725274725273,0.5802098950524738,Under,,,,,,,1.5,,,,,,,2,0.577686646872642
