event_id,game,market,description,name,point,ballybet_price,ballybet_decimal_odds,ballybet_implied_prob,ballybet_implied_prob_diff,ballybet_dejuice,ballybet_name,betmgm_price,betmgm_decimal_odds,betmgm_implied_prob,betmgm_implied_prob_diff,betmgm_dejuice,betmgm_name,betonlineag_price,betonlineag_decimal_odds,betonlineag_implied_prob,betonlineag_implied_prob_diff,betonlineag_dejuice,betonlineag_name,bovada_price,bovada_decimal_odds,bovada_implied_prob,bovada_implied_prob_diff,bovada_dejuice,bovada_name,draftkings_price,draftkings_decimal_odds,draftkings_implied_prob,draftkings_implied_prob_diff,draftkings_dejuice,draftkings_name,espnbet_price,espnbet_decimal_odds,espnbet_implied_prob,espnbet_implied_prob_diff,espnbet_dejuice,espnbet_name,event_id.1,fanduel_price,fanduel_decimal_odds,fanduel_implied_prob,fanduel_implied_prob_diff,fanduel_dejuice,fanduel_name,hardrockbet_price,hardrockbet_decimal_odds,hardrockbet_implied_prob,hardrockbet_implied_prob_diff,hardrockbet_dejuice,hardrockbet_name,point.1,williamhill_us_price,williamhill_us_decimal_odds,williamhill_us_implied_prob,williamhill_us_implied_prob_diff,williamhill_us_dejuice,williamhill_us_name,values_populated,avg_dejuiced_prob
0121869cd6f93c1f8873045e71fa1605,Phoenix Suns @ Atlanta Hawks,player_assists,Bradley Beal,Over,3.5,120.0,2.2,0.4545454545454545,-0.013957471699956,0.4254270696452036,Over,120.0,2.2,0.4545454545454545,-0.013957471699956,0.4248366013071895,Over,,,,,,,100.0,2.0,0.5,0.0379905802480958,0.4693877551020408,Over,105.0,2.05,0.4878048780487805,0.0240532980181307,0.4592085979482169,Over,120.0,2.2,0.4545454545454545,-0.013957471699956,0.4248366013071895,Over,0121869cd6f93c1f8873045e71fa1605,116.0,2.16,0.4629629629629629,-0.0043374620799465,0.4368658399098083,Over,115.0,2.15,0.4651162790697674,-0.0018765293864556,0.4275917708753529,Over,3.5,120.0,2.2,0.4545454545454545,-0.013957471699956,0.4214195183776933,Over,8,0.4361967193090869
0121869cd6f93c1f8873045e71fa1605,Phoenix Suns @ Atlanta Hawks,player_assists,Bradley Beal,Under,3.5,-159.0,1.6289308176100628,0.613899613899614,0.0119095338227209,0.5745729303547964,Under,-160.0,1.625,0.6153846153846154,0.0136066783770083,0.5751633986928104,Under,,,,,,,-130.0,1.7692307692307692,0.5652173913043479,-0.0437272920004402,0.5306122448979592,Under,-135.0,1.7407407407407407,0.574468085106383,-0.0331550705124,0.5407914020517831,Under,-160.0,1.625,0.6153846153846154,0.0136066783770083,0.5751633986928104,Under,0121869cd6f93c1f8873045e71fa1605,-148.0,1.6756756756756757,0.5967741935483871,-0.0076623751501097,0.5631341600901917,Under,-165.0,1.606060606060606,0.6226415094339623,0.021900271576262,0.5724082291246471,Under,3.5,-166.0,1.6024096385542168,0.6240601503759399,0.0235215755099507,0.5785804816223068,Under,8,0.5638032806909131
0121869cd6f93c1f8873045e71fa1605,Phoenix Suns @ Atlanta Hawks,player_assists,Clint Capela,Over,1.5,,,,,,,110.0,2.1,0.4761904761904761,-0.0092691860984544,0.4458598726114649,Over,,,,,,,,,,,,,,,,,,,105.0,2.05,0.4878048780487805,0.0062166830459513,0.4554079696394688,Over,0121869cd6f93c1f8873045e71fa1605,,,,,,,105.0,2.05,0.4878048780487805,0.0062166830459513,0.4484304932735426,Over,1.5,108.0,2.08,0.4807692307692307,-0.0031641799934483,0.4461715601611974,Over,4,0.4489674739214184
0121869cd6f93c1f8873045e71fa1605,Phoenix Suns @ Atlanta Hawks,player_assists,Clint Capela,Under,1.5,,,,,,,-145.0,1.6896551724137931,0.5918367346938775,-0.0015324409333626,0.554140127388535,Under,,,,,,,,,,,,,,,,,,,-140.0,1.7142857142857144,0.5833333333333333,-0.0128703094140882,0.5445920303605313,Under,0121869cd6f93c1f8873045e71fa1605,,,,,,,-150.0,1.6666666666666663,0.6000000000000001,0.009351912808134,0.5515695067264574,Under,1.5,-148.0,1.6756756756756757,0.5967741935483871,0.0050508375393167,0.5538284398388026,Under,4,0.5510325260785816
0121869cd6f93c1f8873045e71fa1605,Phoenix Suns @ Atlanta Hawks,player_assists,De'Andre Hunter,Over,1.5,,,,,,,-150.0,1.6666666666666663,0.6000000000000001,-0.0047141166177756,0.5633187772925765,Over,,,,,,,,,,,,,,,,,,,-150.0,1.6666666666666663,0.6000000000000001,-0.0047141166177756,0.5633187772925765,Over,0121869cd6f93c1f8873045e71fa1605,,,,,,,-155.0,1.6451612903225803,0.607843137254902,0.0057433997220935,0.5607235142118863,Over,1.5,-154.0,1.6493506493506491,0.6062992125984252,0.0036848335134578,0.5624310915104742,Over,4,0.5624480400768783
0121869cd6f93c1f8873045e71fa1605,Phoenix Suns @ Atlanta Hawks,player_assists,De'Andre Hunter,Under,1.5,,,,,,,115.0,2.15,0.4651162790697674,-0.0058853437528294,0.4366812227074235,Under,,,,,,,,,,,,,,,,,,,115.0,2.15,0.4651162790697674,-0.0058853437528294,0.4366812227074235,Under,0121869cd6f93c1f8873045e71fa1605,,,,,,,110.0,2.1,0.4761904761904761,0.0088802524081154,0.4392764857881136,Under,1.5,112.0,2.12,0.4716981132075471,0.0028904350975434,0.4375689084895259,Under,4,0.4375519599231217
0121869cd6f93c1f8873045e71fa1605,Phoenix Suns @ Atlanta Hawks,player_assists,Devin Booker,Over,7.5,-103.0,1.970873786407767,0.5073891625615764,-0.0163261083078174,0.4730431309904154,Over,-115.0,1.869565217391304,0.5348837209302326,0.0150962441135039,0.5,Over,,,,,,,105.0,2.05,0.4878048780487805,-0.0387081477510127,0.4592085979482169,Over,-110.0,1.9090909090909087,0.5238095238095238,0.0024400188326938,0.4898785425101215,Over,-115.0,1.869565217391304,0.5348837209302326,0.0150962441135039,0.5,Over,0121869cd6f93c1f8873045e71fa1605,100.0,2.0,0.5,-0.0247708655210476,0.4710743801652893,Over,-120.0,1.8333333333333333,0.5454545454545454,0.0271771864270041,0.5,Over,7.5,-117.0,1.8547008547008548,0.5391705069124424,0.0199954280931722,0.5,Over,8,0.4866505814517554
0121869cd6f93c1f8873045e71fa1605,Phoenix Suns @ Atlanta Hawks,player_assists,Devin Booker,Under,7.5,-130.0,1.7692307692307692,0.5652173913043479,0.0172575865100176,0.5269568690095847,Under,-115.0,1.869565217391304,0.5348837209302326,-0.017409465346114,0.5,Under,,,,,,,-135.0,1.7407407407407407,0.574468085106383,0.0278298079980577,0.5407914020517831,Under,-120.0,1.8333333333333333,0.5454545454545454,-0.0053285230326136,0.5101214574898786,Under,-115.0,1.869565217391304,0.5348837209302326,-0.017409465346114,0.5,Under,0121869cd6f93c1f8873045e71fa1605,-128.0,1.78125,0.5614035087719298,0.0128988636158255,0.5289256198347108,Under,-120.0,1.8333333333333333,0.5454545454545454,-0.0053285230326136,0.5,Under,7.5,-117.0,1.8547008547008548,0.5391705069124424,-0.0125102813664457,0.5,Under,8,0.5133494185482447
0121869cd6f93c1f8873045e71fa1605,Phoenix Suns @ Atlanta Hawks,player_assists,Dyson Daniels,Over,5.5,-105.0,1.9523809523809523,0.5121951219512195,0.0068633521737474,0.4779426508923199,Over,-105.0,1.9523809523809523,0.5121951219512195,0.0068633521737474,0.4753937007874015,Over,,,,,,,120.0,2.2,0.4545454545454545,-0.0590219820042696,0.4248366013071895,Over,-115.0,1.869565217391304,0.5348837209302326,0.0327931795783339,0.5,Over,105.0,2.05,0.4878048780487805,-0.0210112122861828,0.4554079696394688,Over,0121869cd6f93c1f8873045e71fa1605,102.0,2.02,0.495049504950495,-0.0127316386842233,0.4669102720259845,Over,-120.0,1.8333333333333333,0.5454545454545454,0.0448741218918342,0.5,Over,5.5,-103.0,1.970873786407767,0.5073891625615764,0.0013708271570125,0.470587081846347,Over,8,0.4713847845623389
0121869cd6f93c1f8873045e71fa1605,Phoenix Suns @ Atlanta Hawks,player_assists,Dyson Daniels,Under,5.5,-127.0,1.7874015748031495,0.5594713656387665,-0.009143841269119,0.5220573491076799,Under,-130.0,1.7692307692307692,0.5652173913043479,-0.0025769547941689,0.5246062992125985,Under,,,,,,,-160.0,1.625,0.6153846153846154,0.0547570155832797,0.5751633986928104,Under,-115.0,1.869565217391304,0.5348837209302326,-0.0372440066503007,0.5,Under,-140.0,1.7142857142857144,0.5833333333333333,0.0181269789532428,0.5445920303605313,Under,0121869cd6f93c1f8873045e71fa1605,-130.0,1.7692307692307692,0.5652173913043479,-0.0025769547941689,0.5330897279740154,Under,-120.0,1.8333333333333333,0.5454545454545454,-0.0251630643368003,0.5,Under,5.5,-133.0,1.7518796992481205,0.5708154506437768,0.0038208273080355,0.5294129181536531,Under,8,0.5286152154376611
