event_id,game,market,description,name,point,ballybet_price,ballybet_decimal_odds,ballybet_implied_prob,ballybet_implied_prob_diff,ballybet_dejuice,ballybet_name,betanysports_price,betanysports_decimal_odds,betanysports_implied_prob,betanysports_implied_prob_diff,betanysports_dejuice,betanysports_name,betmgm_price,betmgm_decimal_odds,betmgm_implied_prob,betmgm_implied_prob_diff,betmgm_dejuice,betmgm_name,betonlineag_price,betonlineag_decimal_odds,betonlineag_implied_prob,betonlineag_implied_prob_diff,betonlineag_dejuice,betonlineag_name,betparx_price,betparx_decimal_odds,betparx_implied_prob,betparx_implied_prob_diff,betparx_dejuice,betparx_name,betus_price,betus_decimal_odds,betus_implied_prob,betus_implied_prob_diff,betus_dejuice,betus_name,bovada_price,bovada_decimal_odds,bovada_implied_prob,bovada_implied_prob_diff,bovada_dejuice,bovada_name,draftkings_price,draftkings_decimal_odds,draftkings_implied_prob,draftkings_implied_prob_diff,draftkings_dejuice,draftkings_name,espnbet_price,espnbet_decimal_odds,espnbet_implied_prob,espnbet_implied_prob_diff,espnbet_dejuice,espnbet_name,event_id.1,fanduel_price,fanduel_decimal_odds,fanduel_implied_prob,fanduel_implied_prob_diff,fanduel_dejuice,fanduel_name,fliff_price,fliff_decimal_odds,fliff_implied_prob,fliff_implied_prob_diff,fliff_dejuice,fliff_name,hardrockbet_price,hardrockbet_decimal_odds,hardrockbet_implied_prob,hardrockbet_implied_prob_diff,hardrockbet_dejuice,hardrockbet_name,lowvig_price,lowvig_decimal_odds,lowvig_implied_prob,lowvig_implied_prob_diff,lowvig_dejuice,lowvig_name,point.1,williamhill_us_price,williamhill_us_decimal_odds,williamhill_us_implied_prob,williamhill_us_implied_prob_diff,williamhill_us_dejuice,williamhill_us_name,windcreek_price,windcreek_decimal_odds,windcreek_implied_prob,windcreek_implied_prob_diff,windcreek_dejuice,windcreek_name,values_populated,avg_dejuiced_prob
119e614495fedf8e25d6e5f7acf57ad3,SMU Mustangs @ Penn State Nittany Lions,h2h,,Penn State Nittany Lions,,-335.0,1.2985074626865671,0.7701149425287357,-0.0028808537031206,0.7321840849622903,Penn State Nittany Lions,,,,,,,-350.0,1.2857142857142856,0.7777777777777779,0.0054205511500085,0.7368421052631579,Penn State Nittany Lions,-330.0,1.303030303030303,0.7674418604651163,-0.0057766926053749,0.7421289355322339,Penn State Nittany Lions,-335.0,1.2985074626865671,0.7701149425287357,-0.0028808537031206,0.7321840849622903,Penn State Nittany Lions,,,,,,,-350.0,1.2857142857142856,0.7777777777777779,0.0054205511500085,0.7446808510638299,Penn State Nittany Lions,-325.0,1.3076923076923077,0.7647058823529411,-0.0087406688935646,0.7335423197492164,Penn State Nittany Lions,-340.0,1.2941176470588236,0.7727272727272727,-5.082932137212559e-05,0.7408716136631331,Penn State Nittany Lions,119e614495fedf8e25d6e5f7acf57ad3,-315.0,1.3174603174603174,0.7590361445783133,-0.0148828848160782,0.7265238879736409,Penn State Nittany Lions,-405.0,1.2469135802469136,0.801980198019802,0.0316398397455345,0.7504632489190859,Penn State Nittany Lions,-350.0,1.2857142857142856,0.7777777777777779,0.0054205511500085,0.7368421052631579,Penn State Nittany Lions,-330.0,1.303030303030303,0.7674418604651163,-0.0057766926053749,0.7421289355322339,Penn State Nittany Lions,,-335.0,1.2985074626865671,0.7701149425287357,-0.0028808537031206,0.7349177330895794,Penn State Nittany Lions,-333.0,1.3003003003003002,0.76905311778291,-0.0040311638444318,0.7291210509852988,Penn State Nittany Lions,13,0.7371100736122421
119e614495fedf8e25d6e5f7acf57ad3,SMU Mustangs @ Penn State Nittany Lions,h2h,,SMU Mustangs,,255.0,3.55,0.2816901408450704,0.0065929108182629,0.2678159150377097,SMU Mustangs,,,,,,,260.0,3.6,0.2777777777777778,0.0023545174953626,0.263157894736842,SMU Mustangs,275.0,3.75,0.2666666666666666,-0.0096825195416744,0.2578710644677661,SMU Mustangs,255.0,3.55,0.2816901408450704,0.006592910818263,0.2678159150377097,SMU Mustangs,,,,,,,275.0,3.75,0.2666666666666666,-0.0096825195416744,0.2553191489361702,SMU Mustangs,260.0,3.6,0.2777777777777778,0.0023545174953626,0.2664576802507837,SMU Mustangs,270.0,3.7,0.2702702702702702,-0.0057786156377705,0.2591283863368669,SMU Mustangs,119e614495fedf8e25d6e5f7acf57ad3,250.0,3.5,0.2857142857142857,0.0109524010932461,0.2734761120263591,SMU Mustangs,275.0,3.75,0.2666666666666666,-0.0096825195416744,0.2495367510809141,SMU Mustangs,260.0,3.6,0.2777777777777778,0.0023545174953626,0.263157894736842,SMU Mustangs,275.0,3.75,0.2666666666666666,-0.0096825195416744,0.2578710644677661,SMU Mustangs,,260.0,3.6,0.2777777777777778,0.0023545174953626,0.2650822669104204,SMU Mustangs,250.0,3.5,0.2857142857142857,0.0109524010932461,0.2708789490147013,SMU Mustangs,13,0.2628899263877579
119e614495fedf8e25d6e5f7acf57ad3,SMU Mustangs @ Penn State Nittany Lions,spreads,,Penn State Nittany Lions,-9.0,-109.0,1.9174311926605505,0.5215311004784688,-0.00151894888737,0.453505304763886,Penn State Nittany Lions,,,,,,,,,,,,,,,,,,,-109.0,1.9174311926605505,0.5215311004784688,-0.00151894888737,0.453505304763886,Penn State Nittany Lions,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,0.00151894888737,0.4554865424430642,Penn State Nittany Lions,,,,,,,,,,,,,119e614495fedf8e25d6e5f7acf57ad3,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,0.00151894888737,0.4554865424430642,Penn State Nittany Lions,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,4,0.4544959236034751
119e614495fedf8e25d6e5f7acf57ad3,SMU Mustangs @ Penn State Nittany Lions,spreads,,Penn State Nittany Lions,-8.5,,,,,,,,,,,,,-115.0,1.869565217391304,0.5348837209302326,0.0091697651175538,0.4651162790697675,Penn State Nittany Lions,-115.0,1.869565217391304,0.5348837209302326,0.0091697651175538,0.4651162790697675,Penn State Nittany Lions,,,,,,,,,,,,,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.0034864601632562,0.4554865424430642,Penn State Nittany Lions,-110.0,1.9090909090909087,0.5238095238095238,-0.0034864601632562,0.4554865424430642,Penn State Nittany Lions,119e614495fedf8e25d6e5f7acf57ad3,-110.0,1.9090909090909087,0.5238095238095238,-0.0034864601632562,0.4554865424430642,Penn State Nittany Lions,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.0034864601632562,0.4554865424430642,Penn State Nittany Lions,-111.0,1.900900900900901,0.5260663507109005,-0.0009072294188258,0.4574490006181743,Penn State Nittany Lions,-8.5,-110.0,1.9090909090909087,0.5238095238095238,-0.0034864601632562,0.4554865424430642,Penn State Nittany Lions,,,,,,,8,0.4581392838716288
119e614495fedf8e25d6e5f7acf57ad3,SMU Mustangs @ Penn State Nittany Lions,spreads,,SMU Mustangs,8.5,,,,,,,,,,,,,-105.0,1.9523809523809523,0.5121951219512195,-0.0069092070756223,0.4453870625662778,SMU Mustangs,-105.0,1.9523809523809523,0.5121951219512195,-0.0069092070756223,0.4453870625662778,SMU Mustangs,,,,,,,,,,,,,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,0.006364395048154,0.4554865424430642,SMU Mustangs,-110.0,1.9090909090909087,0.5238095238095238,0.006364395048154,0.4554865424430642,SMU Mustangs,119e614495fedf8e25d6e5f7acf57ad3,-110.0,1.9090909090909087,0.5238095238095238,0.006364395048154,0.4554865424430642,SMU Mustangs,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,0.006364395048154,0.4554865424430642,SMU Mustangs,-101.0,1.99009900990099,0.5024875621890548,-0.0180035610895249,0.436945706251352,SMU Mustangs,8.5,-110.0,1.9090909090909087,0.5238095238095238,0.006364395048154,0.4554865424430642,SMU Mustangs,,,,,,,8,0.4506440679499036
119e614495fedf8e25d6e5f7acf57ad3,SMU Mustangs @ Penn State Nittany Lions,spreads,,SMU Mustangs,9.0,-112.0,1.8928571428571428,0.5283018867924528,-0.0042200985597211,0.4593929450369155,SMU Mustangs,,,,,,,,,,,,,,,,,,,-112.0,1.8928571428571428,0.5283018867924528,-0.0042200985597211,0.4593929450369155,SMU Mustangs,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.0102099158702931,0.4554865424430642,SMU Mustangs,,,,,,,,,,,,,119e614495fedf8e25d6e5f7acf57ad3,,,,,,,-120.0,1.8333333333333333,0.5454545454545454,0.0186501129897355,0.4743083003952569,SMU Mustangs,,,,,,,,,,,,,9.0,,,,,,,,,,,,,4,0.462145183228038
119e614495fedf8e25d6e5f7acf57ad3,SMU Mustangs @ Penn State Nittany Lions,totals,,Over,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-115.0,1.869565217391304,0.5348837209302326,0.0038591899057016,0.5108342361863489,Over,119e614495fedf8e25d6e5f7acf57ad3,-110.0,1.9090909090909087,0.5238095238095238,-0.0109064062552434,0.5,Over,-120.0,1.8333333333333333,0.5454545454545454,0.0179536226047853,0.5,Over,,,,,,,,,,,,,53.5,-110.0,1.9090909090909087,0.5238095238095238,-0.0109064062552434,0.5,Over,,,,,,,4,0.5027085590465872
119e614495fedf8e25d6e5f7acf57ad3,SMU Mustangs @ Penn State Nittany Lions,totals,,Over,54.0,-113.0,1.8849557522123892,0.5305164319248826,0.0063522158592581,0.5053754192827041,Over,,,,,,,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.0014725102753271,0.5,Over,-113.0,1.8849557522123892,0.5305164319248826,0.0063522158592581,0.5053754192827041,Over,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.0014725102753271,0.5,Over,-110.0,1.9090909090909087,0.5238095238095238,-0.0014725102753271,0.5,Over,,,,,,,119e614495fedf8e25d6e5f7acf57ad3,,,,,,,,,,,,,-110.0,1.9090909090909087,0.5238095238095238,-0.0014725102753271,0.5,Over,-108.0,1.925925925925926,0.5192307692307692,-0.0068143906172075,0.5,Over,54.0,,,,,,,,,,,,,7,0.5015358340807726
119e614495fedf8e25d6e5f7acf57ad3,SMU Mustangs @ Penn State Nittany Lions,totals,,Over,54.5,,,,,,,,,,,,,-105.0,1.9523809523809523,0.5121951219512195,,0.4891657638136511,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119e614495fedf8e25d6e5f7acf57ad3,,,,,,,,,,,,,,,,,,,,,,,,,54.5,,,,,,,,,,,,,1,0.4891657638136511
119e614495fedf8e25d6e5f7acf57ad3,SMU Mustangs @ Penn State Nittany Lions,totals,,Under,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-105.0,1.9523809523809523,0.5121951219512195,-0.0188294090733114,0.4891657638136511,Under,119e614495fedf8e25d6e5f7acf57ad3,-110.0,1.9090909090909087,0.5238095238095238,-0.0033435399289056,0.5,Under,-120.0,1.8333333333333333,0.5454545454545454,0.0255164889311231,0.5,Under,,,,,,,,,,,,,53.5,-110.0,1.9090909090909087,0.5238095238095238,-0.0033435399289056,0.5,Under,,,,,,,4,0.4972914409534127
