value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betanysports_price,betmgm_price,betonlineag_price,betparx_price,betus_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,lowvig_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
lowvig,-380.0,-0.027529063507036988,Tulane Green Wave @ Florida Gators,h2h,,Florida Gators,,-420.0,,-450.0,-380.0,-420.0,-390.0,-400.0,-425.0,-450.0,-400.0,-470.0,-400.0,-380.0,-455.0,0.7698728247235956,1.263157894736842
betonlineag,-380.0,-0.027529063507036988,Tulane Green Wave @ Florida Gators,h2h,,Florida Gators,,-420.0,,-450.0,-380.0,-420.0,-390.0,-400.0,-425.0,-450.0,-400.0,-470.0,-400.0,-380.0,-455.0,0.7698728247235956,1.263157894736842
espnbet,-250.0,-0.02415728744537793,Pittsburgh Panthers @ Toledo Rockets,h2h,,Pittsburgh Panthers,,-275.0,-265.0,-275.0,-265.0,-275.0,-265.0,-275.0,-265.0,-250.0,-245.0,-305.0,-275.0,-265.0,-286.0,0.6970305089675872,1.4
lowvig,-103.0,-0.01790945922849596,North Texas Mean Green @ Texas State Bobcats,totals,,Over,64.5,-115.0,-105.0,-110.0,-105.0,-115.0,-105.0,,-112.0,-110.0,,,-110.0,-103.0,,0.4983020970416991,1.970873786407767
betonlineag,100.0,-0.11012352929794444,Indiana Hoosiers @ Georgia Bulldogs,spreads,,Indiana Hoosiers,6.5,,,,100.0,,,,-110.0,,-114.0,,,104.0,,0.4449382353510278,2.0
betus,138.0,-0.006992684157367979,Iowa Hawkeyes @ Missouri Tigers,h2h,,Iowa Hawkeyes,,120.0,135.0,135.0,135.0,120.0,138.0,135.0,130.0,130.0,122.0,,130.0,135.0,125.0,0.4172299646397613,2.38
espnbet,-105.0,-0.023809523809523836,Buffalo Bulls @ Liberty Flames,totals,,Over,51.5,,,-110.0,,,,,-110.0,-105.0,,,,,,0.5,1.9523809523809523
betanysports,115.0,-0.01342219131397726,UConn Huskies @ North Carolina Tar Heels,h2h,,UConn Huskies,,110.0,115.0,105.0,110.0,110.0,115.0,105.0,105.0,110.0,112.0,,110.0,110.0,100.0,0.4588733993888478,2.15
betus,115.0,-0.01342219131397726,UConn Huskies @ North Carolina Tar Heels,h2h,,UConn Huskies,,110.0,115.0,105.0,110.0,110.0,115.0,105.0,105.0,110.0,112.0,,110.0,110.0,100.0,0.4588733993888478,2.15
betanysports,125.0,-0.009421694989688256,Miami (OH) RedHawks @ Colorado State Rams,h2h,,Colorado State Rams,,114.0,125.0,120.0,125.0,114.0,120.0,120.0,114.0,115.0,114.0,,115.0,125.0,115.0,0.4402570244490274,2.25
betonlineag,125.0,-0.009421694989688256,Miami (OH) RedHawks @ Colorado State Rams,h2h,,Colorado State Rams,,114.0,125.0,120.0,125.0,114.0,120.0,120.0,114.0,115.0,114.0,,115.0,125.0,115.0,0.4402570244490274,2.25
lowvig,125.0,-0.009421694989688256,Miami (OH) RedHawks @ Colorado State Rams,h2h,,Colorado State Rams,,114.0,125.0,120.0,125.0,114.0,120.0,120.0,114.0,115.0,114.0,,115.0,125.0,115.0,0.4402570244490274,2.25
draftkings,-108.0,-0.021496584773863847,UConn Huskies @ North Carolina Tar Heels,totals,,Under,53.0,,-115.0,,-115.0,,,-115.0,-108.0,,,,,-114.0,,0.5080690809828015,1.925925925925926
espnbet,100.0,-0.10679054574143965,Texas A&M Aggies @ USC Trojans,spreads,,Texas A&M Aggies,-3.5,-105.0,-105.0,-110.0,,-105.0,-110.0,-105.0,-102.0,100.0,-110.0,,-105.0,,,0.4466047271292801,2.0
hardrockbet,325.0,0.013056488475641226,Alabama Crimson Tide @ Michigan Wolverines,h2h,,Michigan Wolverines,,295.0,280.0,300.0,280.0,295.0,293.0,320.0,310.0,300.0,330.0,,325.0,280.0,320.0,0.2383662325825038,4.25
betmgm,340.0,0.012559571216179899,Tulane Green Wave @ Florida Gators,h2h,,Tulane Green Wave,,310.0,,340.0,310.0,310.0,312.0,300.0,330.0,340.0,310.0,300.0,300.0,310.0,320.0,0.2301271752764045,4.4
espnbet,340.0,0.012559571216179899,Tulane Green Wave @ Florida Gators,h2h,,Tulane Green Wave,,310.0,,340.0,310.0,310.0,312.0,300.0,330.0,340.0,310.0,300.0,300.0,310.0,320.0,0.2301271752764045,4.4
fanduel,-315.0,-0.02888672841561757,SMU Mustangs @ Penn State Nittany Lions,h2h,,Penn State Nittany Lions,,-335.0,,-350.0,-330.0,-335.0,,-350.0,-325.0,-340.0,-315.0,-405.0,-350.0,-330.0,-333.0,0.7371100736122421,1.3174603174603174
ballybet,225.0,-0.006808576975377401,Indiana Hoosiers @ Notre Dame Fighting Irish,h2h,,Indiana Hoosiers,,225.0,,220.0,,225.0,,230.0,200.0,210.0,205.0,210.0,200.0,,195.0,0.3055973609306531,3.25
betparx,225.0,-0.006808576975377401,Indiana Hoosiers @ Notre Dame Fighting Irish,h2h,,Indiana Hoosiers,,225.0,,220.0,,225.0,,230.0,200.0,210.0,205.0,210.0,200.0,,195.0,0.3055973609306531,3.25
