value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,betparx_price,betus_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,lowvig_price,mybookieag_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
ballybet,950.0,0.08464372347896088,Bellarmine Knights @ Wyoming Cowboys,h2h,,Bellarmine Knights,,950.0,800.0,,950.0,,,800.0,900.0,860.0,785.0,800.0,,625.0,800.0,0.1032994022360915,10.5
betparx,950.0,0.08464372347896088,Bellarmine Knights @ Wyoming Cowboys,h2h,,Bellarmine Knights,,950.0,800.0,,950.0,,,800.0,900.0,860.0,785.0,800.0,,625.0,800.0,0.1032994022360915,10.5
fanduel,-230.0,-0.02652992440787927,Tenn-Martin Skyhawks @ Morehead St Eagles,h2h,,Morehead St Eagles,,-240.0,-250.0,-245.0,-240.0,-245.0,-235.0,-245.0,-250.0,-230.0,-265.0,-260.0,-245.0,-244.0,-250.0,0.6784791435945083,1.434782608695652
lowvig,-111.0,-0.10968203856643355,SIU-Edwardsville Cougars @ Arkansas-Little Rock Trojans,spreads,,SIU-Edwardsville Cougars,4.5,,-115.0,-115.0,,-115.0,,,-120.0,,-125.0,,-111.0,,,0.4683663209437245,1.900900900900901
fanduel,-102.0,-0.11107744617818838,Buffalo Bulls @ Georgia Bulldogs,spreads,,Buffalo Bulls,26.5,-110.0,,,-110.0,,,,,-102.0,-105.0,,,,,0.448861883612994,1.9803921568627447
betmgm,180.0,-0.014441607509402266,Alabama St Hornets @ Norfolk St Spartans,h2h,,Alabama St Hornets,,163.0,180.0,,163.0,,185.0,180.0,175.0,155.0,160.0,160.0,,160.0,175.0,0.3519851401752135,2.8
draftkings,180.0,-0.014441607509402266,Alabama St Hornets @ Norfolk St Spartans,h2h,,Alabama St Hornets,,163.0,180.0,,163.0,,185.0,180.0,175.0,155.0,160.0,160.0,,160.0,175.0,0.3519851401752135,2.8
lowvig,-101.0,-0.10855362926831247,Long Beach St 49ers @ Pepperdine Waves,spreads,,Long Beach St 49ers,6.0,,,-105.0,,-105.0,,-108.0,,,,-105.0,-101.0,-110.0,,0.447940713651246,1.99009900990099
lowvig,-106.0,-0.10810730606327579,New Orleans Privateers @ Texas Longhorns,spreads,,New Orleans Privateers,34.5,-117.0,,-110.0,-117.0,,-115.0,-110.0,-110.0,-110.0,-115.0,-110.0,-106.0,,,0.4589350755208387,1.9433962264150944
betus,159.0,-0.010334782634309647,SIU-Edwardsville Cougars @ Arkansas-Little Rock Trojans,h2h,,SIU-Edwardsville Cougars,,148.0,150.0,160.0,148.0,159.0,145.0,150.0,155.0,146.0,145.0,145.0,160.0,149.0,145.0,0.3821101225350156,2.59
lowvig,-103.0,-0.021043661726938057,Eastern Illinois Panthers @ SE Missouri St Redhawks,totals,,Over,140.0,,,-105.0,,-110.0,-110.0,-108.0,,,,-110.0,-103.0,-110.0,,0.4967118366607161,1.970873786407767
espnbet,2000.0,0.20538503167258415,Merrimack Warriors @ Saint Mary's Gaels,h2h,,Merrimack Warriors,,,1600.0,,,,,1600.0,2000.0,1600.0,1600.0,1500.0,,1395.0,1400.0,0.057399287222504,21.0
fanduel,-102.0,-0.10934006976772614,Chicago St Cougars @ Grand Canyon Antelopes,spreads,,Chicago St Cougars,30.5,,,-105.0,,,-115.0,,-105.0,-102.0,-115.0,-105.0,-101.0,,,0.4497391726915443,1.9803921568627447
bovada,-140.0,-0.023268494625890312,South Dakota Coyotes @ Utah Tech Trailblazers,h2h,,South Dakota Coyotes,,-143.0,-150.0,-145.0,-143.0,-145.0,-140.0,-148.0,-145.0,-140.0,-160.0,-155.0,-145.0,-159.0,-154.0,0.569760044801564,1.7142857142857144
