value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,betparx_price,betus_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,lowvig_price,mybookieag_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
draftkings,-205.0,-0.017428698756368766,Holy Cross Crusaders @ Siena Saints,h2h,,Siena Saints,,-230.0,-225.0,,-230.0,,,-205.0,-225.0,-240.0,-240.0,-250.0,,-260.0,-222.0,0.6604167762457193,1.4878048780487805
draftkings,-375.0,-0.021801378551446482,Southern Jaguars @ Loyola Marymount Lions,h2h,,Loyola Marymount Lions,,-500.0,-400.0,,-500.0,,,-375.0,-425.0,-450.0,-460.0,-450.0,,-475.0,-400.0,0.7722620695646475,1.2666666666666666
ballybet,-910.0,-0.019525196478703544,Jackson St Tigers @ UTEP Miners,h2h,,UTEP Miners,,-910.0,-1400.0,-1300.0,-910.0,-1300.0,,-1350.0,-1800.0,-1100.0,-1560.0,-1400.0,-1300.0,-1429.0,-1250.0,0.8833980903013661,1.10989010989011
betparx,-910.0,-0.019525196478703544,Jackson St Tigers @ UTEP Miners,h2h,,UTEP Miners,,-910.0,-1400.0,-1300.0,-910.0,-1300.0,,-1350.0,-1800.0,-1100.0,-1560.0,-1400.0,-1300.0,-1429.0,-1250.0,0.8833980903013661,1.10989010989011
espnbet,100.0,-0.08997666962589057,Jackson St Tigers @ UTEP Miners,spreads,,Jackson St Tigers,13.5,-115.0,,,-115.0,,-105.0,,100.0,-114.0,-115.0,-105.0,,-110.0,,0.4550116651870547,2.0
betonlineag,159.0,0.016070344036062556,Akron Zips @ Yale Bulldogs,h2h,,Akron Zips,,135.0,145.0,159.0,135.0,150.0,145.0,142.0,150.0,140.0,130.0,140.0,159.0,142.0,145.0,0.3923051521374759,2.59
lowvig,159.0,0.016070344036062556,Akron Zips @ Yale Bulldogs,h2h,,Akron Zips,,135.0,145.0,159.0,135.0,150.0,145.0,142.0,150.0,140.0,130.0,140.0,159.0,142.0,145.0,0.3923051521374759,2.59
ballybet,360.0,0.04759448000262101,Southern Jaguars @ Loyola Marymount Lions,h2h,,Southern Jaguars,,360.0,310.0,,360.0,,,295.0,320.0,340.0,305.0,300.0,,285.0,300.0,0.2277379304353524,4.6
betparx,360.0,0.04759448000262101,Southern Jaguars @ Loyola Marymount Lions,h2h,,Southern Jaguars,,360.0,310.0,,360.0,,,295.0,320.0,340.0,305.0,300.0,,285.0,300.0,0.2277379304353524,4.6
fanduel,-110.0,-0.09967057684838654,Rider Broncs @ Pennsylvania Quakers,spreads,,Rider Broncs,4.5,,-115.0,,,,,,-120.0,-110.0,-130.0,,,,,0.47160112641275,1.9090909090909087
espnbet,900.0,0.16601909698634,Jackson St Tigers @ UTEP Miners,h2h,,Jackson St Tigers,,575.0,775.0,790.0,575.0,780.0,,800.0,900.0,680.0,665.0,700.0,790.0,748.0,700.0,0.116601909698634,10.0
