value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,betparx_price,betus_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,lowvig_price,mybookieag_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
mybookieag,107.0,0.042430251063628965,Utah Valley Wolverines @ Idaho State Bengals,h2h,,Utah Valley Wolverines,,-112.0,-115.0,-120.0,-112.0,,-120.0,-112.0,-110.0,-112.0,-115.0,-120.0,-120.0,107.0,-105.0,0.5035894932674535,2.0700000000000003
bovada,-115.0,0.032345077755763896,Montana St Bobcats @ UC Riverside Highlanders,h2h,,UC Riverside Highlanders,,-155.0,-140.0,-135.0,-155.0,-145.0,-115.0,-142.0,-140.0,-140.0,-145.0,-140.0,-145.0,-125.0,-133.0,0.5521845764740133,1.869565217391304
fanduel,890.0,0.21280061654762017,UMBC Retrievers @ Georgia Tech Yellow Jackets,h2h,,UMBC Retrievers,,700.0,,,700.0,,,625.0,750.0,890.0,650.0,600.0,,525.0,700.0,0.1225051127825879,9.9
betparx,-220.0,-0.006458180206965092,Le Moyne Dolphins @ Dartmouth Big Green,h2h,,Dartmouth Big Green,,,-250.0,-250.0,-220.0,,-260.0,-258.0,-250.0,-250.0,-270.0,-275.0,-250.0,-260.0,-250.0,0.6830600011077115,1.4545454545454546
draftkings,-500.0,-0.021189089255087556,Lafayette Leopards @ GW Revolutionaries,h2h,,GW Revolutionaries,,-625.0,-650.0,,-625.0,,,-500.0,-550.0,-700.0,-675.0,-700.0,,-650.0,-588.0,0.8156757589540937,1.2
draftkings,-245.0,-0.017116388807330463,Florida Gulf Coast Eagles @ UNC Wilmington Seahawks,h2h,,UNC Wilmington Seahawks,,-275.0,-275.0,,-275.0,,,-245.0,-275.0,-290.0,-290.0,-300.0,,-310.0,-286.0,0.6979898108469682,1.4081632653061225
lowvig,104.0,-0.08271019266301127,Youngstown St Penguins @ Wright St Raiders,spreads,,Youngstown St Penguins,7.0,-109.0,,100.0,-109.0,-110.0,-105.0,-108.0,,,,-110.0,104.0,-110.0,,0.4496518663416611,2.04
bovada,-150.0,-0.00956593940292172,Manhattan Jaspers @ Wagner Seahawks,h2h,,Wagner Seahawks,,-167.0,-165.0,,-167.0,,-150.0,-166.0,-170.0,-170.0,-175.0,-170.0,,-180.0,-167.0,0.5942604363582471,1.6666666666666663
draftkings,-285.0,-0.01287836517165486,Wofford Terriers @ Saint Louis Billikens,h2h,,Saint Louis Billikens,,-335.0,-350.0,-330.0,-335.0,-330.0,-330.0,-285.0,-320.0,-300.0,-355.0,-350.0,-330.0,-303.0,-333.0,0.7307264050028011,1.350877192982456
betmgm,100.0,-0.088905814030382,Evansville Purple Aces @ UT-Arlington Mavericks,spreads,,Evansville Purple Aces,7.5,-114.0,100.0,,-114.0,,-115.0,,-110.0,-108.0,,-110.0,,,,0.455547092984809,2.0
betus,134.0,0.01488677037644126,UC Santa Barbara Gauchos @ Loyola Marymount Lions,h2h,,UC Santa Barbara Gauchos,,114.0,120.0,125.0,114.0,134.0,130.0,124.0,125.0,128.0,115.0,120.0,125.0,113.0,115.0,0.4337122950326672,2.34
betus,125.0,0.007584702933470355,Montana St Bobcats @ UC Riverside Highlanders,h2h,,Montana St Bobcats,,120.0,115.0,115.0,120.0,125.0,-105.0,120.0,120.0,114.0,110.0,110.0,125.0,103.0,105.0,0.4478154235259868,2.25
lowvig,125.0,0.007584702933470355,Montana St Bobcats @ UC Riverside Highlanders,h2h,,Montana St Bobcats,,120.0,115.0,115.0,120.0,125.0,-105.0,120.0,120.0,114.0,110.0,110.0,125.0,103.0,105.0,0.4478154235259868,2.25
draftkings,-950.0,-0.030137229917597264,UMBC Retrievers @ Georgia Tech Yellow Jackets,h2h,,Georgia Tech Yellow Jackets,,-1250.0,,,-1250.0,,,-950.0,-1400.0,-1700.0,-1500.0,-1200.0,,-1400.0,-1250.0,0.8774948872174121,1.1052631578947367
mybookieag,-125.0,-0.006067762346775973,Montana St Bobcats @ UC Riverside Highlanders,h2h,,UC Riverside Highlanders,,-155.0,-140.0,-135.0,-155.0,-145.0,-115.0,-142.0,-140.0,-140.0,-145.0,-140.0,-145.0,-125.0,-133.0,0.5521845764740133,1.8
lowvig,-101.0,-0.09505514103744983,Utah Valley Wolverines @ Idaho State Bengals,spreads,,Idaho State Bengals,1.0,,,-105.0,,-110.0,,-118.0,,,,-115.0,-101.0,,,0.4547235360956098,1.99009900990099
draftkings,-900.0,-0.029499368555703565,American Eagles @ Saint Joseph's Hawks,h2h,,Saint Joseph's Hawks,,-1250.0,-1100.0,,-1250.0,,,-900.0,-1400.0,-1200.0,-1445.0,-1200.0,,-1300.0,-1111.0,0.8734505682998668,1.1111111111111112
ballybet,255.0,0.03274023764745104,Idaho Vandals @ UC Davis Aggies,h2h,,Idaho Vandals,,255.0,220.0,230.0,255.0,230.0,225.0,215.0,230.0,240.0,215.0,220.0,230.0,222.0,220.0,0.290912742999282,3.55
betparx,255.0,0.03274023764745104,Idaho Vandals @ UC Davis Aggies,h2h,,Idaho Vandals,,255.0,220.0,230.0,255.0,230.0,225.0,215.0,230.0,240.0,215.0,220.0,230.0,222.0,220.0,0.290912742999282,3.55
ballybet,-275.0,-0.016623996471018865,Youngstown St Penguins @ Wright St Raiders,h2h,,Wright St Raiders,,-275.0,-350.0,-325.0,-275.0,-310.0,-310.0,-305.0,-320.0,-300.0,-330.0,-325.0,-325.0,-278.0,-333.0,0.7211424025879194,1.3636363636363638
betparx,-275.0,-0.016623996471018865,Youngstown St Penguins @ Wright St Raiders,h2h,,Wright St Raiders,,-275.0,-350.0,-325.0,-275.0,-310.0,-310.0,-305.0,-320.0,-300.0,-330.0,-325.0,-325.0,-278.0,-333.0,0.7211424025879194,1.3636363636363638
bovada,145.0,0.01023332749259731,Oklahoma Sooners @ Michigan Wolverines,h2h,,Oklahoma Sooners,,120.0,135.0,135.0,120.0,134.0,145.0,136.0,140.0,128.0,125.0,125.0,135.0,129.0,135.0,0.4123401336704478,2.45
betmgm,-275.0,-0.024468783305076625,Mercyhurst Lakers @ Binghamton Bearcats,h2h,,Binghamton Bearcats,,-295.0,-275.0,,-295.0,,,-298.0,-290.0,-320.0,-330.0,-325.0,,-340.0,-333.0,0.7153895589096104,1.3636363636363638
draftkings,114.0,-0.007234034401109923,Southern Utah Thunderbirds @ UT Rio Grande Valley Vaqueros,h2h,,Southern Utah Thunderbirds,,102.0,110.0,,102.0,,,114.0,105.0,104.0,100.0,100.0,,,105.0,0.4639093297191075,2.14
fanduel,-138.0,-0.005306480681048331,Northeastern Huskies @ Massachusetts Minutemen,h2h,,Massachusetts Minutemen,,-139.0,-150.0,-155.0,-139.0,-155.0,-150.0,-155.0,-150.0,-138.0,-160.0,-160.0,-155.0,-156.0,-154.0,0.5767550658235938,1.7246376811594204
betonlineag,270.0,0.03177311042469788,Youngstown St Penguins @ Wright St Raiders,h2h,,Youngstown St Penguins,,215.0,260.0,270.0,215.0,255.0,255.0,245.0,250.0,235.0,230.0,220.0,270.0,220.0,250.0,0.2788575974120805,3.7
lowvig,270.0,0.03177311042469788,Youngstown St Penguins @ Wright St Raiders,h2h,,Youngstown St Penguins,,215.0,260.0,270.0,215.0,255.0,255.0,245.0,250.0,235.0,230.0,220.0,270.0,220.0,250.0,0.2788575974120805,3.7
betonlineag,100.0,-0.007178986534907006,Utah Valley Wolverines @ Idaho State Bengals,h2h,,Idaho State Bengals,,-109.0,-105.0,100.0,-109.0,,100.0,-108.0,-110.0,-108.0,-115.0,-110.0,100.0,-132.0,-118.0,0.4964105067325465,2.0
bovada,100.0,-0.007178986534907006,Utah Valley Wolverines @ Idaho State Bengals,h2h,,Idaho State Bengals,,-109.0,-105.0,100.0,-109.0,,100.0,-108.0,-110.0,-108.0,-115.0,-110.0,100.0,-132.0,-118.0,0.4964105067325465,2.0
lowvig,100.0,-0.007178986534907006,Utah Valley Wolverines @ Idaho State Bengals,h2h,,Idaho State Bengals,,-109.0,-105.0,100.0,-109.0,,100.0,-108.0,-110.0,-108.0,-115.0,-110.0,100.0,-132.0,-118.0,0.4964105067325465,2.0
betmgm,-110.0,-0.10102401979691056,Fairleigh Dickinson Knights @ La Salle Explorers,spreads,,Fairleigh Dickinson Knights,15.5,,-110.0,,,,,,-120.0,-118.0,-125.0,,,,,0.4708921801063803,1.9090909090909087
lowvig,-101.0,-0.09469096278970479,Montana St Bobcats @ UC Riverside Highlanders,spreads,,Montana St Bobcats,2.5,-105.0,-115.0,,-105.0,-110.0,,-108.0,-115.0,,-120.0,,-101.0,,,0.4549065311355215,1.99009900990099
lowvig,-101.0,-0.09276524414338694,Wofford Terriers @ Saint Louis Billikens,spreads,,Wofford Terriers,7.5,-118.0,-110.0,-105.0,-118.0,-105.0,-110.0,-108.0,-110.0,-114.0,-115.0,-110.0,-101.0,,,0.4558741808035717,1.99009900990099
fanduel,-172.0,-0.022258015944808807,Miami (OH) RedHawks @ Vermont Catamounts,h2h,,Vermont Catamounts,,-186.0,-190.0,,-186.0,,,-185.0,-185.0,-172.0,-205.0,-190.0,,-205.0,-182.0,0.6182780193290179,1.5813953488372094
