value_book,event_id,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,betrivers_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds,EV
fanduel,1344a1b84cf359045577de22f7178b28,Calgary Flames @ Detroit Red Wings,player_goal_scorer_anytime,Joe Veleno,Yes,,440.0,800.0,,440.0,440.0,650.0,,800.0,,,0.1320450885668277,9.0,0.18840579710144922
fanduel,0739fdb73426ffe08de9cc530fd5e4cd,Vancouver Canucks @ Pittsburgh Penguins,player_goals,Kiefer Sherwood,Over,0.5,,,,,,,250.0,310.0,235.0,240.0,0.2562149952066291,4.1,0.05048148034717914
betmgm,b31a524df85cb62bd843187691873e09,Washington Capitals @ Tampa Bay Lightning,player_goal_scorer_anytime,Michael Eyssimont,Yes,,400.0,700.0,,400.0,400.0,600.0,,700.0,,,0.1438923395445134,8.0,0.1511387163561072
fanduel,b31a524df85cb62bd843187691873e09,Washington Capitals @ Tampa Bay Lightning,player_goal_scorer_anytime,Michael Eyssimont,Yes,,400.0,700.0,,400.0,400.0,600.0,,700.0,,,0.1438923395445134,8.0,0.1511387163561072
fanduel,482ef5661945b0a985a6e1f3f1eba0fc,Philadelphia Flyers @ Nashville Predators,player_goals,Filip Forsberg,Over,0.5,,,,,,,115.0,140.0,115.0,115.0,0.4138645702142869,2.4,-0.0067250314857114635
betmgm,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Lane Hutson,Yes,,550.0,1000.0,,550.0,550.0,600.0,,1000.0,,,0.1139440269875052,11.0,0.25338429686255737
fanduel,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Lane Hutson,Yes,,550.0,1000.0,,550.0,550.0,600.0,,1000.0,,,0.1139440269875052,11.0,0.25338429686255737
betmgm,0739fdb73426ffe08de9cc530fd5e4cd,Vancouver Canucks @ Pittsburgh Penguins,player_goal_scorer_anytime,Aatu Raty,Yes,,450.0,750.0,,450.0,450.0,,,750.0,,,0.1357823761915833,8.5,0.15415019762845805
fanduel,0739fdb73426ffe08de9cc530fd5e4cd,Vancouver Canucks @ Pittsburgh Penguins,player_goal_scorer_anytime,Aatu Raty,Yes,,450.0,750.0,,450.0,450.0,,,750.0,,,0.1357823761915833,8.5,0.15415019762845805
fanduel,b31a524df85cb62bd843187691873e09,Washington Capitals @ Tampa Bay Lightning,player_goal_scorer_anytime,Conor Geekie,Yes,,310.0,475.0,,310.0,300.0,425.0,,480.0,,,0.1847257833487942,5.8,0.0714095434230062
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goal_scorer_anytime,Pontus Holmberg,Yes,,440.0,600.0,,440.0,440.0,500.0,,700.0,,,0.1434897630549804,8.0,0.1479181044398432
fanduel,46ba799ca902ad4c63234a9a80fa1f5d,Boston Bruins @ New York Islanders,player_goal_scorer_anytime,Nikita Zadorov,Yes,,650.0,1300.0,,650.0,650.0,900.0,,1400.0,,,0.0924775707384403,15.0,0.38716356107660466
fanduel,482ef5661945b0a985a6e1f3f1eba0fc,Philadelphia Flyers @ Nashville Predators,player_goal_scorer_anytime,Filip Forsberg,Yes,,112.0,135.0,,112.0,110.0,110.0,,140.0,,,0.3968080812110623,2.4,-0.04766060509345038
betmgm,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Joshua Roy,Yes,,460.0,750.0,,460.0,460.0,,,700.0,,,0.1353671903544026,8.5,0.15062111801242195
fanduel,0739fdb73426ffe08de9cc530fd5e4cd,Vancouver Canucks @ Pittsburgh Penguins,player_shots_on_goal,Erik Karlsson,Over,2.5,-114.0,-120.0,-108.0,-114.0,-115.0,-115.0,-118.0,104.0,-125.0,-115.0,0.4957587450425572,2.04,0.011347839886816757
fanduel,46ba799ca902ad4c63234a9a80fa1f5d,Boston Bruins @ New York Islanders,player_goal_scorer_anytime,John Beecher,Yes,,425.0,700.0,,425.0,425.0,700.0,,750.0,,,0.1360979174278407,8.5,0.1568322981366459
betmgm,b31a524df85cb62bd843187691873e09,Washington Capitals @ Tampa Bay Lightning,player_goal_scorer_anytime,Connor McMichael,Yes,,170.0,240.0,,170.0,170.0,235.0,,240.0,,,0.289544038828308,3.4,-0.015550267983752808
fanduel,b31a524df85cb62bd843187691873e09,Washington Capitals @ Tampa Bay Lightning,player_goal_scorer_anytime,Connor McMichael,Yes,,170.0,240.0,,170.0,170.0,235.0,,240.0,,,0.289544038828308,3.4,-0.015550267983752808
fanduel,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Kent Johnson,Yes,,195.0,290.0,,195.0,195.0,265.0,,280.0,,,0.2623898415114779,3.8,-0.002918602256384184
betmgm,46ba799ca902ad4c63234a9a80fa1f5d,Boston Bruins @ New York Islanders,player_goal_scorer_anytime,Oliver Wahlstrom,Yes,,420.0,750.0,,420.0,420.0,700.0,,750.0,,,0.135828578923208,8.5,0.15454292084726795
fanduel,46ba799ca902ad4c63234a9a80fa1f5d,Boston Bruins @ New York Islanders,player_goal_scorer_anytime,Oliver Wahlstrom,Yes,,420.0,750.0,,420.0,420.0,700.0,,750.0,,,0.135828578923208,8.5,0.15454292084726795
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goal_scorer_anytime,Evan Rodrigues,Yes,,285.0,375.0,,285.0,280.0,320.0,,400.0,,,0.2074289808843584,5.0,0.03714490442179208
betmgm,b31a524df85cb62bd843187691873e09,Washington Capitals @ Tampa Bay Lightning,player_goal_scorer_anytime,Conor Geekie,Yes,,310.0,475.0,,310.0,300.0,425.0,,480.0,,,0.1847257833487942,5.75,0.062173254255566635
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goal_scorer_anytime,Matthew Tkachuk,Yes,,175.0,190.0,,175.0,175.0,180.0,,220.0,,,0.3051274687331659,3.2,-0.023592100053869136
betmgm,482ef5661945b0a985a6e1f3f1eba0fc,Philadelphia Flyers @ Nashville Predators,player_goal_scorer_anytime,Tommy Novak,Yes,,310.0,450.0,,310.0,300.0,370.0,,430.0,,,0.1914591684922884,5.5,0.05302542670758603
fanduel,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Jake Evans,Yes,,390.0,700.0,,390.0,380.0,550.0,,650.0,,,0.1490834906983975,7.5,0.11812618023798116
betmgm,b31a524df85cb62bd843187691873e09,Washington Capitals @ Tampa Bay Lightning,player_goal_scorer_anytime,Cam Atkinson,Yes,,340.0,500.0,,340.0,340.0,,,500.0,,,0.1765480895915678,6.0,0.05928853754940677
fanduel,b31a524df85cb62bd843187691873e09,Washington Capitals @ Tampa Bay Lightning,player_goal_scorer_anytime,Cam Atkinson,Yes,,340.0,500.0,,340.0,340.0,,,500.0,,,0.1765480895915678,6.0,0.05928853754940677
ballybet,1344a1b84cf359045577de22f7178b28,Calgary Flames @ Detroit Red Wings,player_power_play_points,Alex DeBrincat,Under,0.5,-315.0,-400.0,,,,,-400.0,,-435.0,,0.7385627132394089,1.3174603174603174,-0.026972933351254946
betmgm,46ba799ca902ad4c63234a9a80fa1f5d,Boston Bruins @ New York Islanders,player_goal_scorer_anytime,Noah Dobson,Yes,,450.0,800.0,,450.0,450.0,700.0,,800.0,,,0.1293734445908359,9.0,0.16436100131752318
fanduel,46ba799ca902ad4c63234a9a80fa1f5d,Boston Bruins @ New York Islanders,player_goal_scorer_anytime,Noah Dobson,Yes,,450.0,800.0,,450.0,450.0,700.0,,800.0,,,0.1293734445908359,9.0,0.16436100131752318
