value_book,value_book_price,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds,EV
fanduel,-220.0,New Orleans Pelicans @ Atlanta Hawks,player_double_double,Trae Young,Yes,,-286.0,-250.0,,-250.0,-295.0,-220.0,-270.0,-275.0,0.640631290645761,1.4545454545454546,-0.06817266815162037
ballybet,104.0,Miami Heat @ Boston Celtics,player_double_double,Jayson Tatum,Yes,,104.0,,,,-110.0,-115.0,-115.0,-120.0,0.4614763633415495,2.04,-0.05858821878323883
fanduel,100.0,Brooklyn Nets @ Chicago Bulls,player_threes,Nikola Vucevic,Over,1.5,-103.0,-120.0,-114.0,-120.0,-125.0,100.0,-125.0,-120.0,0.4992680648165938,2.0,-0.001463870366812392
draftkings,-115.0,Los Angeles Lakers @ Minnesota Timberwolves,player_assists,LeBron James,Over,9.5,-150.0,-140.0,-127.0,-130.0,-115.0,-120.0,-145.0,-145.0,0.5316712226853588,1.869565217391304,-0.006005974979546691
betonlineag,-103.0,Brooklyn Nets @ Chicago Bulls,player_points_rebounds_assists,Nicolas Claxton,Over,26.5,,-125.0,-103.0,-125.0,-105.0,-113.0,-135.0,-125.0,0.5058592590143199,1.970873786407767,-0.0030152467970199215
bovada,105.0,New Orleans Pelicans @ Atlanta Hawks,player_points_rebounds,Dyson Daniels,Under,16.5,,-115.0,,105.0,-105.0,-102.0,-120.0,-120.0,0.4858408513764121,2.05,-0.004026254678355268
betonlineag,-103.0,New Orleans Pelicans @ Atlanta Hawks,player_points_rebounds_assists,De'Andre Hunter,Under,19.5,,-120.0,-103.0,-120.0,,,-125.0,-120.0,0.5034371981745027,1.970873786407767,-0.007788823015300483
betonlineag,-103.0,New Orleans Pelicans @ Atlanta Hawks,player_assists,Jalen Johnson,Under,4.5,-134.0,-105.0,-103.0,-115.0,-115.0,-122.0,-130.0,-130.0,0.5062700536484673,1.970873786407767,-0.0022056224209818787
ballybet,155.0,Los Angeles Lakers @ Minnesota Timberwolves,player_rebounds,Mike Conley,Over,3.5,155.0,135.0,,,,,130.0,130.0,0.3902241162642897,2.55,-0.004928503526061223
draftkings,-168.0,Los Angeles Lakers @ Minnesota Timberwolves,player_threes,Mike Conley,Under,2.5,-240.0,-190.0,-189.0,-200.0,-168.0,,-200.0,-200.0,0.6181442029612987,1.5952380952380951,-0.013912819085547423
fanduel,-104.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points_rebounds,Jaden McDaniels,Under,13.5,,-125.0,,-105.0,-120.0,-104.0,-135.0,-130.0,0.505572702545241,1.9615384615384617,-0.008299698853565629
ballybet,110.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Jaden McDaniels,Under,9.5,110.0,-105.0,-106.0,-110.0,100.0,,-115.0,-105.0,0.4752649380734907,2.1,-0.0019436300456694422
bovada,110.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Anthony Davis,Under,25.5,-106.0,-105.0,,110.0,,,-110.0,-105.0,0.4730665978225845,2.1,-0.00656014457257259
bovada,110.0,Brooklyn Nets @ Chicago Bulls,player_double_double,Nicolas Claxton,Yes,,108.0,-115.0,,110.0,100.0,105.0,-115.0,-120.0,0.4501481283773177,2.1,-0.054688930407632785
fanduel,-102.0,New Orleans Pelicans @ Atlanta Hawks,player_points_rebounds_assists,Dyson Daniels,Under,19.5,-112.0,-120.0,-119.0,-120.0,-115.0,-102.0,-130.0,-120.0,0.5028203861502858,1.9803921568627447,-0.004218450957277353
ballybet,102.0,New Orleans Pelicans @ Atlanta Hawks,player_assists,Jalen Johnson,Over,4.5,102.0,-125.0,-125.0,-115.0,-115.0,-104.0,-110.0,-110.0,0.4937299463515326,2.02,-0.0026655083699040905
draftkings,950.0,Brooklyn Nets @ Chicago Bulls,player_first_basket,Jalen Wilson,Yes,,800.0,,,750.0,950.0,750.0,,500.0,0.1080575346080461,10.5,0.13460411338448397
ballybet,102.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points_rebounds_assists,Mike Conley,Over,19.5,102.0,-115.0,-111.0,-110.0,-120.0,-104.0,-125.0,-115.0,0.4928450952969126,2.02,-0.004452907500236525
ballybet,125.0,Miami Heat @ Boston Celtics,player_rebounds,Jayson Tatum,Over,9.5,125.0,105.0,112.0,115.0,,,100.0,105.0,0.4434626648983444,2.25,-0.0022090039787250326
ballybet,107.0,Brooklyn Nets @ Chicago Bulls,player_points,Zach LaVine,Under,22.5,107.0,-110.0,-108.0,-110.0,,-104.0,-115.0,-110.0,0.4822286753538123,2.0700000000000003,-0.0017866420176083642
bovada,-105.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points_rebounds,Jaden McDaniels,Under,13.5,,-125.0,,-105.0,-120.0,-104.0,-135.0,-130.0,0.505572702545241,1.9523809523809523,-0.01292948550691042
draftkings,100.0,Los Angeles Lakers @ Minnesota Timberwolves,player_rebounds,Donte DiVincenzo,Under,2.5,,-115.0,-110.0,,100.0,,-125.0,-115.0,0.4911973459612245,2.0,-0.017605308077550896
ballybet,130.0,Los Angeles Lakers @ Minnesota Timberwolves,player_threes,LeBron James,Under,1.5,130.0,110.0,113.0,110.0,115.0,120.0,105.0,105.0,0.4377440502762835,2.3,0.006811315635452009
bovada,-115.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Nickeil Alexander-Walker,Under,8.5,,-135.0,-123.0,-115.0,,,-145.0,-135.0,0.524776511057329,1.869565217391304,-0.018896088023254598
ballybet,-108.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Mike Conley,Over,10.5,-108.0,-135.0,-120.0,-120.0,,-104.0,-140.0,-130.0,0.5124609670157895,1.925925925925926,-0.013038137599220234
ballybet,-113.0,Brooklyn Nets @ Chicago Bulls,player_rebounds,Ayo Dosunmu,Under,3.5,-113.0,-135.0,-127.0,,-125.0,-120.0,-140.0,-140.0,0.5222085329910483,1.8849557522123892,-0.015660021884130293
draftkings,1000.0,New Orleans Pelicans @ Atlanta Hawks,player_first_basket,Zaccharie Risacher,Yes,,800.0,,,750.0,1000.0,750.0,,525.0,0.105986637079074,11.0,0.16585300786981416
ballybet,100.0,Brooklyn Nets @ Chicago Bulls,player_points,Dennis Schroder,Over,22.5,100.0,-115.0,-112.0,-115.0,,,-120.0,-115.0,0.4930754943073572,2.0,-0.013849011385285603
ballybet,-112.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Donte DiVincenzo,Under,9.5,-112.0,-135.0,-127.0,-135.0,-120.0,-115.0,-140.0,-135.0,0.5218082587907846,1.8928571428571428,-0.012291510146014817
draftkings,-105.0,Brooklyn Nets @ Chicago Bulls,player_points_rebounds_assists,Nicolas Claxton,Over,26.5,,-125.0,-103.0,-125.0,-105.0,-113.0,-135.0,-125.0,0.5058592590143199,1.9523809523809523,-0.01237001811489924
draftkings,155.0,Brooklyn Nets @ Chicago Bulls,player_steals,Zach LaVine,Under,0.5,140.0,135.0,,,155.0,,130.0,135.0,0.3897236675235835,2.55,-0.006204647814862074
ballybet,115.0,Brooklyn Nets @ Chicago Bulls,player_rebounds,Nicolas Claxton,Over,10.5,115.0,100.0,100.0,100.0,110.0,,-105.0,-105.0,0.4611838351678206,2.15,-0.008454754389185748
draftkings,-182.0,Los Angeles Lakers @ Minnesota Timberwolves,player_steals,Anthony Davis,Under,1.5,-215.0,-210.0,,,-182.0,-194.0,-225.0,-210.0,0.6291460330686853,1.5494505494505495,-0.02516933337709193
betmgm,-105.0,New Orleans Pelicans @ Atlanta Hawks,player_assists,Jalen Johnson,Under,4.5,-134.0,-105.0,-103.0,-115.0,-115.0,-122.0,-130.0,-130.0,0.5062700536484673,1.9523809523809523,-0.011567990495849556
draftkings,-115.0,Los Angeles Lakers @ Minnesota Timberwolves,player_blocks_steals,Jaden McDaniels,Under,1.5,,-130.0,,,-115.0,,-140.0,-125.0,0.5179481470426562,1.869565217391304,-0.031662159876773344
draftkings,100.0,Los Angeles Lakers @ Minnesota Timberwolves,player_threes,Naz Reid,Under,1.5,,-115.0,-110.0,-110.0,100.0,,-120.0,-120.0,0.4910792827002952,2.0,-0.017841434599409567
fanduel,1100.0,Miami Heat @ Boston Celtics,player_first_basket,Duncan Robinson,Yes,,1000.0,,,1000.0,850.0,1100.0,,525.0,0.0943519159275942,12.0,0.13222299113113056
ballybet,100.0,Brooklyn Nets @ Chicago Bulls,player_points_rebounds_assists,Josh Giddey,Under,24.5,100.0,-115.0,-114.0,-115.0,-110.0,,-120.0,-115.0,0.4925915648749462,2.0,-0.014816870250107472
ballybet,108.0,Brooklyn Nets @ Chicago Bulls,player_rebounds,Cameron Johnson,Over,5.5,108.0,-110.0,-103.0,-110.0,-105.0,108.0,-115.0,-110.0,0.4758975993114618,2.08,-0.010132993432159454
fanduel,108.0,Brooklyn Nets @ Chicago Bulls,player_rebounds,Cameron Johnson,Over,5.5,108.0,-110.0,-103.0,-110.0,-105.0,108.0,-115.0,-110.0,0.4758975993114618,2.08,-0.010132993432159454
fanduel,-106.0,Los Angeles Lakers @ Minnesota Timberwolves,player_rebounds_assists,Anthony Davis,Under,15.5,,-125.0,,-115.0,-115.0,-106.0,-130.0,-120.0,0.5041257932119633,1.9433962264150944,-0.020283835833354358
ballybet,108.0,Brooklyn Nets @ Chicago Bulls,player_double_double,Nicolas Claxton,Yes,,108.0,-115.0,,110.0,100.0,105.0,-115.0,-120.0,0.4501481283773177,2.08,-0.06369189297517908
ballybet,125.0,Brooklyn Nets @ Chicago Bulls,player_assists,Josh Giddey,Under,5.5,125.0,110.0,114.0,115.0,105.0,,105.0,105.0,0.4419776750288703,2.25,-0.005550231185041832
draftkings,1400.0,Miami Heat @ Boston Celtics,player_double_double,Jimmy Butler,Yes,,,1000.0,,,1400.0,,965.0,1100.0,0.0751688537005116,15.0,0.1275328055076741
ballybet,112.0,Los Angeles Lakers @ Minnesota Timberwolves,player_assists,LeBron James,Under,9.5,112.0,105.0,-102.0,100.0,-115.0,-106.0,-105.0,100.0,0.4683287773146412,2.12,-0.007142992092960654
ballybet,-103.0,Brooklyn Nets @ Chicago Bulls,player_threes,Nikola Vucevic,Over,1.5,-103.0,-120.0,-114.0,-120.0,-125.0,100.0,-125.0,-120.0,0.4992680648165938,1.970873786407767,-0.016005658662441302
fanduel,102.0,Los Angeles Lakers @ Minnesota Timberwolves,player_blocks,Rudy Gobert,Over,1.5,-117.0,-110.0,,,-105.0,102.0,-115.0,-110.0,0.4859315873824311,2.02,-0.018418193487489076
draftkings,-115.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Rudy Gobert,Under,10.5,-122.0,-135.0,-128.0,-130.0,-115.0,-128.0,-145.0,-135.0,0.5258482559747926,1.869565217391304,-0.01689239100364892
fanduel,-108.0,New Orleans Pelicans @ Atlanta Hawks,player_points_rebounds_assists,Trae Young,Under,36.5,-125.0,-125.0,-119.0,-125.0,-115.0,-108.0,-130.0,-125.0,0.5123673534347806,1.925925925925926,-0.01321843042190407
draftkings,800.0,New Orleans Pelicans @ Atlanta Hawks,player_first_basket,Clint Capela,Yes,,700.0,,,700.0,800.0,700.0,,400.0,0.1220410628019323,9.0,0.09836956521739093
bovada,105.0,New Orleans Pelicans @ Atlanta Hawks,player_points_rebounds,Clint Capela,Over,19.5,,-110.0,,105.0,,-104.0,-110.0,-110.0,0.4784052093416766,2.05,-0.01926932084956301
betmgm,-110.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points_rebounds_assists,Nickeil Alexander-Walker,Over,13.5,,-110.0,-130.0,-150.0,,,-120.0,-110.0,0.5140685941093089,1.9090909090909087,-0.018596320336774053
hardrockbet,-110.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points_rebounds_assists,Nickeil Alexander-Walker,Over,13.5,,-110.0,-130.0,-150.0,,,-120.0,-110.0,0.5140685941093089,1.9090909090909087,-0.018596320336774053
