value_book,event_id,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds,EV
hardrockbet,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_anytime_td,Jayden Reed,Yes,,130.0,145.0,140.0,140.0,140.0,130.0,175.0,165.0,170.0,,0.3535522783479896,2.7,-0.04540884846042803
betonlineag,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_pass_interceptions,Caleb Williams,Over,0.5,-130.0,-130.0,-110.0,,-125.0,-130.0,-114.0,-140.0,-130.0,,0.520178977887847,1.9090909090909087,-0.006931042214110561
ballybet,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_pass_completions,Caleb Williams,Over,21.5,-113.0,-135.0,-143.0,,-145.0,-120.0,,-120.0,-130.0,,0.5244734563090294,1.8849557522123892,-0.011390741647581804
ballybet,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_receptions,D'Andre Swift,Over,2.5,138.0,105.0,124.0,130.0,120.0,120.0,138.0,100.0,115.0,,0.4232562539303607,2.38,0.007349884354258651
fanduel,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_receptions,D'Andre Swift,Over,2.5,138.0,105.0,124.0,130.0,120.0,120.0,138.0,100.0,115.0,,0.4232562539303607,2.38,0.007349884354258651
betonlineag,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_sacks,DeMarcus Walker,Under,0.5,,,-270.0,,,-320.0,,-345.0,-325.0,,0.7052841889635968,1.3703703703703702,-0.03349944475358968
windcreek,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_1st_td,D'Andre Swift,Yes,,850.0,1200.0,,,1200.0,1400.0,1000.0,725.0,800.0,1700.0,0.077305664228534,18.0,0.39150195611361194
betonlineag,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_rush_attempts,Josh Jacobs,Under,17.5,,-135.0,-108.0,,-115.0,-125.0,-114.0,-140.0,,,0.5115874138947668,1.925925925925926,-0.01472053620267133
hardrockbet,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_receptions,Jonnu Smith,Over,4.5,-127.0,-135.0,-139.0,,-130.0,-135.0,-128.0,-140.0,-115.0,,0.5294131574387522,1.869565217391304,-0.010227575223202612
fanduel,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_anytime_td,Tim Patrick,Yes,,360.0,450.0,500.0,500.0,500.0,425.0,600.0,465.0,500.0,,0.1532000904749807,7.0,0.07240063332486502
