value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
fliff,775.0,0.30712295007212465,Washington Commanders @ New Orleans Saints,player_anytime_td,Jamaal Williams,Yes,,500.0,500.0,450.0,330.0,450.0,,410.0,775.0,900.0,,0.1493854800082428,8.75
fanduel,320.0,0.08061318979810661,Baltimore Ravens @ New York Giants,player_last_td,Derrick Henry,Yes,,170.0,280.0,,210.0,,250.0,320.0,265.0,250.0,,0.2572888547138349,4.2
bovada,900.0,0.341961982021209,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Trey Palmer,Yes,,1200.0,375.0,325.0,900.0,340.0,700.0,850.0,,,,0.1341961982021209,10.0
fanduel,130.0,-0.012704274980489871,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Gus Edwards,Yes,,125.0,-125.0,-125.0,-121.0,-125.0,-110.0,130.0,135.0,140.0,,0.4292590108780479,2.3
hardrockbet,325.0,0.0834304276823683,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Kimani Vidal,Yes,,245.0,240.0,230.0,185.0,230.0,185.0,220.0,305.0,325.0,,0.2549248065134984,4.25
fanduel,120.0,-0.019186267466447693,Kansas City Chiefs @ Cleveland Browns,player_anytime_td,Isiah Pacheco,Yes,,-132.0,100.0,100.0,105.0,100.0,100.0,120.0,-115.0,-110.0,,0.4458244238788874,2.2
fliff,-125.0,-0.04060825154041492,Cincinnati Bengals @ Tennessee Titans,player_anytime_td,Chase Brown,Yes,,-159.0,-190.0,-200.0,-152.0,-185.0,-145.0,-140.0,-125.0,-115.0,,0.5329954158108806,1.8
fanduel,800.0,0.2706864036787304,Kansas City Chiefs @ Cleveland Browns,player_tds_over,Isiah Pacheco,Over,1.5,440.0,650.0,500.0,,,,800.0,,450.0,,0.1411873781865256,9.0
espnbet,100.0,0.02011879038464115,Kansas City Chiefs @ Cleveland Browns,player_pass_completions,Jameis Winston,Under,22.5,,,-125.0,,,100.0,-140.0,-120.0,,,0.5100593951923206,2.0
draftkings,255.0,0.032150587507730366,New York Jets @ Jacksonville Jaguars,player_anytime_td,Braelon Allen,Yes,,220.0,100.0,250.0,150.0,255.0,200.0,340.0,,,,0.2907466443683748,3.55
fliff,140.0,-0.011026830976040625,Washington Commanders @ New Orleans Saints,player_anytime_td,Jayden Daniels,Yes,,-105.0,130.0,-111.0,120.0,-105.0,105.0,115.0,140.0,145.0,,0.4120721537599831,2.4
fanduel,230.0,0.03164687229931662,Buffalo Bills @ Detroit Lions,player_anytime_td,Amari Cooper,Yes,,190.0,155.0,150.0,162.0,150.0,165.0,230.0,200.0,210.0,,0.3126202643331263,3.3
fanduel,650.0,0.22954982693419335,Miami Dolphins @ Houston Texans,player_anytime_td,C.J. Stroud,Yes,,480.0,600.0,280.0,450.0,285.0,450.0,650.0,430.0,450.0,,0.1639399769245591,7.5
fanduel,550.0,0.17462693769532867,Washington Commanders @ New Orleans Saints,player_anytime_td,Chris Rodriguez Jr.,Yes,,410.0,,450.0,450.0,450.0,,550.0,285.0,300.0,,0.1807118365685121,6.5
betmgm,500.0,0.14867251033020867,Pittsburgh Steelers @ Philadelphia Eagles,player_last_td,Saquon Barkley,Yes,,310.0,500.0,,300.0,,325.0,450.0,360.0,375.0,,0.1914454183883681,6.0
fanduel,102.0,0.029341977425638488,Pittsburgh Steelers @ Philadelphia Eagles,player_rush_attempts,Saquon Barkley,Over,20.5,-117.0,-125.0,-120.0,,-125.0,-120.0,102.0,-130.0,,,0.509575236349326,2.02
fanduel,108.0,0.01907645799997315,Kansas City Chiefs @ Cleveland Browns,player_pass_completions,Jameis Winston,Over,22.5,,,-103.0,,,-130.0,108.0,-120.0,,,0.4899406048076794,2.08
hardrockbet,260.0,0.038926954881001175,Miami Dolphins @ Houston Texans,player_anytime_td,Tank Dell,Yes,,190.0,190.0,170.0,185.0,175.0,185.0,190.0,250.0,260.0,,0.2885908208002781,3.6
ballybet,116.0,0.0309428670180818,Pittsburgh Steelers @ Philadelphia Eagles,player_rush_yds,Jalen Hurts,Over,39.5,116.0,-110.0,,-115.0,,105.0,,-115.0,-110.0,,0.477288364360223,2.16
ballybet,117.0,-0.02767666777429245,Cincinnati Bengals @ Tennessee Titans,player_anytime_td,Tony Pollard,Yes,,117.0,100.0,100.0,-112.0,105.0,-110.0,100.0,-120.0,-115.0,,0.4480752683067777,2.17
fanduel,250.0,0.033129016926652044,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Joshua Palmer,Yes,,200.0,190.0,180.0,175.0,180.0,165.0,250.0,210.0,210.0,,0.2951797191219006,3.5
fanduel,280.0,0.0456022507026248,Buffalo Bills @ Detroit Lions,player_anytime_td,Keon Coleman,Yes,,190.0,190.0,180.0,200.0,180.0,210.0,280.0,255.0,260.0,,0.2751584870270065,3.8
betmgm,500.0,0.13554980135053163,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Bijan Robinson,Yes,,330.0,500.0,,,400.0,325.0,,340.0,350.0,,0.1892583002250886,6.0
fanduel,850.0,0.2748638829201484,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Trey Palmer,Yes,,1200.0,375.0,325.0,900.0,340.0,700.0,850.0,,,,0.1341961982021209,9.5
betmgm,1200.0,0.35119047619047583,Chicago Bears @ Minnesota Vikings,player_tds_over,D'Andre Swift,Over,1.5,700.0,1200.0,650.0,,,,,,,,0.1039377289377289,13.0
fanduel,500.0,0.11631470624624674,Dallas Cowboys @ Carolina Panthers,player_tds_over,Rico Dowdle,Over,1.5,410.0,,400.0,330.0,,,500.0,,325.0,,0.1860524510410411,6.0
betonlineag,250.0,0.01761325528931179,New York Jets @ Jacksonville Jaguars,player_anytime_td,Braelon Allen,Yes,,220.0,100.0,250.0,150.0,255.0,200.0,340.0,,,,0.2907466443683748,3.5
fanduel,-102.0,0.013654256701376433,Dallas Cowboys @ Carolina Panthers,player_rush_attempts,Rico Dowdle,Over,17.5,,,,,-130.0,-115.0,-102.0,-140.0,,,0.5118452187303981,1.9803921568627447
hardrockbet,350.0,0.07412857922000016,Miami Dolphins @ Houston Texans,player_anytime_td,Dalton Schultz,Yes,,225.0,210.0,190.0,275.0,195.0,275.0,370.0,330.0,350.0,,0.2386952398266667,4.5
fanduel,950.0,0.321438367274564,New England Patriots @ Arizona Cardinals,player_anytime_td,Ja'Lynn Polk,Yes,,440.0,,550.0,,550.0,450.0,950.0,665.0,,,0.125851273073768,10.5
fanduel,440.0,0.11019157054636453,Green Bay Packers @ Seattle Seahawks,player_anytime_td,Dontayvion Wicks,Yes,,300.0,300.0,280.0,275.0,285.0,300.0,440.0,360.0,375.0,,0.2055910315826601,5.4
fliff,130.0,-0.0270131291894824,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Rachaad White,Yes,,125.0,-105.0,-111.0,105.0,-105.0,-110.0,100.0,130.0,140.0,,0.4230377699176164,2.3
fanduel,340.0,0.06351018789912599,Baltimore Ravens @ New York Giants,player_anytime_td,Isaiah Likely,Yes,,250.0,260.0,260.0,200.0,260.0,260.0,340.0,260.0,275.0,,0.241706860886165,4.4
ballybet,110.0,0.02663942617787507,Kansas City Chiefs @ Cleveland Browns,player_rush_yds,Nick Chubb,Under,39.5,110.0,-115.0,-114.0,-115.0,-110.0,-110.0,,,-115.0,,0.4888759172275596,2.1
bovada,145.0,0.045098078051188484,Kansas City Chiefs @ Cleveland Browns,player_receptions,Xavier Worthy,Over,3.5,125.0,105.0,117.0,145.0,125.0,130.0,122.0,-105.0,115.0,,0.4265706441025259,2.45
