value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
bovada,-110.0,0.12628769147084884,Kansas City Chiefs @ Pittsburgh Steelers,player_receptions_alternate,DeAndre Hopkins,Over,2.5,,,-256.0,-110.0,,-275.0,-245.0,,,0.5899602193418733,1.9090909090909087
bovada,-265.0,0.033002317113538515,Kansas City Chiefs @ Pittsburgh Steelers,player_receptions_alternate,DeAndre Hopkins,Over,1.5,,,,-265.0,,-900.0,-850.0,,-700.0,0.7499879836577745,1.3773584905660377
bovada,200.0,0.20005351148512274,Kansas City Chiefs @ Pittsburgh Steelers,player_receptions_alternate,DeAndre Hopkins,Over,3.5,,,115.0,200.0,,-105.0,104.0,,110.0,0.4000178371617076,3.0
bovada,400.0,0.2651575576025351,Kansas City Chiefs @ Pittsburgh Steelers,player_receptions_alternate,DeAndre Hopkins,Over,4.5,,,207.0,400.0,,210.0,220.0,,,0.253031511520507,5.0
fanduel,310.0,0.12113367429577326,Kansas City Chiefs @ Pittsburgh Steelers,player_receptions_alternate,Isiah Pacheco,Over,2.5,,,157.0,,,185.0,310.0,,,0.2734472376331154,4.1
fanduel,110.0,-0.013024897807506597,Kansas City Chiefs @ Pittsburgh Steelers,player_receptions_alternate,Isiah Pacheco,Over,1.5,,,-108.0,,,-170.0,110.0,,-110.0,0.4699881439011873,2.1
fanduel,490.0,0.2342618163380441,Kansas City Chiefs @ Pittsburgh Steelers,player_anytime_td,Calvin Austin III,Yes,,290.0,260.0,300.0,275.0,320.0,325.0,490.0,310.0,325.0,0.2091969180233973,5.9
bovada,175.0,0.03208845791811532,Baltimore Ravens @ Houston Texans,player_anytime_td,Rashod Bateman,Yes,,143.0,120.0,130.0,175.0,130.0,125.0,120.0,,,0.3753048937884056,2.75
fanduel,700.0,0.3337587617096096,Kansas City Chiefs @ Pittsburgh Steelers,player_anytime_td,Mike Williams,Yes,,400.0,350.0,350.0,275.0,390.0,360.0,700.0,520.0,575.0,0.1667198452137012,8.0
draftkings,-195.0,-0.048681186961670675,Baltimore Ravens @ Houston Texans,player_rush_yds_alternate,Joe Mixon,Over,49.5,,-275.0,,-300.0,-195.0,-275.0,-280.0,,-250.0,0.6288378594660143,1.5128205128205128
ballybet,1150.0,0.5218718479588037,Baltimore Ravens @ Houston Texans,player_anytime_td,Cade Stover,Yes,,1150.0,550.0,600.0,500.0,600.0,550.0,,,,0.1217497478367043,12.5
espnbet,450.0,0.11761426978818279,Kansas City Chiefs @ Pittsburgh Steelers,player_reception_yds_alternate,Kareem Hunt,Over,24.5,,,,,340.0,450.0,420.0,,200.0,0.2032025945069423,5.5
fanduel,-136.0,-0.04765964356757191,Kansas City Chiefs @ Pittsburgh Steelers,player_receptions_alternate,Jaylen Warren,Over,2.5,,,-152.0,-150.0,,-275.0,-136.0,,,0.5488063070966535,1.7352941176470589
draftkings,-350.0,-0.06930918079681503,Baltimore Ravens @ Houston Texans,player_rush_yds_alternate,Joe Mixon,Over,39.5,,,,-550.0,-350.0,,-530.0,,-475.0,0.7238706371580328,1.2857142857142856
hardrockbet,750.0,0.2448802772526779,Kansas City Chiefs @ Pittsburgh Steelers,player_receptions_alternate,Isiah Pacheco,Over,3.5,,,268.0,,,500.0,,,750.0,0.1464565032061974,8.5
betmgm,270.0,0.0697563400489194,Baltimore Ravens @ Houston Texans,player_anytime_td,Lamar Jackson,Yes,,200.0,270.0,210.0,185.0,215.0,185.0,210.0,180.0,190.0,0.2891233351483566,3.7
espnbet,1000.0,0.36867932989751595,Kansas City Chiefs @ Pittsburgh Steelers,player_receptions_alternate,Travis Kelce,Over,8.5,,,336.0,600.0,,1000.0,580.0,,,0.1244253936270469,11.0
