value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
fanduel,102.0,0.024257934873603393,Cincinnati Bengals @ Dallas Cowboys,player_pass_completions,Cooper Rush,Over,23.5,,-130.0,-115.0,-130.0,-120.0,-115.0,102.0,-140.0,-110.0,,0.5070583836007938,2.02
fliff,110.0,-0.04404062635659245,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Rico Dowdle,Yes,,-121.0,-120.0,-111.0,-110.0,-110.0,-115.0,105.0,110.0,-110.0,,0.4552187493540036,2.1
fliff,1005.0,0.3017334430898635,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Luke Schoonmaker,Yes,,540.0,500.0,800.0,800.0,800.0,450.0,600.0,1005.0,600.0,,0.1178039315013451,11.05
hardrockbet,650.0,0.15870301641558937,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Khalil Herbert,Yes,,390.0,400.0,450.0,450.0,450.0,375.0,550.0,595.0,650.0,,0.1544937355220786,7.5
bovada,125.0,0.024371845561970806,Cincinnati Bengals @ Dallas Cowboys,player_receptions,Jake Ferguson,Over,4.5,108.0,100.0,104.0,125.0,100.0,100.0,106.0,110.0,100.0,,0.4552763758053204,2.25
fanduel,-120.0,0.0054908511597686616,Cincinnati Bengals @ Dallas Cowboys,player_receptions,Chase Brown,Over,3.5,-141.0,-150.0,-141.0,-150.0,-145.0,-135.0,-120.0,-155.0,-145.0,,0.5484495551780557,1.8333333333333333
fanduel,1700.0,0.5135616937529719,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Drew Sample,Yes,,750.0,900.0,1100.0,1100.0,1100.0,,1700.0,695.0,750.0,,0.084086760764054,18.0
ballybet,-286.0,-0.022429502078584074,Cincinnati Bengals @ Dallas Cowboys,player_sacks,Chauncey Golston,Under,0.5,-286.0,,-323.0,,,-375.0,,-410.0,-375.0,,0.7243138922422927,1.3496503496503496
ballybet,-295.0,-0.028354633251119754,Cincinnati Bengals @ Dallas Cowboys,player_sacks,Carl Lawson,Under,0.5,-295.0,,-345.0,,,-375.0,,-390.0,-375.0,,0.7256591979516954,1.3389830508474576
windcreek,475.0,0.05132864235179957,Cincinnati Bengals @ Dallas Cowboys,player_1st_td,Chase Brown,Yes,,375.0,400.0,,235.0,450.0,425.0,420.0,350.0,375.0,475.0,0.1828397638872695,5.75
hardrockbet,5000.0,1.445072954272367,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Trayveon Williams,Yes,,750.0,1800.0,1900.0,1900.0,1900.0,1800.0,2100.0,1775.0,5000.0,,0.047942606946517,51.0
betonlineag,117.0,-0.005765709369762839,Cincinnati Bengals @ Dallas Cowboys,player_rush_attempts,Chase Brown,Under,16.5,,100.0,117.0,,110.0,100.0,,-110.0,,,0.4581724841613996,2.17
betonlineag,117.0,0.003826383840882297,Cincinnati Bengals @ Dallas Cowboys,player_receptions,Tee Higgins,Under,5.5,100.0,100.0,117.0,100.0,105.0,105.0,-102.0,-105.0,100.0,,0.4625928036133098,2.17
fanduel,105.0,-0.0668015638242927,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Rico Dowdle,Yes,,-121.0,-120.0,-111.0,-110.0,-110.0,-115.0,105.0,110.0,-110.0,,0.4552187493540036,2.05
fanduel,-106.0,-0.007079216624957585,Cincinnati Bengals @ Dallas Cowboys,player_receptions,Jalen Tolbert,Over,2.5,-127.0,-130.0,-115.0,-115.0,-120.0,-130.0,-106.0,-135.0,-115.0,,0.5109204030958956,1.9433962264150944
betonlineag,100.0,-0.010200875751690042,Cincinnati Bengals @ Dallas Cowboys,player_rush_yds,Joe Burrow,Under,9.5,-112.0,-115.0,100.0,-115.0,-115.0,,,-125.0,-115.0,,0.494899562124155,2.0
fliff,595.0,0.07373146187844637,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Khalil Herbert,Yes,,390.0,400.0,450.0,450.0,450.0,375.0,550.0,595.0,650.0,,0.1544937355220786,6.95
betmgm,1500.0,0.326223443556912,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Hunter Luepke,Yes,,1050.0,1500.0,1100.0,1100.0,1100.0,,1200.0,590.0,650.0,,0.082888965222307,16.0
