value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
espnbet,250.0,0.09423238517785182,New Orleans Saints @ Green Bay Packers,player_rush_yds_alternate,Spencer Rattler,Over,29.5,,,148.0,,,250.0,,175.0,,0.3126378243365291,3.5
ballybet,225.0,0.056789337739963974,New Orleans Saints @ Green Bay Packers,player_tds_over,Josh Jacobs,Over,1.5,225.0,,150.0,140.0,,,175.0,,195.0,0.3251659500738351,3.25
betonlineag,500.0,0.21497385603765262,New Orleans Saints @ Green Bay Packers,player_anytime_td,Dontayvion Wicks,Yes,,260.0,240.0,500.0,275.0,500.0,300.0,380.0,350.0,275.0,0.2024956426729421,6.0
draftkings,500.0,0.21497385603765262,New Orleans Saints @ Green Bay Packers,player_anytime_td,Dontayvion Wicks,Yes,,260.0,240.0,500.0,275.0,500.0,300.0,380.0,350.0,275.0,0.2024956426729421,6.0
draftkings,245.0,0.049413169266351864,New Orleans Saints @ Green Bay Packers,player_reception_yds_alternate,Marquez Valdes-Scantling,Over,49.5,,150.0,,160.0,245.0,210.0,182.0,,175.0,0.3041777302221309,3.45
bovada,115.0,0.030743845334679665,New Orleans Saints @ Green Bay Packers,player_reception_yds,Dante Pettis,Under,11.5,,-110.0,,115.0,,,,-120.0,-115.0,0.47941574201613,2.15
fanduel,220.0,0.03659867290563068,New Orleans Saints @ Green Bay Packers,player_anytime_td,Romeo Doubs,Yes,,195.0,138.0,170.0,162.0,170.0,165.0,220.0,155.0,170.0,0.3239370852830096,3.2
hardrockbet,240.0,0.022863753807672138,New Orleans Saints @ Green Bay Packers,player_receptions_alternate,Marquez Valdes-Scantling,Over,3.5,,,166.0,,,135.0,194.0,,240.0,0.3008422805316683,3.4
hardrockbet,130.0,-0.03594064905657346,New Orleans Saints @ Green Bay Packers,player_reception_yds_alternate,Foster Moreau,Over,24.5,,,,,110.0,-105.0,-102.0,,130.0,0.4191562395406202,2.3
espnbet,600.0,0.15671088659846732,New Orleans Saints @ Green Bay Packers,player_receptions_alternate,Josh Jacobs,Over,4.5,,,276.0,,,600.0,450.0,,,0.1652444123712096,7.0
betonlineag,-106.0,-0.05119529810961998,New Orleans Saints @ Green Bay Packers,player_receptions_alternate,Marquez Valdes-Scantling,Over,2.5,,,-106.0,,,-185.0,-130.0,,,0.4882198951474771,1.9433962264150944
draftkings,390.0,0.06507613639573973,New Orleans Saints @ Green Bay Packers,player_reception_yds_alternate,Marquez Valdes-Scantling,Over,59.5,,,,250.0,390.0,,280.0,,,0.2173624768154571,4.9
