value_book,event_id,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds,EV
fanduel,63057e9eb2da9cc89ac93911769b9a3e,Seattle Seahawks @ New York Jets,player_anytime_td,Braelon Allen,Yes,,170.0,150.0,260.0,110.0,260.0,165.0,340.0,270.0,275.0,,0.2858491066245394,4.4,0.2577360691479733
fliff,8b7a76ee61f07cddbb60fc1e079bfeed,Indianapolis Colts @ New England Patriots,player_anytime_td,Rhamondre Stevenson,Yes,,-110.0,105.0,-111.0,-106.0,-105.0,-105.0,105.0,140.0,115.0,,0.4318495738885419,2.4,0.036438977332500455
betonlineag,63057e9eb2da9cc89ac93911769b9a3e,Seattle Seahawks @ New York Jets,player_rush_attempts,Zach Charbonnet,Under,3.5,,-130.0,110.0,,,-120.0,,-135.0,,,0.5027657841234712,2.1,0.05580814665928946
hardrockbet,59ffd762ad2b5d96196f4f58037ab670,Tampa Bay Buccaneers @ Carolina Panthers,player_anytime_td,Sean Tucker,Yes,,360.0,450.0,230.0,,230.0,425.0,500.0,600.0,650.0,,0.178950165304135,7.5,0.3421262397810123
ballybet,cea1abe8ef88e4105f4cd505b45cd781,Tennessee Titans @ Washington Commanders,player_sacks,Dorance Armstrong,Under,0.5,-122.0,,-164.0,,,-160.0,,-180.0,-175.0,,0.5730519328490263,1.819672131147541,0.04276663190560526
hardrockbet,63057e9eb2da9cc89ac93911769b9a3e,Seattle Seahawks @ New York Jets,player_anytime_td,Isaiah Davis,Yes,,600.0,,900.0,475.0,950.0,,2300.0,1575.0,4000.0,,0.0798583899354365,41.0,2.2741939873528962
fliff,cea1abe8ef88e4105f4cd505b45cd781,Tennessee Titans @ Washington Commanders,player_anytime_td,Brian Robinson Jr.,Yes,,-129.0,-110.0,-143.0,-130.0,-130.0,-130.0,-120.0,110.0,100.0,,0.4748866728259464,2.1,-0.002737987065512537
betmgm,59ffd762ad2b5d96196f4f58037ab670,Tampa Bay Buccaneers @ Carolina Panthers,player_anytime_td,Sterling Shepard,Yes,,335.0,400.0,230.0,235.0,235.0,210.0,300.0,295.0,300.0,,0.2337345571269676,5.0,0.168672785634838
fanduel,9dcbd3e2d022d7ed1ef1e0e7f8b08f2b,Los Angeles Rams @ New Orleans Saints,player_anytime_td,Foster Moreau,Yes,,410.0,375.0,350.0,360.0,360.0,425.0,650.0,395.0,400.0,,0.1739735323186476,7.5,0.304801492389857
bovada,9dcbd3e2d022d7ed1ef1e0e7f8b08f2b,Los Angeles Rams @ New Orleans Saints,player_receptions,Kevin Austin,Over,2.5,,,,185.0,,150.0,,125.0,135.0,,0.3767214948117123,2.85,0.07365626021338023
fliff,59ffd762ad2b5d96196f4f58037ab670,Tampa Bay Buccaneers @ Carolina Panthers,player_anytime_td,Sean Tucker,Yes,,360.0,450.0,230.0,,230.0,425.0,500.0,600.0,650.0,,0.178950165304135,7.0,0.2526511571289449
fanduel,59ffd762ad2b5d96196f4f58037ab670,Tampa Bay Buccaneers @ Carolina Panthers,player_anytime_td,Chuba Hubbard,Yes,,-122.0,-165.0,100.0,100.0,100.0,-110.0,115.0,-120.0,-120.0,,0.4619875755862173,2.15,-0.006726712489632858
hardrockbet,31557235498f42eeba725001c12c97ff,San Francisco 49ers @ Buffalo Bills,player_anytime_td,Keon Coleman,Yes,,250.0,290.0,240.0,280.0,240.0,175.0,185.0,330.0,350.0,,0.2488143002193061,4.5,0.11966435098687733
fanduel,2be5371e838993958fd7eb2eda6fc412,Arizona Cardinals @ Minnesota Vikings,player_anytime_td,Jordan Addison,Yes,,180.0,150.0,150.0,150.0,150.0,165.0,230.0,205.0,210.0,,0.3193443281489656,3.3,0.053836282891586484
fanduel,63057e9eb2da9cc89ac93911769b9a3e,Seattle Seahawks @ New York Jets,player_anytime_td,AJ Barner,Yes,,750.0,375.0,600.0,400.0,600.0,500.0,1000.0,560.0,600.0,,0.1327709579209003,11.0,0.4604805371299032
fanduel,2be5371e838993958fd7eb2eda6fc412,Arizona Cardinals @ Minnesota Vikings,player_anytime_td,Kyler Murray,Yes,,240.0,275.0,240.0,245.0,245.0,250.0,360.0,250.0,260.0,,0.2431920666670707,4.6,0.11868350666852501
hardrockbet,63057e9eb2da9cc89ac93911769b9a3e,Seattle Seahawks @ New York Jets,player_anytime_td,Braelon Allen,Yes,,170.0,150.0,260.0,110.0,260.0,165.0,340.0,270.0,275.0,,0.2858491066245394,3.75,0.07193414984202273
betmgm,59ffd762ad2b5d96196f4f58037ab670,Tampa Bay Buccaneers @ Carolina Panthers,player_anytime_td,Jonathon Brooks,Yes,,285.0,600.0,350.0,390.0,390.0,300.0,300.0,555.0,600.0,,0.1774745510000487,7.0,0.24232185700034092
hardrockbet,59ffd762ad2b5d96196f4f58037ab670,Tampa Bay Buccaneers @ Carolina Panthers,player_anytime_td,Jonathon Brooks,Yes,,285.0,600.0,350.0,390.0,390.0,300.0,300.0,555.0,600.0,,0.1774745510000487,7.0,0.24232185700034092
ballybet,8b7a76ee61f07cddbb60fc1e079bfeed,Indianapolis Colts @ New England Patriots,player_receptions,DeMario Douglas,Over,4.5,148.0,110.0,,115.0,120.0,115.0,,105.0,110.0,,0.4305212591926489,2.48,0.06769272279776928
fanduel,041764a17c3ecb1fccd45fc75b7a2b49,Pittsburgh Steelers @ Cincinnati Bengals,player_anytime_td,Najee Harris,Yes,,102.0,100.0,-111.0,-106.0,-105.0,-105.0,125.0,-110.0,-105.0,,0.4410808340612765,2.25,-0.007568123362127754
fanduel,cea1abe8ef88e4105f4cd505b45cd781,Tennessee Titans @ Washington Commanders,player_anytime_td,Jeremy McNichols,Yes,,150.0,125.0,240.0,245.0,245.0,185.0,270.0,265.0,185.0,,0.2878048656066267,3.7,0.06487800274451894
hardrockbet,31557235498f42eeba725001c12c97ff,San Francisco 49ers @ Buffalo Bills,player_anytime_td,Amari Cooper,Yes,,163.0,180.0,170.0,170.0,170.0,160.0,185.0,235.0,240.0,,0.3085005885908056,3.4,0.04890200120873889
fanduel,9dcbd3e2d022d7ed1ef1e0e7f8b08f2b,Los Angeles Rams @ New Orleans Saints,player_anytime_td,Juwan Johnson,Yes,,360.0,350.0,300.0,310.0,310.0,360.0,500.0,330.0,350.0,,0.1959857276753053,6.0,0.17591436605183186
fliff,63057e9eb2da9cc89ac93911769b9a3e,Seattle Seahawks @ New York Jets,player_anytime_td,Braelon Allen,Yes,,170.0,150.0,260.0,110.0,260.0,165.0,340.0,270.0,275.0,,0.2858491066245394,3.7,0.057641694510795816
fanduel,2be5371e838993958fd7eb2eda6fc412,Arizona Cardinals @ Minnesota Vikings,player_anytime_td,Sam Darnold,Yes,,350.0,450.0,325.0,340.0,340.0,375.0,550.0,360.0,375.0,,0.1833947803966351,6.5,0.19206607257812802
