value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
hardrockbet,2250.0,3.4338712522768695,Brooklyn Nets @ Oklahoma City Thunder,player_points_alternate,Ben Simmons,Over,14.5,,,714.0,-10000.0,1400.0,2000.0,,,2250.0,0.1886753724373136,23.5
espnbet,2000.0,2.9621828211835854,Brooklyn Nets @ Oklahoma City Thunder,player_points_alternate,Ben Simmons,Over,14.5,,,714.0,-10000.0,1400.0,2000.0,,,2250.0,0.1886753724373136,21.0
draftkings,1400.0,1.8301305865597037,Brooklyn Nets @ Oklahoma City Thunder,player_points_alternate,Ben Simmons,Over,14.5,,,714.0,-10000.0,1400.0,2000.0,,,2250.0,0.1886753724373136,15.0
betonlineag,714.0,0.5358175316397329,Brooklyn Nets @ Oklahoma City Thunder,player_points_alternate,Ben Simmons,Over,14.5,,,714.0,-10000.0,1400.0,2000.0,,,2250.0,0.1886753724373136,8.14
betonlineag,149.0,0.12107141101191932,Philadelphia 76ers @ Milwaukee Bucks,player_assists_alternate,Tyrese Maxey,Over,6.5,,-120.0,149.0,,115.0,,,,-110.0,0.4502294823341041,2.49
betonlineag,-116.0,0.08060433168573689,Philadelphia 76ers @ Milwaukee Bucks,player_assists_alternate,Tyrese Maxey,Over,5.5,,,-116.0,-160.0,-165.0,,-145.0,,-200.0,0.5803245484978957,1.862068965517241
fanduel,270.0,0.19841500142457713,Washington Wizards @ Sacramento Kings,player_rebounds_alternate,Bilal Coulibaly,Over,5.5,,,170.0,,180.0,,270.0,,180.0,0.3238959463309668,3.7
betonlineag,-244.0,-0.017514520009174084,Philadelphia 76ers @ Milwaukee Bucks,player_assists_alternate,Tyrese Maxey,Over,4.5,,-500.0,-244.0,,-350.0,-425.0,,,-425.0,0.6968792358074463,1.4098360655737705
fanduel,-160.0,0.04535125427669584,Washington Wizards @ Sacramento Kings,player_points_alternate,Bilal Coulibaly,Over,9.5,,-250.0,-222.0,,-210.0,-240.0,-160.0,,-230.0,0.6432930795548898,1.625
fanduel,-165.0,0.033692755715817535,Washington Wizards @ Sacramento Kings,player_rebounds_alternate,Bilal Coulibaly,Over,3.5,,,-278.0,,-245.0,-225.0,-165.0,,-230.0,0.6436200177098487,1.606060606060606
