value_book,value_book_price,EV,game,market,name,description,point,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,220.0,0.002866698518872335,Sacramento Kings @ Chicago Bulls,player_assists_alternate,Zach LaVine,Over,5.5,156.0,,180.0,,220.0,,180.0,0.3133958432871476,3.2
fanduel,-320.0,-0.06659700882452335,Indiana Pacers @ Cleveland Cavaliers,player_assists_alternate,Donovan Mitchell,Over,3.5,-588.0,,-330.0,,-320.0,-440.0,-425.0,0.7111641837527442,1.3125
fanduel,300.0,0.035436942128835636,Oklahoma City Thunder @ Washington Wizards,player_points_alternate,Bilal Coulibaly,Over,14.5,183.0,,265.0,,300.0,,260.0,0.2588592355322089,4.0
betonlineag,-145.0,-0.06038757809424178,Oklahoma City Thunder @ Washington Wizards,player_assists_alternate,Jordan Poole,Over,3.5,-145.0,,-190.0,,-160.0,,-180.0,0.5560971476585099,1.6896551724137931
fanduel,210.0,-0.0020753451782616894,Oklahoma City Thunder @ Washington Wizards,player_rebounds_alternate,Luguentz Dort,Over,5.5,153.0,,165.0,,210.0,,175.0,0.3219111789747543,3.1
betonlineag,411.0,0.07758685955862354,Sacramento Kings @ Chicago Bulls,player_points_rebounds_assists_alternate,Nikola Vucevic,Over,39.5,411.0,,300.0,,,300.0,,0.2108780547081455,5.11
hardrockbet,125.0,-0.04444882842264963,Indiana Pacers @ Cleveland Cavaliers,player_points_alternate,Jarrett Allen,Over,14.5,,,-110.0,,105.0,,125.0,0.4246894095899335,2.25
espnbet,-170.0,-0.0697868049492707,Denver Nuggets @ Dallas Mavericks,player_points_rebounds_assists_alternate,Dereck Lively II,Over,19.5,-213.0,,-215.0,-170.0,,,,0.5856897894763851,1.5882352941176472
fanduel,-110.0,-0.03143302294191408,Philadelphia 76ers @ Orlando Magic,player_double_double,Joel Embiid,Yes,,,,-145.0,-125.0,-110.0,-140.0,-135.0,0.507344607030426,1.9090909090909087
fanduel,210.0,0.0028901583985998514,Milwaukee Bucks @ New York Knicks,player_assists_alternate,Miles McBride,Over,3.5,171.0,,,,210.0,160.0,170.0,0.323512954322129,3.1
