value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,145.0,0.13909825745057924,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Pascal Siakam,Over,3.5,,,,-500.0,,135.0,145.0,,135.0,0.4649380642655425,2.45
fanduel,195.0,0.20388433979935883,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Tobias Harris,Over,3.5,,,,-500.0,160.0,160.0,195.0,155.0,160.0,0.408096386372664,2.95
fanduel,700.0,0.5565826136357297,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Pascal Siakam,Over,5.5,,,,135.0,,,700.0,,575.0,0.1945728267044662,8.0
hardrockbet,135.0,0.09260445102402493,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Pascal Siakam,Over,3.5,,,,-500.0,,135.0,145.0,,135.0,0.4649380642655425,2.35
espnbet,135.0,0.09260445102402493,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Pascal Siakam,Over,3.5,,,,-500.0,,135.0,145.0,,135.0,0.4649380642655425,2.35
bovada,1500.0,1.0173898040627711,Los Angeles Clippers @ Portland Trail Blazers,player_points_alternate,Shaedon Sharpe,Over,29.5,,575.0,,1500.0,,475.0,600.0,,525.0,0.1260868627539232,16.0
fanduel,260.0,0.19386144501280533,Los Angeles Clippers @ Portland Trail Blazers,player_assists_alternate,Scoot Henderson,Over,7.5,,,155.0,220.0,,165.0,260.0,,165.0,0.3316281791702237,3.6
betonlineag,-204.0,-0.0034780216349672433,Cleveland Cavaliers @ Oklahoma City Thunder,player_assists_alternate,Max Strus,Over,1.5,,,-204.0,,,-285.0,-270.0,,,0.6687186960081141,1.4901960784313726
fanduel,850.0,0.5207336254353438,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Tobias Harris,Over,5.5,,,,140.0,800.0,,850.0,,700.0,0.1600772237300362,9.5
fanduel,-130.0,0.04476970058365404,Los Angeles Clippers @ Portland Trail Blazers,player_assists_alternate,Scoot Henderson,Over,5.5,,,-175.0,-150.0,,,-130.0,,-200.0,0.5905220046777175,1.7692307692307692
hardrockbet,575.0,0.31336658025514685,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Pascal Siakam,Over,5.5,,,,135.0,,,700.0,,575.0,0.1945728267044662,6.75
fanduel,-105.0,0.055716530457159186,Phoenix Suns @ Washington Wizards,player_rebounds_alternate,Alex Sarr,Over,7.5,,,,,,-140.0,-105.0,-145.0,-145.0,0.540732857063423,1.9523809523809523
draftkings,800.0,0.4406950135703256,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Tobias Harris,Over,5.5,,,,140.0,800.0,,850.0,,700.0,0.1600772237300362,9.0
fanduel,450.0,0.20017595069630167,Houston Rockets @ Sacramento Kings,player_rebounds_alternate,Fred VanVleet,Over,5.5,,,276.0,,,,450.0,,300.0,0.2182138092175094,5.5
betonlineag,-103.0,0.04100157212440303,Houston Rockets @ Sacramento Kings,player_rebounds_alternate,Fred VanVleet,Over,3.5,,,-103.0,,,,-105.0,-155.0,-150.0,0.5281929159054852,1.970873786407767
fanduel,-150.0,0.028550346654579006,Los Angeles Clippers @ Portland Trail Blazers,player_assists_alternate,James Harden,Over,7.5,,,-167.0,-200.0,,-210.0,-150.0,,-220.0,0.6171302079927475,1.6666666666666663
fanduel,-230.0,-0.020122820667226815,Houston Rockets @ Sacramento Kings,player_rebounds_alternate,Amen Thompson,Over,7.5,,,,-250.0,,,-230.0,,-350.0,0.6829447007470844,1.434782608695652
fanduel,300.0,0.17663651227127208,Cleveland Cavaliers @ Oklahoma City Thunder,player_rebounds_alternate,Shai Gilgeous-Alexander,Over,7.5,,,223.0,180.0,220.0,210.0,300.0,,210.0,0.294159128067818,4.0
betonlineag,-118.0,0.03702993195403326,Cleveland Cavaliers @ Oklahoma City Thunder,player_rebounds_alternate,Isaiah Joe,Over,2.5,,-190.0,-118.0,,-205.0,-130.0,,,-140.0,0.5613281283053941,1.847457627118644
fanduel,260.0,0.1149076600915695,Phoenix Suns @ Washington Wizards,player_rebounds_alternate,Kyle Kuzma,Over,7.5,,,,,,185.0,260.0,,195.0,0.3096965722476582,3.6
fanduel,-250.0,-0.012331796575359433,Los Angeles Clippers @ Portland Trail Blazers,player_double_double,Ivica Zubac,Yes,,-345.0,-350.0,,,,-375.0,-250.0,-370.0,-375.0,0.7054772881604576,1.4
fanduel,-105.0,0.03123378819642353,Houston Rockets @ Sacramento Kings,player_rebounds_alternate,Fred VanVleet,Over,3.5,,,-103.0,,,,-105.0,-155.0,-150.0,0.5281929159054852,1.9523809523809523
bovada,105.0,0.056657013712738236,Houston Rockets @ Sacramento Kings,player_rebounds_assists,De'Aaron Fox,Under,10.5,-115.0,-135.0,,105.0,-115.0,,-132.0,-140.0,-130.0,0.5154424457135309,2.05
draftkings,160.0,0.0610506045689263,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Tobias Harris,Over,3.5,,,,-500.0,160.0,160.0,195.0,155.0,160.0,0.408096386372664,2.6
espnbet,160.0,0.0610506045689263,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Tobias Harris,Over,3.5,,,,-500.0,160.0,160.0,195.0,155.0,160.0,0.408096386372664,2.6
hardrockbet,160.0,0.0610506045689263,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Tobias Harris,Over,3.5,,,,-500.0,160.0,160.0,195.0,155.0,160.0,0.408096386372664,2.6
fanduel,110.0,0.05565709192691193,Cleveland Cavaliers @ Oklahoma City Thunder,player_points_alternate,Cason Wallace,Over,9.5,,-150.0,-101.0,-130.0,-110.0,-110.0,110.0,,-110.0,0.5026938532985294,2.1
fanduel,500.0,0.21596060795326588,Los Angeles Clippers @ Portland Trail Blazers,player_rebounds_alternate,Norman Powell,Over,5.5,,,279.0,350.0,,,500.0,,350.0,0.2026601013255443,6.0
fanduel,210.0,0.10092517101555931,Los Angeles Clippers @ Portland Trail Blazers,player_points_alternate,Anfernee Simons,Over,24.5,,155.0,,180.0,,150.0,210.0,150.0,160.0,0.355137151940503,3.1
fanduel,310.0,0.11212092629450088,Los Angeles Clippers @ Portland Trail Blazers,player_rebounds_alternate,Ivica Zubac,Over,15.5,,,217.0,250.0,,,310.0,,,0.2712490064132929,4.1
draftkings,-160.0,0.011073500681854531,Cleveland Cavaliers @ Oklahoma City Thunder,player_rebounds_alternate,Jarrett Allen,Over,9.5,,-200.0,-227.0,,-160.0,-210.0,-180.0,,,0.6221990773426798,1.625
fanduel,-140.0,0.021490194308279698,Cleveland Cavaliers @ Oklahoma City Thunder,player_points_alternate,Jalen Williams,Over,19.5,,-190.0,-192.0,,-170.0,-170.0,-140.0,-190.0,-175.0,0.5958692800131631,1.7142857142857144
fanduel,100.0,0.0337117461655605,Los Angeles Clippers @ Portland Trail Blazers,player_rebounds_alternate,Norman Powell,Over,3.5,,,-114.0,-150.0,,-120.0,100.0,,-125.0,0.5168558730827802,2.0
hardrockbet,700.0,0.2806177898402895,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Tobias Harris,Over,5.5,,,,140.0,800.0,,850.0,,700.0,0.1600772237300362,8.0
fanduel,-430.0,-0.08743399618020431,Houston Rockets @ Sacramento Kings,player_rebounds_alternate,Alperen Sengun,Over,7.5,,,,-500.0,,,-430.0,,-650.0,0.740383738948136,1.2325581395348837
fanduel,-120.0,0.024440327025397446,Cleveland Cavaliers @ Oklahoma City Thunder,player_rebounds_alternate,Shai Gilgeous-Alexander,Over,5.5,,,-135.0,-150.0,-155.0,,-120.0,,-160.0,0.558785632922944,1.8333333333333333
fanduel,-360.0,-0.0654350522771574,Los Angeles Clippers @ Portland Trail Blazers,player_assists_alternate,Shaedon Sharpe,Over,1.5,,,-500.0,,,-450.0,-360.0,,,0.731398654739616,1.2777777777777777
fanduel,135.0,0.03805624200361035,Los Angeles Clippers @ Portland Trail Blazers,player_rebounds_alternate,Ivica Zubac,Over,13.5,,,109.0,110.0,,,135.0,,,0.4417260604270682,2.35
fliff,155.0,0.040645785250293054,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Tobias Harris,Over,3.5,,,,-500.0,160.0,160.0,195.0,155.0,160.0,0.408096386372664,2.55
fanduel,700.0,0.2690928711530287,Los Angeles Clippers @ Portland Trail Blazers,player_assists_alternate,Scoot Henderson,Over,9.5,,340.0,369.0,600.0,,475.0,700.0,,,0.1586366088941286,8.0
betmgm,300.0,0.09963577833834836,Los Angeles Clippers @ Portland Trail Blazers,player_points_alternate,Kris Murray,Over,9.5,,300.0,,,,225.0,,,250.0,0.2749089445845871,4.0
fanduel,290.0,0.1078800478743207,Houston Rockets @ Sacramento Kings,player_rebounds_alternate,Amen Thompson,Over,11.5,,,209.0,250.0,,,290.0,,210.0,0.2840718071472617,3.9
fanduel,-380.0,-0.06760055139747279,Indiana Pacers @ Detroit Pistons,player_assists_alternate,Tobias Harris,Over,1.5,,,,,,-475.0,-380.0,-510.0,,0.7381495634770008,1.263157894736842
betonlineag,-256.0,-0.030739128714256325,Houston Rockets @ Sacramento Kings,player_rebounds_alternate,Fred VanVleet,Over,2.5,,-350.0,-256.0,,,,,-380.0,-350.0,0.696996581598737,1.390625
fanduel,100.0,0.02437184787093738,Phoenix Suns @ Washington Wizards,player_assists_alternate,Bilal Coulibaly,Over,3.5,,,,,-115.0,-120.0,100.0,-130.0,-125.0,0.5121859239354687,2.0
