value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
bovada,-190.0,0.07929185126654514,Sacramento Kings @ Milwaukee Bucks,player_points_alternate,De'Aaron Fox,Over,19.5,,,,-190.0,-500.0,-450.0,-450.0,-425.0,0.7071222473815295,1.526315789473684
fanduel,370.0,0.31684131362050527,Phoenix Suns @ Atlanta Hawks,player_assists_alternate,Dyson Daniels,Over,7.5,,,,230.0,235.0,210.0,370.0,220.0,0.2801790028979798,4.7
fanduel,115.0,0.09083694083694072,Phoenix Suns @ Atlanta Hawks,player_rebounds_alternate,Dyson Daniels,Over,5.5,,,,-120.0,-115.0,,115.0,-115.0,0.507366018993926,2.15
draftkings,-105.0,0.06781733334528339,Oklahoma City Thunder @ Philadelphia 76ers,player_rebounds_alternate,Isaiah Joe,Over,2.5,,-175.0,,,-105.0,-130.0,,-140.0,0.5469308292744135,1.9523809523809523
fanduel,-115.0,0.06901846380408494,Oklahoma City Thunder @ Philadelphia 76ers,player_points_alternate,Guerschon Yabusele,Over,9.5,,-140.0,,-125.0,-145.0,-170.0,-115.0,-170.0,0.5718005736626502,1.869565217391304
fanduel,-290.0,-0.038506344418605565,Phoenix Suns @ Atlanta Hawks,player_rebounds_alternate,Clint Capela,Over,7.5,,,,-350.0,-425.0,-450.0,-290.0,-475.0,0.7149568208169343,1.3448275862068966
fanduel,390.0,0.21796704527643462,Oklahoma City Thunder @ Philadelphia 76ers,player_rebounds_alternate,Tyrese Maxey,Over,5.5,,,183.0,300.0,285.0,,390.0,275.0,0.2485647031176397,4.9
draftkings,135.0,0.1053586621195648,Cleveland Cavaliers @ Indiana Pacers,player_points_alternate,Caris LeVert,Over,9.5,,-120.0,,-120.0,135.0,105.0,125.0,115.0,0.470365388135985,2.35
draftkings,215.0,0.12751831501831457,Oklahoma City Thunder @ Philadelphia 76ers,player_rebounds_alternate,Isaiah Joe,Over,3.5,,,,,215.0,160.0,,160.0,0.3579423222280364,3.15
draftkings,-195.0,0.002597327470423849,Cleveland Cavaliers @ Indiana Pacers,player_rebounds_alternate,Obi Toppin,Over,3.5,,,-294.0,,-195.0,-250.0,,-250.0,0.6627338266329921,1.5128205128205128
fanduel,160.0,0.10836594488367535,Oklahoma City Thunder @ Philadelphia 76ers,player_points_alternate,Cason Wallace,Over,9.5,,105.0,,,115.0,130.0,160.0,135.0,0.426294594186029,2.6
fanduel,430.0,0.20544153970363355,Phoenix Suns @ Atlanta Hawks,player_rebounds_alternate,Dyson Daniels,Over,7.5,,,,320.0,290.0,260.0,430.0,275.0,0.2274417999440818,5.3
fanduel,145.0,0.09230457016194937,Sacramento Kings @ Milwaukee Bucks,player_rebounds_alternate,Giannis Antetokounmpo,Over,13.5,,,115.0,110.0,115.0,,145.0,,0.4458386000661017,2.45
fanduel,-440.0,-0.07507556382236691,Sacramento Kings @ Milwaukee Bucks,player_rebounds_alternate,Giannis Antetokounmpo,Over,9.5,,,,-700.0,-700.0,-650.0,-440.0,,0.7536421331817751,1.2272727272727273
draftkings,155.0,0.09721637433861063,Oklahoma City Thunder @ Philadelphia 76ers,player_points_alternate,Caleb Martin,Over,9.5,,115.0,,,155.0,120.0,,120.0,0.4302809311131806,2.55
ballybet,160.0,0.10622593695027971,Phoenix Suns @ Atlanta Hawks,player_double_double,Clint Capela,Yes,,160.0,115.0,,120.0,110.0,120.0,145.0,110.0,0.425471514211646,2.6
fanduel,145.0,0.09519300996896007,Phoenix Suns @ Atlanta Hawks,player_rebounds_alternate,Kevin Durant,Over,7.5,,,,120.0,100.0,115.0,145.0,110.0,0.4470175550893714,2.45
