value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
betonlineag,100.0,0.07984595242838033,Portland Trail Blazers @ Orlando Magic,player_points_alternate,Franz Wagner,Over,17.5,,,100.0,,-125.0,-240.0,,-145.0,,0.5399229762141902,2.0
fanduel,180.0,0.17586735014479493,Portland Trail Blazers @ Orlando Magic,player_points_alternate,Wendell Carter Jr,Over,14.5,,130.0,,-105.0,125.0,120.0,180.0,,120.0,0.4199526250517125,2.8
fanduel,-230.0,0.008554779964774939,Portland Trail Blazers @ Orlando Magic,player_points_alternate,Wendell Carter Jr,Over,9.5,,-400.0,,-400.0,-340.0,-375.0,-230.0,,-350.0,0.7029321193693886,1.434782608695652
fanduel,-140.0,0.049347024382836224,Dallas Mavericks @ Oklahoma City Thunder,player_points_alternate,Jalen Williams,Over,19.5,,-210.0,-227.0,,-180.0,-190.0,-140.0,,-190.0,0.6121190975566544,1.7142857142857144
fanduel,-180.0,0.017785407702170186,Toronto Raptors @ Atlanta Hawks,player_rebounds_alternate,Onyeka Okongwu,Over,7.5,,,-238.0,-250.0,-265.0,-260.0,-180.0,,-275.0,0.6542906192371094,1.5555555555555556
fanduel,220.0,0.14498847566187822,Dallas Mavericks @ Oklahoma City Thunder,player_points_alternate,Jalen Williams,Over,24.5,,155.0,,,165.0,145.0,220.0,,155.0,0.3578088986443369,3.2
draftkings,500.0,0.2663478771221217,Sacramento Kings @ Denver Nuggets,player_rebounds_alternate,DeMar DeRozan,Over,5.5,,,287.0,155.0,500.0,,470.0,,450.0,0.2110579795203536,6.0
betmgm,220.0,0.13246268757612756,Toronto Raptors @ Atlanta Hawks,player_assists_alternate,Onyeka Okongwu,Over,2.5,,220.0,138.0,,165.0,150.0,,,155.0,0.3538945898675398,3.2
fanduel,400.0,0.23918366678398195,San Antonio Spurs @ Indiana Pacers,player_points_alternate,Devin Vassell,Over,24.5,,275.0,,200.0,265.0,260.0,400.0,270.0,300.0,0.2478367333567964,5.0
fanduel,175.0,0.104969004152762,Chicago Bulls @ Golden State Warriors,player_points_alternate,Lonzo Ball,Over,9.5,,130.0,,,135.0,130.0,175.0,,135.0,0.4018069106010044,2.75
