value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
betonlineag,3000.0,5.635482572982572,Indiana Pacers @ San Antonio Spurs,player_rebounds_alternate,Keldon Johnson,Over,9.5,,,3000.0,-1000.0,2500.0,,2000.0,,,0.2140478249349217,31.0
draftkings,2500.0,4.565243448307964,Indiana Pacers @ San Antonio Spurs,player_rebounds_alternate,Keldon Johnson,Over,9.5,,,3000.0,-1000.0,2500.0,,2000.0,,,0.2140478249349217,26.0
fanduel,2000.0,3.4950043236333554,Indiana Pacers @ San Antonio Spurs,player_rebounds_alternate,Keldon Johnson,Over,9.5,,,3000.0,-1000.0,2500.0,,2000.0,,,0.2140478249349217,21.0
draftkings,1700.0,2.931248216197633,Miami Heat @ Brooklyn Nets,player_assists_alternate,Nikola Jovic,Over,7.5,,,875.0,-10000.0,1700.0,1500.0,,,,0.2184026786776463,18.0
espnbet,1500.0,2.4944428588423406,Miami Heat @ Brooklyn Nets,player_assists_alternate,Nikola Jovic,Over,7.5,,,875.0,-10000.0,1700.0,1500.0,,,,0.2184026786776463,16.0
betonlineag,875.0,1.1294261171070512,Miami Heat @ Brooklyn Nets,player_assists_alternate,Nikola Jovic,Over,7.5,,,875.0,-10000.0,1700.0,1500.0,,,,0.2184026786776463,9.75
fanduel,210.0,0.1855914564725012,Los Angeles Lakers @ Golden State Warriors,player_rebounds_alternate,Moses Moody,Over,3.5,,,144.0,120.0,130.0,140.0,210.0,,145.0,0.3824488569266133,3.1
draftkings,-235.0,-0.0066496229755209635,Detroit Pistons @ Orlando Magic,player_points_rebounds_assists_alternate,Cade Cunningham,Over,34.5,,,,,-235.0,-350.0,,-375.0,,0.696827876420157,1.425531914893617
fanduel,-280.0,-0.018345090212065207,Denver Nuggets @ Minnesota Timberwolves,player_assists_alternate,Nikola Jokic,Over,7.5,,,-345.0,-390.0,-500.0,-550.0,-280.0,,-575.0,0.7233246703700572,1.3571428571428572
draftkings,-250.0,-0.008451281190522963,Miami Heat @ Brooklyn Nets,player_points_rebounds_assists_alternate,Duncan Robinson,Over,14.5,,,,,-250.0,-375.0,,-390.0,,0.7082490848639122,1.4
