value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
betonlineag,128.0,0.0646870582060447,Atlanta Hawks @ Chicago Bulls,player_rebounds_alternate,Dyson Daniels,Over,5.5,,,128.0,-115.0,105.0,,110.0,100.0,0.4669680079851073,2.28
betonlineag,120.0,0.05980066445182719,Memphis Grizzlies @ San Antonio Spurs,player_assists_alternate,Desmond Bane,Over,5.5,,,120.0,-110.0,-110.0,,110.0,-120.0,0.4817275747508305,2.2
betmgm,400.0,0.1572847442412656,Memphis Grizzlies @ San Antonio Spurs,player_rebounds_alternate,Julian Champagnie,Over,4.5,,400.0,264.0,,,250.0,,275.0,0.2314569488482531,5.0
betonlineag,-125.0,0.03845209035657593,Golden State Warriors @ Minnesota Timberwolves,player_rebounds_alternate,Trayce Jackson-Davis,Over,7.5,,,-125.0,-175.0,-165.0,-170.0,-140.0,-175.0,0.5769178279758755,1.8
betmgm,550.0,0.2195575253943327,Charlotte Hornets @ Utah Jazz,player_points_alternate,Drew Eubanks,Over,14.5,,550.0,,,265.0,425.0,,,0.1876242346760512,6.5
betonlineag,-128.0,0.02333635731424355,Houston Rockets @ Denver Nuggets,player_rebounds_alternate,Aaron Gordon,Over,3.5,,,-128.0,-170.0,-220.0,,-145.0,,0.5745046216501016,1.78125
betonlineag,-204.0,-0.009836976562654254,Houston Rockets @ Denver Nuggets,player_rebounds_alternate,Fred VanVleet,Over,2.5,,,-204.0,,-260.0,-300.0,,-325.0,0.6644515025697977,1.4901960784313726
fanduel,-270.0,-0.026412810011492316,Boston Celtics @ Toronto Raptors,player_rebounds_alternate,Jakob Poeltl,Over,7.5,,,,,-370.0,-375.0,-270.0,-375.0,0.7104555170186408,1.3703703703703702
espnbet,250.0,0.1000704721634953,Brooklyn Nets @ Los Angeles Clippers,player_assists_alternate,Kawhi Leonard,Over,2.5,,180.0,,,120.0,250.0,,275.0,0.3143058491895701,3.5
betonlineag,104.0,0.03453398233279259,Atlanta Hawks @ Chicago Bulls,player_points_rebounds_assists_alternate,Bogdan Bogdanovic,Over,19.5,,,104.0,,-115.0,-125.0,,,0.5071245011435258,2.04
fanduel,-290.0,-0.046608841972354265,Boston Celtics @ Toronto Raptors,player_assists_alternate,Jakob Poeltl,Over,1.5,,,-455.0,,,-350.0,-290.0,,0.7089318867385058,1.3448275862068966
fanduel,340.0,0.1580261595420558,Memphis Grizzlies @ San Antonio Spurs,player_rebounds_alternate,Brandon Clarke,Over,7.5,,,277.0,,,225.0,340.0,230.0,0.2631877635322854,4.4
fanduel,-230.0,-0.017254263708308515,Dallas Mavericks @ New Orleans Pelicans,player_points_alternate,Daniel Gafford,Over,9.5,,,,-300.0,-245.0,-325.0,-230.0,-325.0,0.684943998021482,1.434782608695652
fanduel,-290.0,-0.05523915158408266,Memphis Grizzlies @ San Antonio Spurs,player_rebounds_alternate,Zach Edey,Over,5.5,,,,-400.0,-400.0,,-290.0,-400.0,0.7025144770272206,1.3448275862068966
betmgm,100.0,0.03022604390593453,Charlotte Hornets @ Utah Jazz,player_points_alternate,Drew Eubanks,Over,9.5,,100.0,,,-140.0,-110.0,,,0.5151130219529673,2.0
betmgm,135.0,0.0546432167558949,New York Knicks @ Philadelphia 76ers,player_points_alternate,Caleb Martin,Over,9.5,,135.0,,,110.0,105.0,,105.0,0.4487843475556999,2.35
betmgm,390.0,0.1464646464646462,Golden State Warriors @ Minnesota Timberwolves,player_rebounds_alternate,Jaden McDaniels,Over,6.5,,390.0,236.0,,300.0,,,260.0,0.2339723768295196,4.9
fanduel,155.0,0.06870202200818487,Boston Celtics @ Toronto Raptors,player_assists_alternate,R.J. Barrett,Over,5.5,,,111.0,115.0,125.0,,155.0,125.0,0.4190988321600725,2.55
