value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,-340.0,-0.041241431931756,Los Angeles Lakers @ Miami Heat,player_double_double,Anthony Davis,Yes,,-590.0,-550.0,,,-500.0,-500.0,-340.0,-545.0,-550.0,0.7408588935072793,1.2941176470588236
ballybet,163.0,0.061607452220799,Atlanta Hawks @ Milwaukee Bucks,player_blocks,Jalen Johnson,Under,0.5,163.0,125.0,,,,120.0,,120.0,125.0,0.4036530236580985,2.63
bovada,120.0,0.0400940231492648,Orlando Magic @ Philadelphia 76ers,player_points_rebounds_assists,Tyrese Maxey,Over,36.5,-103.0,-110.0,,120.0,,,,-115.0,-110.0,0.4727700105223931,2.2
betmgm,-110.0,0.021380347164232427,Detroit Pistons @ Boston Celtics,player_rebounds_assists,Malik Beasley,Under,3.5,,-110.0,,,,-140.0,,-150.0,-145.0,0.5350087532765028,1.9090909090909087
ballybet,650.0,0.278267781824441,Los Angeles Lakers @ Miami Heat,player_triple_double,LeBron James,Yes,,650.0,425.0,,,390.0,360.0,410.0,410.0,400.0,0.1704357042432588,7.5
ballybet,460.0,0.1610878393765801,Detroit Pistons @ Boston Celtics,player_double_double,Jalen Duren,Yes,,460.0,360.0,,285.0,290.0,300.0,280.0,350.0,350.0,0.2073371141743893,5.6
draftkings,-120.0,0.02904423749606244,Orlando Magic @ Philadelphia 76ers,player_assists,Franz Wagner,Under,6.5,-152.0,-155.0,-149.0,-170.0,-120.0,-150.0,-148.0,-160.0,-160.0,0.5612968568160341,1.8333333333333333
bovada,120.0,0.02436832931635291,Orlando Magic @ Philadelphia 76ers,player_points,Guerschon Yabusele,Over,10.5,-104.0,-105.0,,120.0,,,,-110.0,-105.0,0.4656219678710694,2.2
ballybet,300.0,0.061616373493908805,Indiana Pacers @ Brooklyn Nets,player_double_double,Myles Turner,Yes,,300.0,,,220.0,,220.0,220.0,230.0,225.0,0.2654040933734772,4.0
ballybet,550.0,0.18629841878523046,Atlanta Hawks @ Milwaukee Bucks,player_double_double,Bobby Portis,Yes,,550.0,400.0,,,360.0,340.0,360.0,385.0,375.0,0.1825074490438816,6.5
ballybet,110.0,0.03242830002617003,Orlando Magic @ Philadelphia 76ers,player_points,Kentavious Caldwell-Pope,Under,8.5,110.0,-120.0,-111.0,-120.0,,-115.0,-102.0,-125.0,-115.0,0.4916325238219857,2.1
bovada,120.0,0.03812110988145323,Minnesota Timberwolves @ Los Angeles Clippers,player_threes,Anthony Edwards,Over,3.5,-121.0,100.0,106.0,120.0,-110.0,100.0,-106.0,-110.0,-105.0,0.4718732317642968,2.2
espnbet,1000.0,0.33820672081541603,Indiana Pacers @ Brooklyn Nets,player_first_basket,Dennis Schroder,Yes,,500.0,,,500.0,,1000.0,550.0,,800.0,0.1216551564377651,11.0
ballybet,102.0,0.012262838138402232,Atlanta Hawks @ Milwaukee Bucks,player_rebounds,Taurean Prince,Under,3.5,102.0,-120.0,,,,-120.0,,-130.0,-125.0,0.5011202169001991,2.02
ballybet,215.0,0.028513982881363975,Atlanta Hawks @ Milwaukee Bucks,player_double_double,Clint Capela,Yes,,215.0,170.0,,,175.0,165.0,170.0,165.0,160.0,0.3265123755178933,3.15
ballybet,510.0,0.1559497216475223,Orlando Magic @ Philadelphia 76ers,player_double_double,Wendell Carter Jr,Yes,,510.0,360.0,,350.0,390.0,320.0,360.0,355.0,350.0,0.1894999543684463,6.1
fanduel,102.0,0.024881913795056,Minnesota Timberwolves @ Los Angeles Clippers,player_rebounds,James Harden,Under,5.5,-113.0,-135.0,-108.0,-120.0,-120.0,-120.0,102.0,-135.0,-135.0,0.5073672840569584,2.02
draftkings,-105.0,0.02212268038494125,Minnesota Timberwolves @ Los Angeles Clippers,player_assists,James Harden,Over,8.5,-130.0,-145.0,-123.0,-125.0,-105.0,-125.0,-115.0,-150.0,-145.0,0.5235262509288724,1.9523809523809523
