value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
draftkings,-115.0,0.05613772978937881,Atlanta Hawks @ Indiana Pacers,player_assists,Dyson Daniels,Under,4.5,,,,,-115.0,-185.0,,-175.0,-175.0,0.5649108787245516,1.869565217391304
fanduel,110.0,0.08128377526171282,Atlanta Hawks @ Indiana Pacers,player_points_alternate,Trae Young,Over,19.5,,,,,-125.0,,110.0,,-155.0,0.5148970358389109,2.1
fanduel,185.0,0.12324788358214889,Atlanta Hawks @ Indiana Pacers,player_points_alternate,Myles Turner,Over,19.5,,,,,155.0,,185.0,,130.0,0.3941220644147891,2.85
draftkings,230.0,0.16379226842693118,Los Angeles Lakers @ New York Knicks,player_assists_alternate,Max Christie,Over,2.5,,130.0,201.0,,230.0,135.0,,,150.0,0.3526643237657367,3.3
hardrockbet,210.0,0.13373375908572482,Atlanta Hawks @ Indiana Pacers,player_points_alternate,Obi Toppin,Over,14.5,,,,,125.0,,180.0,,210.0,0.365720567447008,3.1
fanduel,320.0,0.1921066782234706,Atlanta Hawks @ Indiana Pacers,player_assists_alternate,Tyrese Haliburton,Over,11.5,,,,,260.0,,320.0,,165.0,0.2838349233865406,4.2
fanduel,250.0,0.15758969382790378,Denver Nuggets @ Charlotte Hornets,player_rebounds_assists_alternate,Nick Smith Jr,Over,7.5,,,138.0,,,175.0,250.0,185.0,,0.3307399125222582,3.5
hardrockbet,-210.0,-0.00508081880694522,Atlanta Hawks @ Indiana Pacers,player_points_alternate,Bennedict Mathurin,Over,14.5,,,,,-310.0,,-280.0,,-210.0,0.6739775098404563,1.4761904761904765
fanduel,-112.0,0.04257325062618422,Miami Heat @ San Antonio Spurs,player_rebounds_assists_alternate,Devin Vassell,Over,7.5,,,-208.0,,,-145.0,-112.0,-145.0,,0.5507934154251539,1.8928571428571428
fanduel,350.0,0.2167353849980389,Denver Nuggets @ Charlotte Hornets,player_points_alternate,Seth Curry,Over,9.5,,240.0,,,200.0,225.0,350.0,,,0.2703856411106753,4.5
betmgm,200.0,0.1345709034817011,Phoenix Suns @ Portland Trail Blazers,player_points_alternate,Jerami Grant,Over,14.5,,200.0,117.0,,145.0,145.0,,,155.0,0.378190301160567,3.0
draftkings,-105.0,0.038694479611078414,Orlando Magic @ Utah Jazz,player_rebounds,Anthony Black,Under,2.5,,,,,-105.0,-150.0,,-145.0,-155.0,0.5320142456544548,1.9523809523809523
draftkings,120.0,0.05544753042785222,Atlanta Hawks @ Indiana Pacers,player_rebounds,Zaccharie Risacher,Under,3.5,,,,,120.0,-120.0,,-120.0,-115.0,0.4797488774672055,2.2
fanduel,-230.0,-0.01309703594779188,Brooklyn Nets @ Houston Rockets,player_rebounds_alternate,Alperen Sengun,Over,7.5,,,,-350.0,-295.0,,-230.0,,,0.6878414597939633,1.434782608695652
fliff,110.0,0.05077358031959189,Atlanta Hawks @ Indiana Pacers,player_assists,Tyrese Haliburton,Over,9.5,,,,,-125.0,,-114.0,110.0,,0.500368371580758,2.1
fanduel,250.0,0.13760883262687607,Miami Heat @ San Antonio Spurs,player_rebounds_assists_alternate,Devin Vassell,Over,9.5,,,145.0,,,180.0,250.0,190.0,,0.3250310950362503,3.5
draftkings,100.0,0.036285559449956484,Orlando Magic @ Utah Jazz,player_rebounds,Wendell Carter Jr,Over,5.5,,,,,100.0,-140.0,,-145.0,-135.0,0.5181427797249782,2.0
draftkings,290.0,0.16295216246606148,Brooklyn Nets @ Houston Rockets,player_assists_alternate,Ziaire Williams,Over,2.5,,185.0,,,290.0,185.0,,205.0,210.0,0.298192862170785,3.9
betonlineag,-149.0,0.020825973399350106,Sacramento Kings @ Oklahoma City Thunder,player_assists_alternate,Cason Wallace,Over,2.5,,-200.0,-149.0,,-165.0,-260.0,,,-240.0,0.6108557029578441,1.6711409395973154
draftkings,-130.0,0.03779411027102619,Los Angeles Lakers @ New York Knicks,player_rebounds,Dalton Knecht,Under,2.5,,-185.0,-159.0,,-130.0,-180.0,,-200.0,-190.0,0.5865792797184062,1.7692307692307692
draftkings,-155.0,0.03045994398704921,Miami Heat @ San Antonio Spurs,player_points_alternate,Bam Adebayo,Over,14.5,,-275.0,-250.0,-185.0,-155.0,-215.0,-170.0,,-220.0,0.6263580051685986,1.6451612903225803
betonlineag,-286.0,-0.03520004737690641,Denver Nuggets @ Charlotte Hornets,player_assists_alternate,Vasilije Micic,Over,3.5,,,-286.0,-450.0,-425.0,-400.0,-420.0,,-450.0,0.7148517783684062,1.3496503496503496
fanduel,-105.0,0.053053379839709924,Denver Nuggets @ Charlotte Hornets,player_rebounds_alternate,Michael Porter Jr,Over,5.5,,,-128.0,-175.0,-145.0,,-105.0,,-140.0,0.5393688043081442,1.9523809523809523
draftkings,100.0,0.048580785047883435,Sacramento Kings @ Oklahoma City Thunder,player_rebounds_assists,Cason Wallace,Over,6.5,,-140.0,,,100.0,-130.0,,-145.0,-135.0,0.5242903925239417,2.0
hardrockbet,105.0,0.042202115878513746,Orlando Magic @ Utah Jazz,player_rebounds_alternate,Paolo Banchero,Over,7.5,,,,,-135.0,,-110.0,,105.0,0.5083912760382995,2.05
draftkings,124.0,0.043649501964338366,Brooklyn Nets @ Houston Rockets,player_turnovers,Jalen Green,Over,2.5,,-110.0,,,124.0,-110.0,,-110.0,,0.4659149562340796,2.24
fanduel,140.0,0.058985770701435514,Orlando Magic @ Utah Jazz,player_points_alternate,Jordan Clarkson,Over,9.5,,,,,110.0,,140.0,,110.0,0.4412440711255981,2.4
draftkings,145.0,0.0653306091890945,Sacramento Kings @ Oklahoma City Thunder,player_blocks,Luguentz Dort,Over,0.5,110.0,105.0,,,145.0,,,100.0,110.0,0.4348288200771814,2.45
draftkings,100.0,0.039998689695272205,Brooklyn Nets @ Houston Rockets,player_assists,Ziaire Williams,Over,1.5,,-135.0,,,100.0,-130.0,,-140.0,-140.0,0.5199993448476361,2.0
fanduel,240.0,0.10505286900062938,Orlando Magic @ Utah Jazz,player_rebounds_alternate,Lauri Markkanen,Over,7.5,,,,,190.0,,240.0,,180.0,0.3250155497060675,3.4
hardrockbet,180.0,0.07830112584980997,Orlando Magic @ Utah Jazz,player_points_alternate,Lauri Markkanen,Over,19.5,,,,,135.0,,140.0,,180.0,0.3851075449463607,2.8
draftkings,340.0,0.15625167918533256,Sacramento Kings @ Oklahoma City Thunder,player_assists_alternate,Cason Wallace,Over,4.5,,290.0,246.0,,340.0,190.0,,,220.0,0.262784472542121,4.4
fanduel,110.0,0.033084270524963544,Orlando Magic @ Utah Jazz,player_rebounds,Lauri Markkanen,Over,6.5,,,,,-110.0,-115.0,110.0,-145.0,-115.0,0.4919448907261731,2.1
betmgm,800.0,0.3424226130780317,Miami Heat @ San Antonio Spurs,player_assists_alternate,Jaime Jaquez Jr,Over,4.5,,800.0,369.0,,450.0,450.0,,,525.0,0.1491580681197813,9.0
betmgm,135.0,0.05801093463040319,Miami Heat @ San Antonio Spurs,player_assists_alternate,Jaime Jaquez Jr,Over,2.5,,135.0,112.0,,-115.0,100.0,,,105.0,0.4502174189916609,2.35
fanduel,142.0,0.05442325338053966,Miami Heat @ San Antonio Spurs,player_rebounds_assists_alternate,Nikola Jovic,Over,9.5,,,107.0,,,105.0,142.0,105.0,,0.4357120881737767,2.42
draftkings,370.0,0.18986382626880527,Los Angeles Lakers @ New York Knicks,player_assists_alternate,Josh Hart,Over,7.5,,,207.0,300.0,370.0,185.0,290.0,,260.0,0.2531625162274054,4.7
draftkings,1000.0,0.3809353021914679,Los Angeles Lakers @ New York Knicks,player_assists_alternate,Josh Hart,Over,9.5,,,515.0,,1000.0,475.0,,,,0.1255395729264971,11.0
fanduel,-400.0,-0.07183324740436015,Denver Nuggets @ Charlotte Hornets,player_assists_alternate,Aaron Gordon,Over,1.5,,,-667.0,,,-600.0,-400.0,,,0.7425334020765119,1.25
draftkings,-125.0,0.026783823554731967,Los Angeles Lakers @ New York Knicks,player_assists,Max Christie,Over,1.5,,-145.0,-135.0,,-125.0,-170.0,,-215.0,-210.0,0.5704354575304066,1.8
draftkings,-175.0,0.0005253286690092285,Miami Heat @ San Antonio Spurs,player_assists_alternate,Chris Paul,Over,6.5,,-275.0,-238.0,,-175.0,,-220.0,,-240.0,0.6366979364257331,1.5714285714285714
draftkings,150.0,0.062320927323763486,Sacramento Kings @ Oklahoma City Thunder,player_assists_alternate,Cason Wallace,Over,3.5,,,134.0,,150.0,-105.0,,,100.0,0.4249283709295054,2.5
fanduel,190.0,0.0944391321042013,Denver Nuggets @ Charlotte Hornets,player_assists_alternate,Aaron Gordon,Over,3.5,,,133.0,145.0,140.0,125.0,190.0,,140.0,0.3773928041738625,2.9
hardrockbet,250.0,0.0918228434618491,Atlanta Hawks @ Indiana Pacers,player_points_alternate,Bennedict Mathurin,Over,19.5,,,,,230.0,,240.0,,250.0,0.3119493838462426,3.5
fanduel,265.0,0.12872635694515178,Miami Heat @ San Antonio Spurs,player_assists_alternate,Duncan Robinson,Over,4.5,,195.0,200.0,,220.0,165.0,265.0,,180.0,0.3092400977931923,3.65
hardrockbet,190.0,0.0872748130186709,Sacramento Kings @ Oklahoma City Thunder,player_rebounds_alternate,De'Aaron Fox,Over,5.5,,,118.0,150.0,160.0,,138.0,,190.0,0.3749223493167831,2.9
draftkings,-220.0,-0.000224523408619004,Denver Nuggets @ Charlotte Hornets,player_blocks,Aaron Gordon,Under,0.5,,-300.0,,,-220.0,,,-335.0,-300.0,0.6873456401565744,1.4545454545454546
betonlineag,-108.0,0.02923626208413843,Miami Heat @ San Antonio Spurs,player_rebounds_alternate,Julian Champagnie,Over,2.5,,-185.0,-108.0,,-125.0,-140.0,,,-130.0,0.5344111360821487,1.925925925925926
hardrockbet,260.0,0.10939398004858658,Miami Heat @ San Antonio Spurs,player_assists_alternate,Victor Wembanyama,Over,4.5,,240.0,155.0,,205.0,175.0,182.0,,260.0,0.3081649944579407,3.6
fanduel,350.0,0.14608643229617124,Denver Nuggets @ Charlotte Hornets,player_rebounds_alternate,Nikola Jokic,Over,15.5,,,191.0,225.0,265.0,,350.0,,,0.2546858738435936,4.5
fanduel,120.0,0.05235318610718265,Denver Nuggets @ Charlotte Hornets,player_rebounds_alternate,Miles Bridges,Over,7.5,,,110.0,-145.0,100.0,-115.0,120.0,,-110.0,0.4783423573214466,2.2
hardrockbet,475.0,0.19423155671153136,Sacramento Kings @ Oklahoma City Thunder,player_assists_alternate,DeMar DeRozan,Over,4.5,,390.0,216.0,,370.0,325.0,,,475.0,0.2076924446454837,5.75
hardrockbet,300.0,0.10820507433247561,Los Angeles Lakers @ New York Knicks,player_rebounds_alternate,Dalton Knecht,Over,3.5,,,199.0,,200.0,250.0,,,300.0,0.2770512685831189,4.0
bovada,-310.0,-0.042388905730674775,Phoenix Suns @ Portland Trail Blazers,player_assists_alternate,Tyus Jones,Over,3.5,,,-435.0,-310.0,-360.0,-575.0,-400.0,,-500.0,0.7240474127402214,1.3225806451612905
hardrockbet,275.0,0.09591724532026524,Washington Wizards @ Minnesota Timberwolves,player_rebounds_alternate,Malcolm Brogdon,Over,4.5,,,216.0,,155.0,240.0,,,275.0,0.2922445987520707,3.75
bovada,110.0,0.04406252089665175,Denver Nuggets @ Charlotte Hornets,player_rebounds_assists,Aaron Gordon,Over,8.5,-118.0,-130.0,,110.0,-115.0,-115.0,104.0,-140.0,-125.0,0.4971726289984055,2.1
fanduel,164.0,0.06774958338633841,Miami Heat @ San Antonio Spurs,player_rebounds_alternate,Harrison Barnes,Over,4.5,,115.0,127.0,,155.0,110.0,164.0,,120.0,0.4044505997675524,2.64
draftkings,-115.0,0.028355187637489454,Brooklyn Nets @ Houston Rockets,player_rebounds,D'Angelo Russell,Under,2.5,,-155.0,-133.0,,-115.0,-150.0,,-170.0,-160.0,0.550050449201448,1.869565217391304
draftkings,-140.0,0.011417433267748023,Miami Heat @ San Antonio Spurs,player_points_rebounds_assists_alternate,Bam Adebayo,Over,29.5,,,-200.0,,-140.0,-210.0,-154.0,,,0.5899935027395196,1.7142857142857144
fanduel,350.0,0.1511792471094795,Miami Heat @ San Antonio Spurs,player_rebounds_alternate,Harrison Barnes,Over,5.5,,,215.0,215.0,300.0,,350.0,,230.0,0.2558176104687732,4.5
fanduel,180.0,0.07755421995229206,Denver Nuggets @ Charlotte Hornets,player_assists_alternate,Nick Smith Jr,Over,3.5,,,139.0,125.0,150.0,120.0,180.0,125.0,135.0,0.3848407928401043,2.8
fanduel,145.0,0.05489482356370534,Miami Heat @ San Antonio Spurs,player_rebounds_alternate,Nikola Jovic,Over,5.5,,,126.0,110.0,125.0,,145.0,-110.0,-105.0,0.4305693157402878,2.45
espnbet,-110.0,0.01333858521067599,Denver Nuggets @ Charlotte Hornets,player_assists,Michael Porter Jr,Under,1.5,,-130.0,,,,-110.0,,-160.0,-150.0,0.5307964017770208,1.9090909090909087
ballybet,120.0,0.03489735985865361,Sacramento Kings @ Oklahoma City Thunder,player_points,Isaiah Joe,Over,13.5,120.0,100.0,,-105.0,,,,-120.0,-110.0,0.4704078908448424,2.2
fanduel,320.0,0.14187847545783194,Denver Nuggets @ Charlotte Hornets,player_rebounds_alternate,Michael Porter Jr,Over,7.5,,,224.0,200.0,240.0,210.0,320.0,,240.0,0.27187582748996,4.2
hardrockbet,-240.0,-0.027658768512427212,Orlando Magic @ Utah Jazz,player_points_alternate,Lauri Markkanen,Over,14.5,,,,,-350.0,,-310.0,,-240.0,0.686358516344169,1.4166666666666667
fanduel,-210.0,-0.019845396405237525,Orlando Magic @ Utah Jazz,player_rebounds_alternate,Lauri Markkanen,Over,5.5,,,,,-310.0,,-210.0,,-260.0,0.6639756992093551,1.4761904761904765
draftkings,225.0,0.10029981567447943,Miami Heat @ San Antonio Spurs,player_points_alternate,Bam Adebayo,Over,19.5,,150.0,,200.0,225.0,150.0,200.0,,165.0,0.3385537894383014,3.25
espnbet,-120.0,0.006123680000328702,Sacramento Kings @ Oklahoma City Thunder,player_rebounds,Jaylin Williams,Over,4.5,,-155.0,,,,-120.0,,-160.0,-155.0,0.5487947345456338,1.8333333333333333
bovada,140.0,0.057423372454040944,Washington Wizards @ Minnesota Timberwolves,player_points_alternate,Jaden McDaniels,Over,14.5,,115.0,,140.0,125.0,100.0,124.0,-105.0,105.0,0.4405930718558504,2.4
bovada,110.0,0.013971891216590926,Sacramento Kings @ Oklahoma City Thunder,player_points_rebounds_assists,Jaylin Williams,Over,14.5,,-105.0,,110.0,,,,-130.0,-120.0,0.4828437577221862,2.1
draftkings,-235.0,-0.02811071236367435,Denver Nuggets @ Charlotte Hornets,player_points_alternate,Mark Williams,Over,14.5,,-400.0,,,-235.0,-300.0,-270.0,-330.0,-300.0,0.6817730823717508,1.425531914893617
draftkings,130.0,0.04635967027343324,Brooklyn Nets @ Houston Rockets,player_rebounds_alternate,Jalen Green,Over,4.5,,100.0,105.0,,130.0,-115.0,122.0,,-110.0,0.4549389870754058,2.3
hardrockbet,650.0,0.21662835843070694,Los Angeles Lakers @ New York Knicks,player_rebounds_alternate,Dalton Knecht,Over,4.5,,,349.0,,390.0,500.0,,,650.0,0.1622171144574276,7.5
bovada,120.0,0.023674473967065124,Phoenix Suns @ Portland Trail Blazers,player_points,Nick Richards,Over,10.5,,105.0,,120.0,,,,-120.0,-110.0,0.4653065790759387,2.2
fanduel,-260.0,-0.03535034203336018,Los Angeles Lakers @ New York Knicks,player_points_alternate,Rui Hachimura,Over,9.5,,-450.0,,-350.0,-275.0,-425.0,-260.0,,-400.0,0.6966914196425732,1.3846153846153846
hardrockbet,125.0,0.031081230023145334,Atlanta Hawks @ Indiana Pacers,player_rebounds_alternate,Myles Turner,Over,7.5,,,,,-115.0,,115.0,,125.0,0.4582583244547313,2.25
fanduel,150.0,0.05157871106262424,Denver Nuggets @ Charlotte Hornets,player_rebounds_alternate,Nikola Jokic,Over,13.5,,,109.0,105.0,115.0,,150.0,,,0.4206314844250497,2.5
draftkings,105.0,0.03581272508205813,Los Angeles Lakers @ New York Knicks,player_rebounds,Precious Achiuwa,Under,4.5,,-130.0,-109.0,,105.0,-125.0,-106.0,-160.0,,0.5052745000400284,2.05
draftkings,215.0,0.0917541239986086,Denver Nuggets @ Charlotte Hornets,player_points_alternate,Vasilije Micic,Over,14.5,,145.0,,145.0,215.0,185.0,178.0,,160.0,0.3465886107932091,3.15
