value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,-210.0,0.006437348638013152,Miami Heat @ Philadelphia 76ers,player_rebounds_alternate,Kel'el Ware,Over,7.5,,,,-230.0,-310.0,-400.0,-210.0,,-375.0,0.6817801393999443,1.4761904761904765
draftkings,-135.0,0.03876967957541,Phoenix Suns @ Oklahoma City Thunder,player_points_rebounds_assists_alternate,Jalen Williams,Over,29.5,,,-208.0,,-135.0,-190.0,,-195.0,,0.5967400286922568,1.7407407407407407
fanduel,-190.0,0.0176948388307806,Washington Wizards @ Brooklyn Nets,player_points_alternate,Nicolas Claxton,Over,9.5,,-325.0,-294.0,,-260.0,-260.0,-190.0,-295.0,-260.0,0.6667655840615458,1.526315789473684
betonlineag,-435.0,-0.07381296207771137,Memphis Grizzlies @ Toronto Raptors,player_assists_alternate,Immanuel Quickley,Over,2.5,,-1100.0,-435.0,,-650.0,-1000.0,,-1010.0,-850.0,0.7530679654134497,1.2298850574712643
fanduel,-320.0,-0.04097217901379169,Miami Heat @ Philadelphia 76ers,player_rebounds_alternate,Bam Adebayo,Over,7.5,,,,-375.0,-525.0,-575.0,-320.0,-590.0,-550.0,0.7306878636085397,1.3125
fanduel,-155.0,0.03284203109011519,Orlando Magic @ Sacramento Kings,player_assists_alternate,Franz Wagner,Over,3.5,,,-208.0,,-240.0,-225.0,-155.0,-220.0,-210.0,0.6278059404665407,1.6451612903225803
fanduel,-370.0,-0.058457305905321166,Chicago Bulls @ Minnesota Timberwolves,player_rebounds_alternate,Nikola Vucevic,Over,7.5,,,,,-475.0,-700.0,-370.0,,-650.0,0.741214461308577,1.2702702702702702
betmgm,130.0,0.06006542758775324,Orlando Magic @ Sacramento Kings,player_rebounds_alternate,Keon Ellis,Over,2.5,,130.0,,,-115.0,-105.0,,,100.0,0.4608980119946754,2.3
fanduel,280.0,0.15142248765654598,Orlando Magic @ Sacramento Kings,player_assists_alternate,Franz Wagner,Over,5.5,,,179.0,,180.0,,280.0,,200.0,0.3030059178043542,3.8
fanduel,-145.0,0.026289191123503253,Chicago Bulls @ Minnesota Timberwolves,player_assists_alternate,Anthony Edwards,Over,5.5,,,-196.0,,-200.0,,-145.0,,-200.0,0.607395643726155,1.6896551724137931
