value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
bovada,220.0,0.696834084654534,Cleveland Cavaliers @ Miami Heat,player_points_alternate,Ty Jerome,Over,14.5,,-160.0,,220.0,-155.0,-170.0,-150.0,,-135.0,0.5302606514545418,3.2
bovada,-175.0,0.1644276180306974,Cleveland Cavaliers @ Miami Heat,player_points_alternate,Ty Jerome,Over,9.5,,-800.0,,-175.0,-650.0,-1000.0,-650.0,,-800.0,0.7409993932922619,1.5714285714285714
bovada,700.0,1.3672471779659623,Cleveland Cavaliers @ Miami Heat,player_points_alternate,Ty Jerome,Over,19.5,,,,700.0,210.0,160.0,185.0,,160.0,0.2959058972457453,8.0
bovada,200.0,0.406867794313965,Cleveland Cavaliers @ Miami Heat,player_assists_alternate,Donovan Mitchell,Over,5.5,,,-119.0,200.0,-125.0,,110.0,,-115.0,0.4689559314379883,3.0
bovada,110.0,0.23280028322585,Cleveland Cavaliers @ Miami Heat,player_threes,Ty Jerome,Over,1.5,,-200.0,,110.0,,,,-210.0,-220.0,0.5870477539170714,2.1
bovada,-200.0,0.08345104422479044,Cleveland Cavaliers @ Miami Heat,player_assists_alternate,Donovan Mitchell,Over,3.5,,,-909.0,-200.0,-550.0,-600.0,-410.0,,-550.0,0.7223006961498603,1.5
bovada,550.0,0.9102473298058915,Chicago Bulls @ Boston Celtics,player_rebounds_alternate,Nikola Vucevic,Over,11.5,,,183.0,550.0,225.0,165.0,250.0,,180.0,0.2938842045855218,6.5
bovada,220.0,0.3415311064454425,Cleveland Cavaliers @ Miami Heat,player_assists_alternate,Evan Mobley,Over,3.5,,,118.0,220.0,100.0,110.0,125.0,,115.0,0.4192284707642007,3.2
bovada,140.0,0.23086699711612124,Cleveland Cavaliers @ Miami Heat,player_assists,Max Strus,Over,3.5,-143.0,-130.0,-130.0,140.0,-110.0,-125.0,100.0,-160.0,-150.0,0.5128612487983839,2.4
draftkings,225.0,0.25934938080328873,Dallas Mavericks @ New Orleans Pelicans,player_points_rebounds_assists_alternate,Yves Missi,Over,19.5,,,,,225.0,120.0,,125.0,,0.3874921171702427,3.25
