event_id,game,market,description,name,point,ballybet_price,ballybet_decimal_odds,ballybet_implied_prob,ballybet_implied_prob_diff,ballybet_dejuice,ballybet_name,betmgm_price,betmgm_decimal_odds,betmgm_implied_prob,betmgm_implied_prob_diff,betmgm_dejuice,betmgm_name,betonlineag_price,betonlineag_decimal_odds,betonlineag_implied_prob,betonlineag_implied_prob_diff,betonlineag_dejuice,betonlineag_name,betrivers_price,betrivers_decimal_odds,betrivers_implied_prob,betrivers_implied_prob_diff,betrivers_dejuice,betrivers_name,bovada_price,bovada_decimal_odds,bovada_implied_prob,bovada_implied_prob_diff,bovada_dejuice,bovada_name,draftkings_price,draftkings_decimal_odds,draftkings_implied_prob,draftkings_implied_prob_diff,draftkings_dejuice,draftkings_name,espnbet_price,espnbet_decimal_odds,espnbet_implied_prob,espnbet_implied_prob_diff,espnbet_dejuice,espnbet_name,event_id,fanduel_price,fanduel_decimal_odds,fanduel_implied_prob,fanduel_implied_prob_diff,fanduel_dejuice,fanduel_name,fliff_price,fliff_decimal_odds,fliff_implied_prob,fliff_implied_prob_diff,fliff_dejuice,fliff_name,hardrockbet_price,hardrockbet_decimal_odds,hardrockbet_implied_prob,hardrockbet_implied_prob_diff,hardrockbet_dejuice,hardrockbet_name,point,values_populated,avg_dejuiced_prob
740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_assists,Juraj Slafkovsky,Over,0.5,,,,,,,190.0,2.9,0.3448275862068966,-0.0016176838941304172,0.3198294243070363,Over,,,,,,,,,,,,,,,,,,,195.0,2.95,0.3389830508474576,-0.00892335309342912,0.31829082188794416,Over,190.0,2.9,0.3448275862068966,-0.0016176838941304172,0.32315978456014366,Over,740afc1ee3f264f057d06af65bb2802c,,,,,,,180.0,2.8,0.35714285714285715,0.013776404775820317,0.3254437869822485,Over,190.0,2.9,0.3448275862068966,-0.0016176838941304172,0.32315978456014366,Over,0.5,5,0.3219767204595033
740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_assists,Juraj Slafkovsky,Under,0.5,,,,,,,-275.0,1.3636363636363638,0.7333333333333333,0.005650437842218636,0.6801705756929638,Under,,,,,,,,,,,,,,,,,,,-265.0,1.3773584905660377,0.726027397260274,-0.003481982249105564,0.6817091781120558,Under,-260.0,1.3846153846153846,0.7222222222222222,-0.008238451046670203,0.6768402154398564,Under,740afc1ee3f264f057d06af65bb2802c,,,,,,,-285.0,1.3508771929824561,0.7402597402597403,0.014308446500227334,0.6745562130177515,Under,-260.0,1.3846153846153846,0.7222222222222222,-0.008238451046670203,0.6768402154398564,Under,0.5,5,0.6780232795404968
740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_assists,Kent Johnson,Over,0.5,,,,,,,160.0,2.6,0.3846153846153846,-0.0020319303338171557,0.35714285714285715,Over,,,,,,,,,,,,,,,,,,,165.0,2.65,0.37735849056603776,-0.01110304789550065,0.3550295857988166,Over,160.0,2.6,0.3846153846153846,-0.0020319303338171557,0.3621495327102804,Over,740afc1ee3f264f057d06af65bb2802c,,,,,,,150.0,2.5,0.4,0.017198838896952173,0.3631436314363144,Over,160.0,2.6,0.3846153846153846,-0.0020319303338171,0.35874439461883406,Over,0.5,5,0.3592420003414205
740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_assists,Kent Johnson,Under,0.5,,,,,,,-225.0,1.4444444444444444,0.6923076923076923,0.004321071470914539,0.6428571428571429,Under,,,,,,,,,,,,,,,,,,,-218.0,1.4587155963302751,0.6855345911949686,-0.0041453049199901,0.6449704142011835,Under,-210.0,1.4761904761904763,0.6774193548387096,-0.014289350365313758,0.6378504672897197,Under,740afc1ee3f264f057d06af65bb2802c,,,,,,,-235.0,1.425531914893617,0.7014925373134329,0.0158021277280902,0.6368563685636857,Under,-220.0,1.4545454545454546,0.6875,-0.0016885439137008795,0.641255605381166,Under,0.5,5,0.6407579996585795
740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_assists,Kirby Dach,Over,0.5,,,,,,,210.0,3.1,0.3225806451612903,-0.00016801075268813026,0.3007518796992481,Over,,,,,,,,,,,,,,,,,,,220.0,3.2,0.3125,-0.012768817204301064,0.29411764705882354,Over,210.0,3.1,0.3225806451612903,-0.00016801075268813026,0.3007518796992481,Over,740afc1ee3f264f057d06af65bb2802c,,,,,,,200.0,3.0,0.3333333333333333,0.013272849462365621,0.30434782608695654,Over,210.0,3.1,0.3225806451612903,-0.00016801075268813026,0.3007518796992481,Over,0.5,5,0.30014422244870487
740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_assists,Kirby Dach,Under,0.5,,,,,,,-300.0,1.3333333333333333,0.75,-0.0029761904761904656,0.6992481203007519,Under,,,,,,,,,,,,,,,,,,,-300.0,1.3333333333333333,0.75,-0.0029761904761904656,0.7058823529411765,Under,-300.0,1.3333333333333333,0.75,-0.0029761904761904656,0.6992481203007519,Under,740afc1ee3f264f057d06af65bb2802c,,,,,,,-320.0,1.3125,0.7619047619047619,0.011904761904761862,0.6956521739130435,Under,-300.0,1.3333333333333333,0.75,-0.0029761904761904656,0.6992481203007519,Under,0.5,5,0.6998557775512951
740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_assists,Kirill Marchenko,Over,0.5,,,,,,,120.0,2.2,0.45454545454545453,0.00037418847873671446,0.4248366013071895,Over,,,,,,,,,,,,,,,,,,,126.0,2.26,0.4424778761061947,-0.014710284570338072,0.4171177482009808,Over,120.0,2.2,0.45454545454545453,0.00037418847873671446,0.4248366013071895,Over,740afc1ee3f264f057d06af65bb2802c,,,,,,,115.0,2.15,0.46511627906976744,0.013587719134127818,0.4222648752399232,Over,120.0,2.2,0.45454545454545453,0.00037418847873671446,0.4219745222929936,Over,0.5,5,0.4222060696696553
740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_assists,Kirill Marchenko,Under,0.5,,,,,,,-160.0,1.625,0.6153846153846154,-0.007792977582693816,0.5751633986928104,Under,,,,,,,,,,,,,,,,,,,-162.0,1.617283950617284,0.6183206106870228,-0.004122983454684537,0.5828822517990193,Under,-160.0,1.625,0.6153846153846154,-0.007792977582693816,0.5751633986928104,Under,740afc1ee3f264f057d06af65bb2802c,,,,,,,-175.0,1.5714285714285714,0.6363636363636364,0.018430798641082324,0.5777351247600767,Under,-165.0,1.606060606060606,0.6226415094339623,0.001278139978989845,0.5780254777070064,Under,0.5,5,0.5777939303303447
740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_assists,Nick Suzuki,Over,0.5,,,,,,,130.0,2.3,0.4347826086956522,0.00220988796381949,0.40590405904059046,Over,,,,,,,,,,,,,,,,,,,135.0,2.35,0.425531914893617,-0.009353479288724487,0.4007285974499089,Over,135.0,2.35,0.425531914893617,-0.009353479288724487,0.4007285974499089,Over,740afc1ee3f264f057d06af65bb2802c,,,,,,,125.0,2.25,0.4444444444444444,0.014287182649809771,0.4064171122994652,Over,130.0,2.3,0.4347826086956522,0.0022098879638195457,0.40590405904059046,Over,0.5,5,0.40393648505609275
740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_assists,Nick Suzuki,Under,0.5,,,,,,,-175.0,1.5714285714285714,0.6363636363636364,-0.0031897926634768536,0.5940959409594095,Under,,,,,,,,,,,,,,,,,,,-175.0,1.5714285714285714,0.6363636363636364,-0.0031897926634768536,0.599271402550091,Under,-175.0,1.5714285714285714,0.6363636363636364,-0.0031897926634768536,0.599271402550091,Under,740afc1ee3f264f057d06af65bb2802c,,,,,,,-185.0,1.5405405405405406,0.6491228070175439,0.012759170653907526,0.5935828877005348,Under,-175.0,1.5714285714285714,0.6363636363636364,-0.0031897926634768536,0.5940959409594095,Under,0.5,5,0.5960635149439073
