event_id,game,market,description,name,point,ballybet_price,ballybet_decimal_odds,ballybet_implied_prob,ballybet_implied_prob_diff,ballybet_dejuice,ballybet_name,betmgm_price,betmgm_decimal_odds,betmgm_implied_prob,betmgm_implied_prob_diff,betmgm_dejuice,betmgm_name,betonlineag_price,betonlineag_decimal_odds,betonlineag_implied_prob,betonlineag_implied_prob_diff,betonlineag_dejuice,betonlineag_name,bovada_price,bovada_decimal_odds,bovada_implied_prob,bovada_implied_prob_diff,bovada_dejuice,bovada_name,espnbet_price,espnbet_decimal_odds,espnbet_implied_prob,espnbet_implied_prob_diff,espnbet_dejuice,espnbet_name,event_id.1,fanduel_price,fanduel_decimal_odds,fanduel_implied_prob,fanduel_implied_prob_diff,fanduel_dejuice,fanduel_name,fliff_price,fliff_decimal_odds,fliff_implied_prob,fliff_implied_prob_diff,fliff_dejuice,fliff_name,hardrockbet_price,hardrockbet_decimal_odds,hardrockbet_implied_prob,hardrockbet_implied_prob_diff,hardrockbet_dejuice,hardrockbet_name,point.1,williamhill_us_price,williamhill_us_decimal_odds,williamhill_us_implied_prob,williamhill_us_implied_prob_diff,williamhill_us_dejuice,williamhill_us_name,values_populated,avg_dejuiced_prob
caa7be3b25d9a0d00392ca553518d37f,Tampa Bay Lightning @ Calgary Flames,player_goal_scorer_anytime,Conor Sheary,Yes,,475.0,5.75,0.1739130434782608,0.0,0.1512287334593572,Yes,,,,,,,,,,,,,475.0,5.75,0.1739130434782608,0.0,0.1512287334593572,Yes,,,,,,,caa7be3b25d9a0d00392ca553518d37f,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.1512287334593572
caa7be3b25d9a0d00392ca553518d37f,Tampa Bay Lightning @ Calgary Flames,player_goal_scorer_anytime,Daniil Miromanov,Yes,,800.0,9.0,0.1111111111111111,0.0246235246235246,0.0966183574879227,Yes,1200.0,13.0,0.0769230769230769,-0.0209605209605209,0.0668896321070234,Yes,,,,,,,800.0,9.0,0.1111111111111111,0.0246235246235246,0.0966183574879227,Yes,950.0,10.5,0.0952380952380952,-0.0025724711588585,0.0892193308550185,Over,caa7be3b25d9a0d00392ca553518d37f,1300.0,14.0,0.0714285714285714,-0.0282865282865282,0.062111801242236,Yes,855.0,9.55,0.1047120418848167,0.0116384488112236,0.0960116919100507,Over,1000.0,11.0,0.0909090909090909,-0.009065977652365,0.0790513833992094,Over,0.5,,,,,,,4,0.0805595370812762
caa7be3b25d9a0d00392ca553518d37f,Tampa Bay Lightning @ Calgary Flames,player_goal_scorer_anytime,Darren Raddysh,Yes,,390.0,4.9,0.2040816326530612,0.0662161355770378,0.1774622892635315,Yes,850.0,9.5,0.1052631578947368,-0.0655418307673947,0.091533180778032,Yes,,,,,,,380.0,4.8,0.2083333333333333,0.0718850698174006,0.1811594202898551,Yes,950.0,10.5,0.0952380952380952,-0.0007215007215007,0.0892193308550185,Over,caa7be3b25d9a0d00392ca553518d37f,900.0,10.0,0.1,-0.0725593746270438,0.0869565217391304,Yes,890.0,9.9,0.101010101010101,0.0079365079365079,0.0926858127393691,Over,1000.0,11.0,0.0909090909090909,-0.0072150072150072,0.0790513833992094,Over,0.5,,,,,,,4,0.1342778530176372
caa7be3b25d9a0d00392ca553518d37f,Tampa Bay Lightning @ Calgary Flames,player_goal_scorer_anytime,Emil Lilleberg,Yes,,1150.0,12.5,0.08,0.0133333333333333,0.0695652173913043,Yes,1900.0,20.0,0.05,-0.0316666666666666,0.0434782608695652,Yes,,,,,,,1100.0,12.0,0.0833333333333333,0.0183333333333333,0.072463768115942,Yes,1100.0,12.0,0.0833333333333333,0.0072649572649572,0.0783410138248847,Over,caa7be3b25d9a0d00392ca553518d37f,,,,,,,1070.0,11.7,0.0854700854700854,0.0104700854700854,0.0787474121631677,Over,1400.0,15.0,0.0666666666666666,-0.0177350427350427,0.0579710144927536,Over,0.5,,,,,,,3,0.0618357487922705
caa7be3b25d9a0d00392ca553518d37f,Tampa Bay Lightning @ Calgary Flames,player_goal_scorer_anytime,Erik Cernak,Yes,,1150.0,12.5,0.08,-0.0033333333333333,0.0695652173913043,Yes,,,,,,,,,,,,,1100.0,12.0,0.0833333333333333,0.0033333333333333,0.072463768115942,Yes,1100.0,12.0,0.0833333333333333,0.0104166666666666,0.0783410138248847,Over,caa7be3b25d9a0d00392ca553518d37f,,,,,,,1100.0,12.0,0.0833333333333333,0.0104166666666666,0.0769301781702926,Over,1500.0,16.0,0.0625,-0.0208333333333333,0.0543478260869565,Over,0.5,,,,,,,2,0.0710144927536231
caa7be3b25d9a0d00392ca553518d37f,Tampa Bay Lightning @ Calgary Flames,player_goal_scorer_anytime,Gage Goncalves,Yes,,390.0,4.9,0.2040816326530612,0.0320730856445141,0.1774622892635315,Yes,550.0,6.5,0.1538461538461538,-0.0349075527646956,0.1337792642140468,Yes,,,,,,,380.0,4.8,0.2083333333333333,0.037742019884877,0.1811594202898551,Yes,600.0,7.0,0.1428571428571428,-0.0134310134310134,0.1327433628318584,Over,caa7be3b25d9a0d00392ca553518d37f,550.0,6.5,0.1538461538461538,-0.0349075527646956,0.1337792642140468,Yes,530.0,6.3,0.1587301587301587,0.0103785103785103,0.1455301455301455,Over,550.0,6.5,0.1538461538461538,0.003052503052503,0.1337792642140468,Over,0.5,,,,,,,4,0.15654505949537
caa7be3b25d9a0d00392ca553518d37f,Tampa Bay Lightning @ Calgary Flames,player_goal_scorer_anytime,J.J. Moser,Yes,,600.0,7.0,0.1428571428571428,0.0418192918192918,0.124223602484472,Yes,1200.0,13.0,0.0769230769230769,-0.046092796092796,0.0668896321070234,Yes,,,,,,,600.0,7.0,0.1428571428571428,0.0418192918192918,0.124223602484472,Yes,950.0,10.5,0.0952380952380952,0.0033201722900215,0.0892193308550185,Over,caa7be3b25d9a0d00392ca553518d37f,1100.0,12.0,0.0833333333333333,-0.0375457875457875,0.072463768115942,Yes,895.0,9.95,0.100502512562814,0.0112167982770998,0.0921784623917984,Over,1100.0,12.0,0.0833333333333333,-0.0145369705671213,0.072463768115942,Over,0.5,,,,,,,4,0.0969501512979773
caa7be3b25d9a0d00392ca553518d37f,Tampa Bay Lightning @ Calgary Flames,player_goal_scorer_anytime,Jake Bean,Yes,,1100.0,12.0,0.0833333333333333,0.0174291938997821,0.072463768115942,Yes,1700.0,18.0,0.0555555555555555,-0.0196078431372549,0.0483091787439613,Yes,,,,,,,1100.0,12.0,0.0833333333333333,0.0174291938997821,0.072463768115942,Yes,1100.0,12.0,0.0833333333333333,0.0072649572649572,0.0783410138248847,Over,caa7be3b25d9a0d00392ca553518d37f,1600.0,17.0,0.0588235294117647,-0.0152505446623093,0.0511508951406649,Yes,1070.0,11.7,0.0854700854700854,0.0104700854700854,0.0787474121631677,Over,1400.0,15.0,0.0666666666666666,-0.0177350427350427,0.0579710144927536,Over,0.5,,,,,,,4,0.0610969025291276
caa7be3b25d9a0d00392ca553518d37f,Tampa Bay Lightning @ Calgary Flames,player_goal_scorer_anytime,Jake Guentzel,Yes,,143.0,2.43,0.411522633744856,0.0210614178119419,0.3578457684737879,Yes,165.0,2.65,0.3773584905660377,-0.024490773093149,0.3281378178835111,Yes,,,,,,,140.0,2.4,0.4166666666666667,0.0279201283743561,0.3623188405797102,Yes,150.0,2.5,0.4,0.0021049929405724,0.3712574850299401,Over,caa7be3b25d9a0d00392ca553518d37f,165.0,2.65,0.3773584905660377,-0.024490773093149,0.3281378178835111,Yes,145.0,2.45,0.4081632653061224,0.0129893466820689,0.3725261932479627,Over,145.0,2.45,0.4081632653061224,0.0129893466820689,0.354924578527063,Over,0.5,,,,,,,4,0.3441100612051301
caa7be3b25d9a0d00392ca553518d37f,Tampa Bay Lightning @ Calgary Flames,player_goal_scorer_anytime,Joel Hanley,Yes,,1300.0,14.0,0.0714285714285714,0.0,0.062111801242236,Yes,,,,,,,,,,,,,1300.0,14.0,0.0714285714285714,0.0,0.062111801242236,Yes,,,,,,,caa7be3b25d9a0d00392ca553518d37f,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.062111801242236
