value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,650.0,0.3951500908022645,New York Islanders @ Montréal Canadiens,player_goal_scorer_anytime,Kirby Dach,Yes,,270.0,,,270.0,450.0,425.0,650.0,415.0,425.0,0.1860200121069686,7.5
draftkings,425.0,0.21469476259312792,San Jose Sharks @ Washington Capitals,player_goal_scorer_anytime,Aliaksei Protas,Yes,,245.0,,,245.0,425.0,380.0,240.0,375.0,375.0,0.2313704309701196,5.25
draftkings,350.0,0.1647094749211453,San Jose Sharks @ Washington Capitals,player_goal_scorer_anytime,Pierre-Luc Dubois,Yes,,188.0,,,185.0,350.0,340.0,270.0,325.0,325.0,0.2588243277602545,4.5
draftkings,270.0,0.1122282608695655,San Jose Sharks @ Washington Capitals,player_goal_scorer_anytime,Dylan Strome,Yes,,150.0,,,150.0,270.0,260.0,220.0,250.0,250.0,0.3006022326674501,3.7
draftkings,600.0,0.3071462236361493,San Jose Sharks @ Washington Capitals,player_goal_scorer_anytime,Ivan Miroshnichenko,Yes,,310.0,,,300.0,600.0,600.0,350.0,555.0,575.0,0.1867351748051642,7.0
ballybet,-143.0,0.0359617415392679,Colorado Avalanche @ Buffalo Sabres,player_power_play_points,Cale Makar,Under,0.5,-143.0,-210.0,,,,-200.0,,-220.0,,0.6096400372021207,1.6993006993006992
draftkings,550.0,0.2446260359088479,Seattle Kraken @ Carolina Hurricanes,player_goal_scorer_anytime,Eric Robinson,Yes,,295.0,,,290.0,550.0,550.0,360.0,500.0,400.0,0.1914809286013612,6.5
draftkings,550.0,0.24391168709462652,San Jose Sharks @ Washington Capitals,player_goal_scorer_anytime,Lars Eller,Yes,,310.0,,,300.0,550.0,500.0,330.0,475.0,475.0,0.1913710287837887,6.5
draftkings,350.0,0.1280304548186737,Detroit Red Wings @ Boston Bruins,player_goal_scorer_anytime,Elias Lindholm,Yes,,210.0,,,210.0,350.0,320.0,250.0,305.0,300.0,0.2506734344041497,4.5
draftkings,450.0,0.17472122334822537,San Jose Sharks @ Washington Capitals,player_goal_scorer_anytime,Andrew Mangiapane,Yes,,285.0,,,280.0,450.0,400.0,260.0,380.0,400.0,0.2135856769724046,5.5
draftkings,650.0,0.27204317421708724,Florida Panthers @ Pittsburgh Penguins,player_goal_scorer_anytime,Eetu Luostarinen,Yes,,340.0,,,340.0,650.0,650.0,420.0,565.0,600.0,0.1696057565622783,7.5
fanduel,460.0,0.15659172425859502,New York Islanders @ Montréal Canadiens,player_goal_scorer_anytime,Juraj Slafkovsky,Yes,,255.0,,,250.0,390.0,360.0,460.0,335.0,350.0,0.2065342364747491,5.6
fanduel,1600.0,0.7381081780538294,Seattle Kraken @ Carolina Hurricanes,player_goal_scorer_anytime,Jalen Chatfield,Yes,,540.0,,,525.0,950.0,950.0,1600.0,880.0,1000.0,0.1022416575325782,17.0
fanduel,260.0,0.09441528993646098,Vancouver Canucks @ Minnesota Wild,player_goals,Conor Garland,Over,0.5,,,,,,185.0,260.0,180.0,185.0,0.3040042472045725,3.6
draftkings,700.0,0.2578966926793007,Seattle Kraken @ Carolina Hurricanes,player_goal_scorer_anytime,William Carrier,Yes,,350.0,,,350.0,700.0,650.0,550.0,585.0,600.0,0.1572370865849126,8.0
draftkings,650.0,0.23023715415019708,Florida Panthers @ Pittsburgh Penguins,player_goal_scorer_anytime,Jesper Boqvist,Yes,,340.0,,,340.0,650.0,650.0,500.0,565.0,575.0,0.1640316205533596,7.5
draftkings,190.0,0.007585388592253439,San Jose Sharks @ Washington Capitals,player_goal_scorer_anytime,Connor McMichael,Yes,,128.0,,,125.0,190.0,175.0,170.0,170.0,175.0,0.3474432374456047,2.9
draftkings,350.0,0.07964046822742454,Seattle Kraken @ Carolina Hurricanes,player_goal_scorer_anytime,Jack Roslovic,Yes,,220.0,,,220.0,350.0,320.0,290.0,315.0,325.0,0.2399201040505388,4.5
fanduel,200.0,0.05484660390439933,Colorado Avalanche @ Buffalo Sabres,player_goals,Valeri Nichushkin,Over,0.5,,,,,,160.0,200.0,140.0,145.0,0.3516155346347998,3.0
fanduel,230.0,0.06654454273771171,Detroit Red Wings @ Boston Bruins,player_goals,Alex DeBrincat,Over,0.5,,,,,,165.0,230.0,170.0,170.0,0.3231953159811247,3.3
fanduel,240.0,0.07372089804218995,Colorado Avalanche @ Buffalo Sabres,player_goals,Artturi Lehkonen,Over,0.5,,,,,,175.0,240.0,175.0,175.0,0.3158002641300559,3.4
fanduel,210.0,0.009537221603005408,Florida Panthers @ Pittsburgh Penguins,player_goal_scorer_anytime,Carter Verhaeghe,Yes,,138.0,,,137.0,200.0,185.0,210.0,180.0,180.0,0.325657168259034,3.1
fanduel,370.0,0.07989836250705817,Columbus Blue Jackets @ Calgary Flames,player_goal_scorer_anytime,Kent Johnson,Yes,,230.0,,,230.0,320.0,300.0,370.0,295.0,300.0,0.2297656090440549,4.7
fanduel,850.0,0.27579202312590323,New York Islanders @ Montréal Canadiens,player_goal_scorer_anytime,Noah Dobson,Yes,,430.0,,,425.0,650.0,600.0,850.0,525.0,550.0,0.1342938971711477,9.5
fanduel,340.0,0.10826756566523721,Colorado Avalanche @ Buffalo Sabres,player_goals,Casey Mittelstadt,Over,0.5,,,,,,250.0,340.0,235.0,240.0,0.2518789921966448,4.4
draftkings,195.0,-0.004831778080570337,Edmonton Oilers @ Vegas Golden Knights,player_goal_scorer_anytime,Jack Eichel,Yes,,143.0,,,140.0,195.0,190.0,160.0,180.0,185.0,0.337345159972688,2.95
draftkings,700.0,0.20958751393534003,Vancouver Canucks @ Minnesota Wild,player_goal_scorer_anytime,Marcus Foligno,Yes,,380.0,,,380.0,700.0,550.0,550.0,510.0,525.0,0.1511984392419175,8.0
draftkings,800.0,0.24456521739130355,New York Islanders @ Montréal Canadiens,player_goal_scorer_anytime,Jake Evans,Yes,,400.0,,,400.0,800.0,650.0,700.0,570.0,600.0,0.1382850241545893,9.0
