value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,230.0,0.09452066732620135,Minnesota Wild @ Winnipeg Jets,player_goals,Matt Boldy,Over,0.5,,,,,,160.0,230.0,160.0,165.0,0.3316729294927883,3.3
fanduel,340.0,0.13898381109599156,Minnesota Wild @ Winnipeg Jets,player_goals,Marco Rossi,Over,0.5,,,,,,240.0,340.0,225.0,225.0,0.2588599570672708,4.4
draftkings,170.0,0.010312902847767313,Columbus Blue Jackets @ Philadelphia Flyers,player_goal_scorer_anytime,Travis Konecny,Yes,,112.0,140.0,,110.0,170.0,160.0,140.0,155.0,160.0,0.3741899640176916,2.7
fanduel,210.0,0.07084389578460726,Pittsburgh Penguins @ New Jersey Devils,player_goals,Timo Meier,Over,0.5,,,,,,155.0,210.0,150.0,150.0,0.3454335147692281,3.1
ballybet,160.0,0.08913844364587642,Los Angeles Kings @ Nashville Predators,player_shots_on_goal,Alex Laferriere,Over,2.5,160.0,115.0,132.0,,126.0,110.0,122.0,110.0,115.0,0.4188994014022602,2.6
draftkings,450.0,0.14882943143812732,San Jose Sharks @ Edmonton Oilers,player_goal_scorer_anytime,Adam Henrique,Yes,,290.0,290.0,,290.0,450.0,400.0,300.0,385.0,350.0,0.2088780784432959,5.5
fanduel,250.0,0.07794527590261224,Pittsburgh Penguins @ New Jersey Devils,player_goals,Bryan Rust,Over,0.5,,,,,,185.0,250.0,180.0,180.0,0.3079843645436035,3.5
fanduel,-128.0,0.028034968644218283,Buffalo Sabres @ Boston Bruins,player_shots_on_goal,Charlie McAvoy,Over,1.5,-175.0,-185.0,-147.0,,-142.0,-180.0,-128.0,-185.0,-180.0,0.577142438537105,1.78125
fanduel,390.0,0.12758962649535255,San Jose Sharks @ Edmonton Oilers,player_goals,Mikael Granlund,Over,0.5,,,,,,275.0,390.0,265.0,275.0,0.230120331937827,4.9
fanduel,320.0,0.09321464069253627,New York Islanders @ Toronto Maple Leafs,player_goals,Bo Horvat,Over,0.5,,,,,,240.0,320.0,225.0,230.0,0.2602892001648896,4.2
fanduel,230.0,0.05528331127322739,New York Islanders @ Toronto Maple Leafs,player_goals,Mitch Marner,Over,0.5,,,,,,175.0,230.0,170.0,175.0,0.3197828215979477,3.3
fanduel,135.0,0.00937474319731435,San Jose Sharks @ Edmonton Oilers,player_goals,Zach Hyman,Over,0.5,,,,,,115.0,135.0,100.0,100.0,0.4295211673180061,2.35
fanduel,180.0,0.030088732600820345,Ottawa Senators @ Vancouver Canucks,player_goals,Brady Tkachuk,Over,0.5,,,,,,140.0,180.0,135.0,140.0,0.3678888330717216,2.8
fanduel,430.0,0.13791951424305893,San Jose Sharks @ Edmonton Oilers,player_goals,Fabian Zetterlund,Over,0.5,,,,,,300.0,430.0,295.0,300.0,0.2147017951401998,5.3
draftkings,200.0,-0.0011143496574693712,Detroit Red Wings @ Montréal Canadiens,player_goal_scorer_anytime,Dylan Larkin,Yes,,125.0,190.0,,130.0,200.0,185.0,180.0,180.0,180.0,0.3329618834475102,3.0
