value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,330.0,0.1688212345089859,Calgary Flames @ St Louis Blues,player_goals,Matt Coronato,Over,0.5,,,,,,250.0,330.0,205.0,210.0,0.2718188917462758,4.3
fanduel,290.0,0.14466945537531428,Vegas Golden Knights @ Nashville Predators,player_goals,Tomas Hertl,Over,0.5,,,,,,200.0,290.0,195.0,200.0,0.2935049885577729,3.9
fanduel,190.0,0.07925662339547423,Florida Panthers @ New Jersey Devils,player_goals,Sam Reinhart,Over,0.5,,,,,,140.0,190.0,135.0,140.0,0.3721574563432669,2.9
betmgm,270.0,0.15653786522637358,Montréal Canadiens @ Utah Hockey Club,player_goal_scorer_anytime,Patrik Laine,Yes,,165.0,270.0,,165.0,195.0,200.0,250.0,175.0,180.0,0.3125778014125334,3.7
betmgm,380.0,0.18988895553503737,Vancouver Canucks @ Winnipeg Jets,player_goal_scorer_anytime,J.T. Miller,Yes,,200.0,380.0,,200.0,310.0,290.0,370.0,260.0,275.0,0.2478935324031328,4.8
fanduel,240.0,0.09569619744539115,Ottawa Senators @ New York Islanders,player_goals,Bo Horvat,Over,0.5,,,,,,175.0,240.0,170.0,180.0,0.3222635874839386,3.4
fanduel,260.0,0.10219440552404446,Florida Panthers @ New Jersey Devils,player_goals,Aleksander Barkov,Over,0.5,,,,,,190.0,260.0,185.0,190.0,0.3061651126455679,3.6
fanduel,370.0,0.1650996022947242,Vancouver Canucks @ Winnipeg Jets,player_goal_scorer_anytime,J.T. Miller,Yes,,200.0,380.0,,200.0,310.0,290.0,370.0,260.0,275.0,0.2478935324031328,4.7
draftkings,320.0,0.1367113760556382,Seattle Kraken @ Pittsburgh Penguins,player_goal_scorer_anytime,Jared McCann,Yes,,205.0,250.0,,205.0,320.0,290.0,260.0,265.0,275.0,0.2706455657275329,4.2
fanduel,250.0,0.09015973783313558,Montréal Canadiens @ Utah Hockey Club,player_goals,Patrik Laine,Over,0.5,,,,,,200.0,250.0,175.0,180.0,0.3114742108094673,3.5
fanduel,340.0,0.11836376512623636,Calgary Flames @ St Louis Blues,player_goals,Blake Coleman,Over,0.5,,,,,,250.0,340.0,235.0,240.0,0.2541735829832355,4.4
fanduel,250.0,0.08653203474334692,Ottawa Senators @ New York Islanders,player_goals,Mathew Barzal,Over,0.5,,,,,,190.0,250.0,180.0,185.0,0.3104377242123848,3.5
ballybet,110.0,0.04161181490320931,San Jose Sharks @ Detroit Red Wings,player_shots_on_goal,William Eklund,Under,1.5,110.0,-120.0,-115.0,,-115.0,-118.0,-118.0,-125.0,-115.0,0.4960056261443853,2.1
draftkings,850.0,0.3279973649538863,Philadelphia Flyers @ Columbus Blue Jackets,player_goal_scorer_anytime,Mikael Pyyhtia,Yes,,375.0,700.0,,375.0,850.0,650.0,650.0,570.0,600.0,0.1397891963109354,9.5
betmgm,950.0,0.3174765558397268,Philadelphia Flyers @ Columbus Blue Jackets,player_goal_scorer_anytime,Kevin Labanc,Yes,,410.0,950.0,,400.0,600.0,600.0,950.0,530.0,575.0,0.1254739576990216,10.5
fanduel,950.0,0.3174765558397268,Philadelphia Flyers @ Columbus Blue Jackets,player_goal_scorer_anytime,Kevin Labanc,Yes,,410.0,950.0,,400.0,600.0,600.0,950.0,530.0,575.0,0.1254739576990216,10.5
fanduel,260.0,0.08851559202765058,Dallas Stars @ Toronto Maple Leafs,player_goals,Jason Robertson,Over,0.5,,,,,,200.0,260.0,185.0,195.0,0.3023654422299029,3.6
ballybet,125.0,0.04461100568957499,San Jose Sharks @ Detroit Red Wings,player_shots_on_goal,Macklin Celebrini,Under,2.5,125.0,-105.0,-101.0,,100.0,-102.0,-102.0,-110.0,100.0,0.4642715580842556,2.25
fanduel,600.0,0.19674824096655663,Vegas Golden Knights @ Nashville Predators,player_goal_scorer_anytime,Nicolas Roy,Yes,,370.0,400.0,,360.0,425.0,400.0,600.0,385.0,400.0,0.1709640344237938,7.0
draftkings,1200.0,0.40243741765480867,San Jose Sharks @ Detroit Red Wings,player_goal_scorer_anytime,Ty Dellandrea,Yes,,450.0,1000.0,,450.0,1200.0,950.0,900.0,780.0,900.0,0.1078798013580622,13.0
draftkings,600.0,0.1904552774117989,Tampa Bay Lightning @ Boston Bruins,player_goal_scorer_anytime,Oliver Wahlstrom,Yes,,440.0,350.0,,440.0,600.0,600.0,350.0,525.0,550.0,0.170065039630257,7.0
draftkings,550.0,0.17897340822693186,Montréal Canadiens @ Utah Hockey Club,player_goal_scorer_anytime,Jack McBain,Yes,,265.0,450.0,,260.0,550.0,500.0,440.0,450.0,475.0,0.1813805243426049,6.5
draftkings,500.0,0.16463660563039406,Philadelphia Flyers @ Columbus Blue Jackets,player_goal_scorer_anytime,Sean Couturier,Yes,,300.0,390.0,,300.0,500.0,500.0,390.0,450.0,475.0,0.194106100938399,6.0
draftkings,360.0,0.1089319265789852,New York Rangers @ Colorado Avalanche,player_goal_scorer_anytime,Ross Colton,Yes,,240.0,270.0,,240.0,360.0,320.0,300.0,300.0,300.0,0.2410721579519533,4.6
fanduel,150.0,0.02856196707319303,San Jose Sharks @ Detroit Red Wings,player_goals,Dylan Larkin,Over,0.5,,,,,,130.0,150.0,110.0,115.0,0.4114247868292772,2.5
betmgm,1000.0,0.3036089798238133,Vancouver Canucks @ Winnipeg Jets,player_goal_scorer_anytime,Phillip Di Giuseppe,Yes,,410.0,1000.0,,400.0,800.0,750.0,1000.0,680.0,750.0,0.1185099072567103,11.0
fanduel,1000.0,0.3036089798238133,Vancouver Canucks @ Winnipeg Jets,player_goal_scorer_anytime,Phillip Di Giuseppe,Yes,,410.0,1000.0,,400.0,800.0,750.0,1000.0,680.0,750.0,0.1185099072567103,11.0
betmgm,900.0,0.2677513444535591,Tampa Bay Lightning @ Boston Bruins,player_goal_scorer_anytime,Michael Eyssimont,Yes,,430.0,900.0,,425.0,600.0,600.0,800.0,530.0,575.0,0.1267751344453559,10.0
draftkings,600.0,0.16982331169974207,New York Rangers @ Colorado Avalanche,player_goal_scorer_anytime,Logan O'Connor,Yes,,420.0,375.0,,420.0,600.0,600.0,390.0,505.0,550.0,0.167117615957106,7.0
draftkings,450.0,0.11215281846947134,San Jose Sharks @ Detroit Red Wings,player_goal_scorer_anytime,Michael Rasmussen,Yes,,245.0,425.0,,250.0,450.0,425.0,430.0,390.0,400.0,0.2022096033580857,5.5
fanduel,1100.0,0.32836062488236406,Ottawa Senators @ New York Islanders,player_goal_scorer_anytime,Jake Sanderson,Yes,,525.0,1000.0,,500.0,600.0,600.0,1100.0,515.0,550.0,0.110696718740197,12.0
betmgm,190.0,0.07639589594476792,San Jose Sharks @ Detroit Red Wings,player_goal_scorer_anytime,Lucas Raymond,Yes,,128.0,190.0,,125.0,180.0,185.0,175.0,170.0,180.0,0.3711709986016441,2.9
fanduel,250.0,0.09402230494386687,Montréal Canadiens @ Utah Hockey Club,player_goal_scorer_anytime,Patrik Laine,Yes,,165.0,270.0,,165.0,195.0,200.0,250.0,175.0,180.0,0.3125778014125334,3.5
fanduel,210.0,0.051062663213917614,Tampa Bay Lightning @ Boston Bruins,player_goals,Brandon Hagel,Over,0.5,,,,,,175.0,210.0,160.0,160.0,0.3390524720044895,3.1
fanduel,290.0,0.07905205439051444,Vegas Golden Knights @ Nashville Predators,player_goals,William Karlsson,Over,0.5,,,,,,230.0,290.0,215.0,220.0,0.2766800139462858,3.9
fanduel,230.0,0.053306002142123,Montréal Canadiens @ Utah Hockey Club,player_goals,Logan Cooley,Over,0.5,,,,,,185.0,230.0,175.0,180.0,0.3191836370127646,3.3
