value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,550.0,0.16281811247486322,Anaheim Ducks @ Montréal Canadiens,player_goal_scorer_anytime,Kirby Dach,Yes,,280.0,500.0,,280.0,450.0,425.0,550.0,410.0,425.0,0.178895094226902,6.5
betmgm,270.0,0.03218624675083803,Chicago Blackhawks @ New York Rangers,player_goal_scorer_anytime,Mika Zibanejad,Yes,,163.0,270.0,,162.0,240.0,240.0,260.0,220.0,225.0,0.2789692558786049,3.7
draftkings,600.0,0.16356211309685764,Anaheim Ducks @ Montréal Canadiens,player_goal_scorer_anytime,Josh Anderson,Yes,,410.0,390.0,,400.0,600.0,600.0,370.0,545.0,550.0,0.1662231590138368,7.0
draftkings,550.0,0.1267657310585215,Detroit Red Wings @ Buffalo Sabres,player_goal_scorer_anytime,Peyton Krebs,Yes,,295.0,500.0,,290.0,550.0,550.0,500.0,515.0,525.0,0.1733485740090033,6.5
fanduel,260.0,0.004289321162977533,Chicago Blackhawks @ New York Rangers,player_goal_scorer_anytime,Mika Zibanejad,Yes,,163.0,270.0,,162.0,240.0,240.0,260.0,220.0,225.0,0.2789692558786049,3.6
betmgm,700.0,0.15665772241406728,Chicago Blackhawks @ New York Rangers,player_goal_scorer_anytime,Adam Fox,Yes,,370.0,700.0,,360.0,600.0,600.0,650.0,530.0,550.0,0.1445822153017584,8.0
ballybet,140.0,0.03377008007416271,Detroit Red Wings @ Buffalo Sabres,player_shots_on_goal,Lucas Raymond,Over,2.5,140.0,115.0,113.0,,115.0,110.0,118.0,110.0,115.0,0.4307375333642345,2.4
fanduel,200.0,0.018385576360667955,Detroit Red Wings @ Buffalo Sabres,player_goals,Lucas Raymond,Over,0.5,,,,,,160.0,200.0,160.0,160.0,0.3394618587868893,3.0
betmgm,230.0,-0.014416636219705348,Chicago Blackhawks @ New York Rangers,player_goal_scorer_anytime,Alexis Lafrenière,Yes,,155.0,230.0,,155.0,215.0,190.0,220.0,190.0,190.0,0.2986616253879681,3.3
betmgm,500.0,0.07337056536141218,Anaheim Ducks @ Montréal Canadiens,player_goal_scorer_anytime,Kirby Dach,Yes,,280.0,500.0,,280.0,450.0,425.0,550.0,410.0,425.0,0.178895094226902,6.0
