market,description,name,point,betmgm_price,betmgm_decimal_odds,betmgm_implied_prob,betmgm_implied_prob_diff,betmgm_dejuice,betmgm_name,betonlineag_price,betonlineag_decimal_odds,betonlineag_implied_prob,betonlineag_implied_prob_diff,betonlineag_dejuice,betonlineag_name,betrivers_price,betrivers_decimal_odds,betrivers_implied_prob,betrivers_implied_prob_diff,betrivers_dejuice,betrivers_name,bovada_price,bovada_decimal_odds,bovada_implied_prob,bovada_implied_prob_diff,bovada_dejuice,bovada_name,draftkings_price,draftkings_decimal_odds,draftkings_implied_prob,draftkings_implied_prob_diff,draftkings_dejuice,draftkings_name,fanduel_price,fanduel_decimal_odds,fanduel_implied_prob,fanduel_implied_prob_diff,fanduel_dejuice,fanduel_name,point,values_populated
player_assists,Brad Marchand,Over,0.5,145.0,2.45,0.4081632653061224,0.00816326530612238,0.379746835443038,Over,,,,,,,,,,,,,,,,,,,150.0,2.5,0.4,-0.00816326530612238,0.3757881462799496,Over,,,,,,,0.5,2
player_assists,Brad Marchand,Under,0.5,-200.0,1.5,0.6666666666666666,0.0022371364653244186,0.6202531645569621,Under,,,,,,,,,,,,,,,,,,,-198.0,1.5050505050505052,0.6644295302013422,-0.0022371364653244186,0.6242118537200504,Under,,,,,,,0.5,2
player_assists,Brock Boeser,Over,0.5,160.0,2.6,0.3846153846153846,0.02229654403567438,0.35714285714285715,Over,,,,,,,,,,,,,,,,,,,176.0,2.76,0.3623188405797102,-0.02229654403567438,0.34087197909862843,Over,,,,,,,0.5,2
player_assists,Brock Boeser,Under,0.5,-225.0,1.4444444444444444,0.6923076923076923,-0.008291110087517262,0.6428571428571429,Under,,,,,,,,,,,,,,,,,,,-234.0,1.4273504273504274,0.7005988023952096,0.008291110087517262,0.6591280209013717,Under,,,,,,,0.5,2
player_assists,Charlie McAvoy,Over,0.5,155.0,2.55,0.3921568627450981,-0.016006402561024313,0.36664695446481377,Over,,,,,,,,,,,,,,,,,,,145.0,2.45,0.4081632653061224,0.016006402561024313,0.38471814052898745,Over,,,,,,,0.5,2
player_assists,Charlie McAvoy,Under,0.5,-210.0,1.4761904761904763,0.6774193548387096,0.02464157706093184,0.6333530455351862,Under,,,,,,,,,,,,,,,,,,,-188.0,1.5319148936170213,0.6527777777777778,-0.02464157706093184,0.6152818594710127,Under,,,,,,,0.5,2
player_assists,Conor Garland,Over,0.5,150.0,2.5,0.4,0.0,0.375,Over,,,,,,,,,,,,,,,,,,,150.0,2.5,0.4,0.0,0.3757881462799496,Over,,,,,,,0.5,2
player_assists,Conor Garland,Under,0.5,-200.0,1.5,0.6666666666666666,0.0022371364653244186,0.625,Under,,,,,,,,,,,,,,,,,,,-198.0,1.5050505050505052,0.6644295302013422,-0.0022371364653244186,0.6242118537200504,Under,,,,,,,0.5,2
player_assists,David Pastrnak,Over,0.5,105.0,2.05,0.48780487804878053,0.011614401858304368,0.4554079696394688,Over,,,,,,,,,,,,,,,,,,,110.0,2.1,0.47619047619047616,-0.011614401858304368,0.4479822288041465,Over,,,,,,,0.5,2
player_assists,David Pastrnak,Under,0.5,-140.0,1.7142857142857144,0.5833333333333333,-0.003443526170799016,0.5445920303605313,Under,,,,,,,,,,,,,,,,,,,-142.0,1.704225352112676,0.5867768595041323,0.003443526170799016,0.5520177711958534,Under,,,,,,,0.5,2
player_assists,Elias Lindholm,Over,0.5,165.0,2.65,0.37735849056603776,0.006988120195667413,0.35278154681139756,Over,,,,,,,,,,,,,,,,,,,170.0,2.7,0.37037037037037035,-0.006988120195667413,0.34852546916890076,Over,,,,,,,0.5,2
player_assists,Elias Lindholm,Under,0.5,-225.0,1.4444444444444444,0.6923076923076923,0.0,0.6472184531886024,Under,,,,,,,,,,,,,,,,,,,-225.0,1.4444444444444444,0.6923076923076923,0.0,0.6514745308310992,Under,,,,,,,0.5,2
player_assists,Elias Pettersson,Over,0.5,125.0,2.25,0.4444444444444444,0.001966568338249708,0.4165029469548133,Over,,,,,,,,,,,,,,,,,,,126.0,2.26,0.4424778761061947,-0.001966568338249708,0.4171177482009808,Over,,,,,,,0.5,2
player_assists,Elias Pettersson,Under,0.5,-165.0,1.606060606060606,0.6226415094339623,0.004320898746939528,0.5834970530451867,Under,,,,,,,,,,,,,,,,,,,-162.0,1.617283950617284,0.6183206106870228,-0.004320898746939528,0.5828822517990193,Under,,,,,,,0.5,2
player_assists,Filip Hronek,Over,0.5,210.0,3.1,0.3225806451612903,0.010080645161290314,0.3007518796992481,Over,,,,,,,,,,,,,,,,,,,220.0,3.2,0.3125,-0.010080645161290314,0.29411764705882354,Over,,,,,,,0.5,2
player_assists,Filip Hronek,Under,0.5,-300.0,1.3333333333333333,0.75,0.0,0.6992481203007519,Under,,,,,,,,,,,,,,,,,,,-300.0,1.3333333333333333,0.75,0.0,0.7058823529411765,Under,,,,,,,0.5,2
player_assists,Jake DeBrusk,Over,0.5,210.0,3.1,0.3225806451612903,0.0,0.3007518796992481,Over,,,,,,,,,,,,,,,,,,,210.0,3.1,0.3225806451612903,0.0,0.303508080409933,Over,,,,,,,0.5,2
player_assists,Jake DeBrusk,Under,0.5,-300.0,1.3333333333333333,0.75,0.009740259740259716,0.6992481203007519,Under,,,,,,,,,,,,,,,,,,,-285.0,1.3508771929824561,0.7402597402597403,-0.009740259740259716,0.696491919590067,Under,,,,,,,0.5,2
